League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-11 16:21:35,2025-11-11 19:30,Brooklyn Nets,Toronto Raptors,Yes,344.5,Yes,-109.78,-109.89,344.22,-450.44,-86.0,-111.89,East,Atlantic,East,Atlantic,-102.0,-118.0,350.0,-455.0,-110.0,-110.0,-104.0,-108.0,343.0,-425.0,101.0,-116.0,-108.0,-112.0,337.0,-430.0,-102.0,-118.0,-114.0,-106.0,350.0,-450.0,-106.0,-114.0,-115.0,-105.0,350.0,-475.0,-115.0,-105.0,-110.0,-110.0,340.0,-459.0,-110.0,-110.0,-110.0,-110.0,340.0,-450.0,-110.0,-110.0,-110.0,-110.0,338.0,-430.0,-110.0,-110.0,-115.0,-110.0,350.0,-480.0,-112.0,-114.0
NBA,2025-11-11 16:21:35,2025-11-11 19:30,New York Knicks,Memphis Grizzlies,No,956.7,Yes,-110.11,-87.44,-465.56,351.33,-110.0,-110.0,East,Atlantic,West,Southwest,-105.0,-115.0,-455.0,350.0,-112.0,-108.0,-114.0,102.0,-450.0,360.0,-107.0,-107.0,-118.0,-102.0,-455.0,354.0,-110.0,-110.0,-110.0,-110.0,-450.0,350.0,-108.0,-112.0,-105.0,-115.0,-475.0,350.0,-110.0,-110.0,-110.0,-110.0,-480.0,343.0,-110.0,-110.0,-110.0,-110.0,-470.0,345.0,-110.0,-110.0,-110.0,-110.0,-475.0,375.0,-110.0,-110.0,-109.0,-117.0,-480.0,335.0,-113.0,-113.0
NBA,2025-11-11 16:21:35,2025-11-11 20:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-110.0,-109.78,55.78,-120.0,-109.0,-110.89,East,Atlantic,East,Atlantic,-108.0,-112.0,102.0,-122.0,-105.0,-115.0,-104.0,-108.0,-101.0,-115.0,-107.0,-107.0,-108.0,-112.0,-103.0,-117.0,-110.0,-110.0,-112.0,-108.0,104.0,-122.0,-112.0,-108.0,-110.0,-110.0,100.0,-120.0,-105.0,-115.0,-110.0,-110.0,100.0,-122.0,-110.0,-110.0,-115.0,-105.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-113.0,-113.0,100.0,-122.0,-112.0,-113.0
NBA,2025-11-11 16:21:35,2025-11-11 20:00,Oklahoma City Thunder,Golden State Warriors,No,1387.6,Yes,-111.67,-85.89,-303.56,244.89,-110.0,-109.89,West,Northwest,West,Pacific,-110.0,-110.0,-305.0,245.0,-110.0,-110.0,-115.0,103.0,-307.0,256.0,-107.0,-107.0,-119.0,-101.0,-310.0,252.0,-110.0,-110.0,-112.0,-108.0,-300.0,245.0,-115.0,-105.0,-110.0,-110.0,-300.0,240.0,-105.0,-115.0,-110.0,-110.0,-315.0,241.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-109.0,-117.0,-295.0,225.0,-113.0,-112.0
NBA,2025-11-11 16:21:35,2025-11-11 21:00,Utah Jazz,Indiana Pacers,No,1357.7,Yes,-109.56,-110.0,118.0,-140.11,-110.11,-109.89,West,Northwest,East,Central,-108.0,-112.0,120.0,-142.0,-108.0,-112.0,-106.0,-106.0,117.0,-133.0,-107.0,-107.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0,-108.0,-112.0,122.0,-144.0,-112.0,-108.0,-110.0,-110.0,118.0,-145.0,-115.0,-105.0,-110.0,-110.0,114.0,-139.0,-110.0,-110.0,-115.0,-105.0,125.0,-145.0,-105.0,-115.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0,-109.0,-115.0,116.0,-143.0,-114.0,-112.0
NBA,2025-11-11 16:21:35,2025-11-11 23:00,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-108.0,-111.62,277.5,-349.5,-109.33,-110.67,West,Pacific,West,Northwest,-112.0,-108.0,275.0,-345.0,-105.0,-115.0,-101.0,-111.0,274.0,-331.0,-107.0,-107.0,-105.0,-115.0,270.0,-335.0,-110.0,-110.0,-106.0,-114.0,285.0,-355.0,-108.0,-112.0,-110.0,-110.0,280.0,-350.0,-110.0,-110.0,-110.0,-110.0,283.0,-370.0,-110.0,-110.0,,,,,-110.0,-110.0,-110.0,-110.0,293.0,-365.0,-110.0,-110.0,-110.0,-115.0,260.0,-345.0,-114.0,-112.0
NBA,2025-11-11 16:21:35,2025-11-12 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-110.0,-110.0,-194.0,162.0,-111.0,-109.0,East,Central,East,Central,-105.0,-115.0,-198.0,164.0,-110.0,-110.0,,,,,,,,,,,,,-115.0,-105.0,-190.0,160.0,-112.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 16:21:35,2025-11-12 19:10,New York Knicks,Orlando Magic,No,940.3,Yes,-109.0,-109.0,-164.0,137.0,-109.25,-109.25,East,Atlantic,East,Southeast,-110.0,-110.0,-170.0,142.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-158.0,132.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 16:21:35,2025-11-12 19:40,Boston Celtics,Memphis Grizzlies,No,1136.9,Yes,-105.33,-112.0,-220.0,184.0,-109.0,-109.0,East,Atlantic,West,Southwest,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-110.0,-110.0,-220.0,184.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 16:21:35,2025-11-12 19:40,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-110.5,-107.5,189.5,-230.0,-109.75,-108.75,East,Southeast,East,Central,-108.0,-112.0,185.0,-225.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-108.0,-112.0,194.0,-235.0,-112.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
