League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-11 22:46:45,2025-11-11 21:11,Utah Jazz,Indiana Pacers,No,1357.7,Yes,-119.0,-112.83,-2227.83,875.0,-113.83,-117.67,West,Northwest,East,Central,-120.0,-110.0,-2800.0,1200.0,-110.0,-120.0,-128.0,-104.0,-2500.0,900.0,-110.0,-120.0,-111.0,-118.0,-1667.0,750.0,-118.0,-111.0,-118.0,-110.0,-2500.0,900.0,-110.0,-118.0,-122,-120,-2500,800,-120,-122,-115.0,-115.0,-1400.0,700.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 22:46:45,2025-11-11 23:00,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-112.88,-106.88,277.62,-349.5,-112.0,-108.11,West,Pacific,West,Northwest,-115.0,-105.0,275.0,-345.0,-110.0,-110.0,-112.0,-108.0,280.0,-350.0,-112.0,-108.0,-110.0,-110.0,267.0,-345.0,-110.0,-110.0,-115.0,-105.0,280.0,-350.0,-115.0,-105.0,-114,-112,270,-360,-113,-113,,,,,-110.0,-110.0,-109.0,-103.0,289.0,-351.0,-113.0,-102.0,-113.0,-107.0,285.0,-355.0,-115.0,-105.0,-115.0,-105.0,275.0,-340.0,-110.0,-110.0
NBA,2025-11-11 22:46:45,2025-11-12 19:10,Charlotte Hornets,Milwaukee Bucks,No,659.4,Yes,-110.12,-109.5,168.67,-206.5,-109.75,-110.25,East,Southeast,East,Central,-105.0,-115.0,160.0,-192.0,-110.0,-110.0,-115.0,-105.0,166.0,-198.0,-108.0,-112.0,-110.0,-110.0,163.0,-204.0,-110.0,-110.0,-110.0,-110.0,170.0,-210.0,-110.0,-110.0,-110,-115,163,-205,-113,-113,-115.0,-105.0,190.0,-230.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 22:46:45,2025-11-12 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-109.25,-110.5,-136.33,113.67,-109.88,-110.12,East,Central,East,Central,-105.0,-115.0,-142.0,120.0,-110.0,-110.0,-110.0,-110.0,-122.0,104.0,-110.0,-110.0,-110.0,-110.0,-137.0,113.0,-110.0,-110.0,-105.0,-115.0,-145.0,118.0,-110.0,-110.0,-113,-113,-137,112,-112,-114,-115.0,-105.0,-135.0,115.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 22:46:45,2025-11-12 19:10,New York Knicks,Orlando Magic,No,940.3,Yes,-109.25,-110.38,-175.17,144.0,-110.0,-110.0,East,Atlantic,East,Southeast,-115.0,-105.0,-170.0,142.0,-110.0,-110.0,-108.0,-112.0,-174.0,146.0,-110.0,-110.0,-110.0,-110.0,-172.0,141.0,-110.0,-110.0,-115.0,-105.0,-175.0,145.0,-110.0,-110.0,-115,-110,-195,150,-113,-113,-105.0,-115.0,-165.0,140.0,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 22:46:45,2025-11-12 19:40,Boston Celtics,Memphis Grizzlies,No,1136.9,Yes,-109.25,-110.5,-258.83,209.0,-110.62,-109.38,East,Atlantic,West,Southwest,-105.0,-115.0,-258.0,210.0,-110.0,-110.0,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-110.0,-110.0,-270.0,214.0,-110.0,-110.0,-110.0,-110.0,-250.0,200.0,-115.0,-105.0,-113,-113,-265,205,-113,-113,-110.0,-110.0,-250.0,210.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 22:46:45,2025-11-12 19:40,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-110.71,-109.0,-222.6,181.8,-109.71,-110.29,East,Southeast,East,Central,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-235.0,194.0,-108.0,-112.0,,,,,,,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-114,-112,-215,170,-113,-113,-115.0,-105.0,-225.0,185.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 22:46:45,2025-11-12 20:10,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,-108.43,-111.29,-210.6,171.2,-110.86,-109.14,West,Southwest,West,Pacific,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-188.0,158.0,-112.0,-108.0,-110.0,-110.0,-217.0,173.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-115.0,-105.0,-113,-113,-210,165,-112,-114,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 22:46:45,2025-11-12 20:10,Houston Rockets,Washington Wizards,No,1220.3,Yes,-109.88,-109.88,-1799.5,898.0,-110.5,-109.5,West,Southwest,East,Southeast,-110.0,-110.0,-1600.0,900.0,-110.0,-110.0,-115.0,-105.0,-1800.0,980.0,-114.0,-106.0,-110.0,-110.0,-1667.0,858.0,-110.0,-110.0,-105.0,-115.0,-2500.0,1050.0,-110.0,-110.0,-113,-113,-1430,750,-113,-113,-110.0,-110.0,-1800.0,850.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-11 22:46:45,2025-11-12 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-108.25,-111.5,253.33,-319.67,-111.25,-108.62,West,Southwest,West,Northwest,-105.0,-115.0,275.0,-345.0,-110.0,-110.0,-108.0,-112.0,245.0,-300.0,-115.0,-105.0,-110.0,-110.0,240.0,-313.0,-110.0,-110.0,-110.0,-110.0,260.0,-325.0,-115.0,-105.0,-112,-114,235,-305,-113,-112,-105.0,-115.0,265.0,-330.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
