League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-12 01:36:56,2025-11-11 23:12,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-176.2,47.6,,,-47.67,-117.67,West,Pacific,West,Northwest,-154.0,120.0,,,100.0,-130.0,-132.0,100.0,,,,,-350.0,250.0,,,,,-127,-114,,,,,,,,,-125.0,-105.0,-118.0,-118.0,,,-118.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 01:36:56,2025-11-12 19:10,Charlotte Hornets,Milwaukee Bucks,No,659.4,Yes,-109.22,-110.56,177.89,-214.0,-109.33,-110.67,East,Southeast,East,Central,-108.0,-112.0,180.0,-218.0,-105.0,-115.0,-110.0,-110.0,172.0,-205.0,-108.0,-112.0,-105.0,-115.0,180.0,-220.0,-110.0,-110.0,-109,-117,163.0,-205.0,-114.0,-112.0,-115.0,-105.0,190.0,-230.0,-110.0,-110.0,-110.0,-110.0,165.0,-204.0,-110.0,-110.0,-106.0,-106.0,185.0,-214.0,-107.0,-107.0,-110.0,-110.0,183.0,-215.0,-110.0,-110.0,-110.0,-110.0,183.0,-215.0,-110.0,-110.0
NBA,2025-11-12 01:36:56,2025-11-12 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-110.44,-109.33,-139.33,117.89,-109.11,-110.89,East,Central,East,Central,-110.0,-110.0,-135.0,114.0,-108.0,-112.0,-110.0,-110.0,-142.0,120.0,-110.0,-110.0,-110.0,-110.0,-140.0,115.0,-105.0,-115.0,-113,-113,-137.0,112.0,-112.0,-114.0,-115.0,-105.0,-145.0,125.0,-110.0,-110.0,-110.0,-110.0,-137.0,113.0,-110.0,-110.0,-106.0,-106.0,-138.0,122.0,-107.0,-107.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0
NBA,2025-11-12 01:36:56,2025-11-12 19:10,New York Knicks,Orlando Magic,No,940.3,Yes,-111.0,-108.67,-166.22,139.11,-110.0,-110.0,East,Atlantic,East,Southeast,-110.0,-110.0,-162.0,136.0,-110.0,-110.0,-108.0,-112.0,-164.0,138.0,-110.0,-110.0,-110.0,-110.0,-170.0,140.0,-110.0,-110.0,-115,-110,-195.0,150.0,-113.0,-113.0,-105.0,-115.0,-170.0,145.0,-110.0,-110.0,-110.0,-110.0,-175.0,142.0,-110.0,-110.0,-111.0,-101.0,-152.0,134.0,-107.0,-107.0,-115.0,-105.0,-153.0,133.0,-110.0,-110.0,-115.0,-105.0,-155.0,134.0,-110.0,-110.0
NBA,2025-11-12 01:36:56,2025-11-12 19:40,Boston Celtics,Memphis Grizzlies,No,1136.9,Yes,-109.89,-109.89,-254.33,207.56,-110.56,-109.44,East,Atlantic,West,Southwest,-110.0,-110.0,-258.0,210.0,-115.0,-105.0,-110.0,-110.0,-255.0,210.0,-110.0,-110.0,-110.0,-110.0,-250.0,200.0,-110.0,-110.0,-113,-113,-265.0,205.0,-113.0,-113.0,-110.0,-110.0,-250.0,210.0,-110.0,-110.0,-110.0,-110.0,-263.0,206.0,-110.0,-110.0,-106.0,-106.0,-248.0,210.0,-107.0,-107.0,-110.0,-110.0,-250.0,207.0,-110.0,-110.0,-110.0,-110.0,-250.0,210.0,-110.0,-110.0
NBA,2025-11-12 01:36:56,2025-11-12 19:40,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-109.67,-110.11,-219.56,182.0,-107.0,-113.11,East,Southeast,East,Central,-102.0,-118.0,-225.0,185.0,-105.0,-115.0,-110.0,-110.0,-235.0,194.0,-108.0,-112.0,-105.0,-115.0,-225.0,185.0,-105.0,-115.0,-114,-112,-215.0,170.0,-113.0,-113.0,-105.0,-115.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-222.0,178.0,-110.0,-110.0,-111.0,-101.0,-214.0,185.0,-102.0,-113.0,-115.0,-105.0,-215.0,183.0,-105.0,-115.0,-115.0,-105.0,-215.0,183.0,-105.0,-115.0
NBA,2025-11-12 01:36:56,2025-11-12 20:10,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,-109.67,-110.11,-195.22,163.56,-111.22,-108.67,West,Southwest,West,Pacific,-115.0,-105.0,-198.0,164.0,-115.0,-105.0,-108.0,-112.0,-180.0,152.0,-112.0,-108.0,-110.0,-110.0,-200.0,165.0,-115.0,-105.0,-113,-113,-210.0,165.0,-112.0,-113.0,-115.0,-105.0,-195.0,165.0,-110.0,-110.0,-110.0,-110.0,-189.0,153.0,-110.0,-110.0,-101.0,-111.0,-195.0,171.0,-107.0,-107.0,-105.0,-115.0,-195.0,170.0,-110.0,-110.0,-110.0,-110.0,-195.0,167.0,-110.0,-110.0
NBA,2025-11-12 01:36:56,2025-11-12 20:10,Houston Rockets,Washington Wizards,No,1220.3,Yes,-110.44,-109.33,-1649.5,858.5,-110.44,-109.56,West,Southwest,East,Southeast,-115.0,-105.0,-1600.0,900.0,-110.0,-110.0,-110.0,-110.0,-1400.0,830.0,-114.0,-106.0,-115.0,-105.0,-2000.0,1000.0,-110.0,-110.0,-113,-113,-1430.0,750.0,-113.0,-113.0,-105.0,-115.0,-1800.0,850.0,-110.0,-110.0,-110.0,-110.0,-1667.0,821.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-12 01:36:56,2025-11-12 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-110.11,-109.56,269.78,-339.11,-111.0,-109.0,West,Southwest,West,Northwest,-115.0,-105.0,270.0,-340.0,-112.0,-108.0,-112.0,-108.0,260.0,-320.0,-106.0,-114.0,-115.0,-105.0,275.0,-350.0,-115.0,-105.0,-113,-112,255.0,-335.0,-114.0,-112.0,-110.0,-110.0,265.0,-330.0,-115.0,-105.0,-110.0,-110.0,265.0,-345.0,-110.0,-110.0,-101.0,-111.0,282.0,-342.0,-107.0,-107.0,-105.0,-115.0,278.0,-345.0,-110.0,-110.0,-110.0,-110.0,278.0,-345.0,-110.0,-110.0
NBA,2025-11-12 01:36:56,2025-11-12 20:40,Dallas Mavericks,Phoenix Suns,No,885.4,Yes,-87.78,-87.44,-112.67,-74.67,-112.67,-107.44,West,Southwest,West,Pacific,-122.0,102.0,-115.0,-105.0,-110.0,-110.0,-112.0,-108.0,-118.0,100.0,-114.0,-106.0,105.0,-125.0,-105.0,-115.0,-115.0,-105.0,-110,-115,-121.0,-104.0,-112.0,-114.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,-112.0,-109.0,-110.0,-110.0,-106.0,-106.0,,,-113.0,-102.0,-110.0,-110.0,,,-115.0,-105.0,-110.0,-110.0,,,-115.0,-105.0
NBA,2025-11-12 01:36:56,2025-11-12 21:40,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,-110.67,-109.0,-267.78,218.22,-109.44,-110.44,West,Northwest,West,Pacific,-115.0,-105.0,-270.0,220.0,-108.0,-112.0,-110.0,-110.0,-255.0,210.0,-110.0,-110.0,-115.0,-105.0,-275.0,225.0,-105.0,-115.0,-115,-110,-265.0,205.0,-115.0,-110.0,-115.0,-105.0,-260.0,215.0,-110.0,-110.0,-110.0,-110.0,-278.0,217.0,-110.0,-110.0,-101.0,-111.0,-267.0,225.0,-107.0,-107.0,-105.0,-115.0,-270.0,222.0,-110.0,-110.0,-110.0,-110.0,-270.0,225.0,-110.0,-110.0
NBA,2025-11-12 01:36:56,2025-11-12 22:10,Sacramento Kings,Atlanta Hawks,No,2086.4,Yes,-111.0,-110.2,136.8,-165.8,-111.2,-110.0,West,Pacific,East,Southeast,-110.0,-110.0,136.0,-162.0,-112.0,-108.0,-112.0,-108.0,142.0,-168.0,-112.0,-108.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-113,-113,138.0,-175.0,-112.0,-114.0,,,,,,,-110.0,-110.0,133.0,-164.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 01:36:56,2025-11-12 22:40,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,-112.6,-108.6,111.8,-134.8,-108.4,-112.8,West,Pacific,West,Northwest,-115.0,-105.0,114.0,-135.0,-105.0,-115.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-115.0,-105.0,115.0,-140.0,-105.0,-115.0,-113,-113,112.0,-137.0,-112.0,-114.0,,,,,,,-110.0,-110.0,108.0,-132.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
