League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-12 10:28:19,2025-11-12 19:10,Charlotte Hornets,Milwaukee Bucks,No,659.4,Yes,-108.33,-111.33,172.33,-207.33,-109.44,-110.44,East,Southeast,East,Central,-106.0,-114.0,176.0,-210.0,-112.0,-108.0,-118.0,-102.0,164.0,-198.0,-112.0,-108.0,-110,-115,175,-225,-110,-115,-101.0,-111.0,175.0,-200.0,-104.0,-110.0,-105.0,-115.0,174.0,-200.0,-107.0,-113.0,-110.0,-110.0,170.0,-210.0,-110.0,-110.0,-110.0,-110.0,167.0,-208.0,-110.0,-110.0,-105.0,-115.0,175.0,-210.0,-110.0,-110.0,-110.0,-110.0,175.0,-205.0,-110.0,-110.0
NBA,2025-11-12 10:28:19,2025-11-12 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-109.11,-110.44,-137.78,116.44,-109.67,-110.33,East,Central,East,Central,-106.0,-114.0,-134.0,114.0,-106.0,-114.0,-110.0,-110.0,-135.0,114.0,-112.0,-108.0,-110,-114,-136,110,-112,-114,-106.0,-106.0,-138.0,122.0,-107.0,-107.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-110.0,-110.0,-140.0,115.0,-110.0,-110.0,-110.0,-110.0,-137.0,113.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0
NBA,2025-11-12 10:28:19,2025-11-12 19:10,New York Knicks,Orlando Magic,No,940.3,Yes,-112.11,-107.67,-190.33,159.44,-109.78,-110.0,East,Atlantic,East,Southeast,-114.0,-106.0,-196.0,164.0,-112.0,-108.0,-110.0,-110.0,-192.0,160.0,-110.0,-110.0,-114,-112,-190,150,-114,-110,-111.0,-101.0,-183.0,161.0,-107.0,-107.0,-115.0,-105.0,-183.0,160.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-105.0,-115.0,-110.0,-110.0,-194.0,157.0,-110.0,-110.0,-115.0,-105.0,-195.0,165.0,-110.0,-110.0,-110.0,-110.0,-190.0,163.0,-110.0,-110.0
NBA,2025-11-12 10:28:19,2025-11-12 19:40,Boston Celtics,Memphis Grizzlies,No,1136.9,Yes,-109.33,-110.44,-255.44,208.22,-110.44,-109.56,East,Atlantic,West,Southwest,-110.0,-110.0,-255.0,210.0,-106.0,-114.0,-108.0,-112.0,-258.0,210.0,-112.0,-108.0,-114,-112,-265,205,-114,-112,-104.0,-108.0,-248.0,210.0,-107.0,-107.0,-108.0,-112.0,-250.0,207.0,-110.0,-110.0,-110.0,-110.0,-250.0,200.0,-115.0,-105.0,-110.0,-110.0,-263.0,207.0,-110.0,-110.0,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-110.0,-110.0,-250.0,210.0,-110.0,-110.0
NBA,2025-11-12 10:28:19,2025-11-12 19:40,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-112.0,-85.56,-224.78,185.56,-109.89,-110.11,East,Southeast,East,Central,-112.0,-108.0,-225.0,188.0,-112.0,-108.0,-120.0,100.0,-230.0,190.0,-112.0,-108.0,-114,-112,-230,180,-114,-112,-104.0,-108.0,-222.0,190.0,-104.0,-110.0,-108.0,-112.0,-223.0,188.0,-107.0,-113.0,-115.0,-105.0,-225.0,185.0,-110.0,-110.0,-110.0,-110.0,-238.0,189.0,-110.0,-110.0,-115.0,-105.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-220.0,185.0,-110.0,-110.0
NBA,2025-11-12 10:28:19,2025-11-12 20:10,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,-112.0,-85.56,-182.89,153.56,-110.11,-109.89,West,Southwest,West,Pacific,-110.0,-110.0,-186.0,156.0,-110.0,-110.0,-112.0,-108.0,-185.0,154.0,-110.0,-110.0,-113,-113,-177,143,-114,-112,-112.0,100.0,-177.0,156.0,-107.0,-107.0,-116.0,-104.0,-177.0,155.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-110.0,-110.0,-110.0,-110.0,-204.0,163.0,-110.0,-110.0,-115.0,-105.0,-175.0,150.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0
NBA,2025-11-12 10:28:19,2025-11-12 20:10,Houston Rockets,Washington Wizards,No,1220.3,Yes,-108.44,-111.11,-1512.56,845.78,-110.44,-109.56,West,Southwest,East,Southeast,-110.0,-110.0,-1400.0,830.0,-112.0,-108.0,-115.0,-105.0,-1600.0,900.0,-112.0,-108.0,-110,-114,-1430,750,-113,-113,-101.0,-111.0,-1416.0,891.0,-107.0,-107.0,-105.0,-115.0,-1450.0,856.0,-110.0,-110.0,-110.0,-110.0,-1600.0,900.0,-110.0,-110.0,-110.0,-110.0,-1667.0,810.0,-110.0,-110.0,-105.0,-115.0,-1600.0,800.0,-110.0,-110.0,-110.0,-110.0,-1450.0,875.0,-110.0,-110.0
NBA,2025-11-12 10:28:19,2025-11-12 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-111.11,-108.56,272.11,-340.78,-109.33,-110.67,West,Southwest,West,Northwest,-112.0,-108.0,260.0,-320.0,-106.0,-114.0,-118.0,-102.0,275.0,-345.0,-108.0,-112.0,-115,-110,265,-345,-113,-113,-103.0,-109.0,282.0,-342.0,-107.0,-107.0,-107.0,-113.0,278.0,-345.0,-110.0,-110.0,-115.0,-105.0,280.0,-350.0,-110.0,-110.0,-110.0,-110.0,266.0,-345.0,-110.0,-110.0,-110.0,-110.0,265.0,-330.0,-110.0,-110.0,-110.0,-110.0,278.0,-345.0,-110.0,-110.0
NBA,2025-11-12 10:28:19,2025-11-12 20:40,Dallas Mavericks,Phoenix Suns,No,885.4,Yes,-86.78,-88.89,-108.5,-111.33,-110.67,-109.33,West,Southwest,West,Pacific,-106.0,-114.0,-112.0,-104.0,-112.0,-108.0,-120.0,100.0,-110.0,-110.0,-108.0,-112.0,-114,-110,-108,-114,-114,-112,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,105.0,-130.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-106.0,-115.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-12 10:28:19,2025-11-12 21:40,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,-111.0,-108.56,-279.0,226.22,-109.78,-110.22,West,Northwest,West,Pacific,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-118.0,-102.0,-285.0,230.0,-108.0,-112.0,-110,-114,-265,205,-113,-113,-106.0,-106.0,-277.0,233.0,-107.0,-107.0,-110.0,-110.0,-280.0,230.0,-110.0,-110.0,-115.0,-105.0,-285.0,230.0,-110.0,-110.0,-110.0,-110.0,-294.0,228.0,-110.0,-110.0,-110.0,-110.0,-275.0,225.0,-110.0,-110.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0
