League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-12 20:55:49,2025-11-12 19:12,Charlotte Hornets,Milwaukee Bucks,No,659.4,Yes,-115.5,-117.17,-5583.25,1331.25,-118.83,-113.5,East,Southeast,East,Central,-125.0,-106.0,-5000.0,1300.0,-125.0,-106.0,-105.0,-125.0,-6500.0,1800.0,-120.0,-110.0,-117.0,-125.0,,,-125.0,-117.0,-125.0,-102.0,-10000.0,1700.0,-110.0,-115.0,-111.0,-125.0,-833.0,525.0,-118.0,-118.0,-110.0,-120.0,,,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 20:55:49,2025-11-12 19:12,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-119.17,-112.83,-1711.17,762.5,-118.33,-114.0,East,Central,East,Central,-118.0,-112.0,-1600.0,750.0,-114.0,-114.0,-110.0,-120.0,-2500.0,1100.0,-115.0,-115.0,-122.0,-120.0,-1667.0,600.0,-118.0,-122.0,-125.0,-105.0,-900.0,525.0,-125.0,-105.0,-125.0,-105.0,-2000.0,850.0,-118.0,-118.0,-115.0,-115.0,-1600.0,750.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 20:55:49,2025-11-12 19:12,New York Knicks,Orlando Magic,No,940.3,Yes,-84.17,-114.33,670.0,-1597.5,-115.83,-115.67,East,Atlantic,East,Southeast,-120.0,-110.0,800.0,-1800.0,-118.0,-112.0,-120.0,-110.0,750.0,-1450.0,-110.0,-120.0,-127.0,-115.0,850.0,-3335.0,-121.0,-121.0,100.0,-130.0,625.0,-1200.0,-118.0,-110.0,-118.0,-111.0,295.0,-400.0,-118.0,-111.0,-120.0,-110.0,700.0,-1400.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 20:55:49,2025-11-12 19:40,Boston Celtics,Memphis Grizzlies,No,1136.9,Yes,-116.4,-114.2,-10000.0,2400.0,-127.2,-66.2,East,Atlantic,West,Southwest,-110.0,-120.0,,,-120.0,-110.0,-115.0,-115.0,-15000.0,2500.0,-110.0,-120.0,-121.0,-121.0,,,-121.0,-121.0,-118.0,-110.0,-10000.0,3300.0,-118.0,-110.0,-118.0,-105.0,,,-167.0,130.0,,,-5000.0,1400.0,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 20:55:49,2025-11-12 19:42,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-115.83,-115.67,-215.17,163.67,-114.0,-116.67,East,Southeast,East,Central,-110.0,-120.0,-196.0,152.0,-112.0,-118.0,-120.0,-110.0,-230.0,175.0,-110.0,-120.0,-121.0,-121.0,-240.0,170.0,-121.0,-121.0,-118.0,-110.0,-220.0,170.0,-115.0,-115.0,-111.0,-118.0,-200.0,160.0,-111.0,-111.0,-115.0,-115.0,-205.0,155.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 20:55:49,2025-11-12 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-80.0,-118.33,229.17,-316.33,-116.0,-115.83,West,Southwest,West,Northwest,112.0,-148.0,230.0,-310.0,-118.0,-112.0,-120.0,-110.0,240.0,-330.0,-115.0,-115.0,-121.0,-121.0,220.0,-315.0,-122.0,-120.0,-125.0,-105.0,240.0,-325.0,-115.0,-115.0,-111.0,-111.0,235.0,-333.0,-111.0,-118.0,-115.0,-115.0,210.0,-285.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 20:55:49,2025-11-12 20:11,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,-79.67,-118.5,-462.5,308.33,-115.33,-116.17,West,Southwest,West,Pacific,112.0,-148.0,-460.0,320.0,-108.0,-122.0,-125.0,-105.0,-475.0,325.0,-120.0,-110.0,-117.0,-125.0,-530.0,320.0,-120.0,-122.0,-110.0,-118.0,-425.0,300.0,-118.0,-110.0,-118.0,-105.0,-400.0,265.0,-111.0,-118.0,-120.0,-110.0,-485.0,320.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 20:55:49,2025-11-12 20:11,Houston Rockets,Washington Wizards,No,1220.3,Yes,-77.67,-120.17,-11666.67,2233.33,-114.0,-116.33,West,Southwest,East,Southeast,102.0,-136.0,-10000.0,1700.0,-108.0,-122.0,-110.0,-120.0,-15000.0,2500.0,-115.0,-115.0,-120.0,-122.0,,,-120.0,-122.0,-118.0,-110.0,-10000.0,2500.0,-110.0,-118.0,-105.0,-118.0,,,-111.0,-111.0,-115.0,-115.0,,,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 20:55:49,2025-11-12 20:41,Dallas Mavericks,Phoenix Suns,No,885.4,Yes,-88.44,-116.67,-71.56,40.89,-90.44,-113.89,West,Southwest,West,Pacific,-106.0,-125.0,-156.0,122.0,-118.0,-112.0,-115.0,-115.0,-140.0,110.0,-120.0,-110.0,-118.0,-124.0,-186.0,133.0,-120.0,-122.0,-110.0,-118.0,-160.0,125.0,-118.0,-110.0,100.0,-133.0,-143.0,115.0,100.0,-125.0,-115.0,-115.0,-175.0,135.0,-115.0,-115.0,-109.0,-103.0,104.0,-120.0,-105.0,-109.0,-113.0,-107.0,102.0,-122.0,-108.0,-112.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2025-11-12 20:55:49,2025-11-12 21:40,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,-110.0,-109.67,-323.33,258.67,-110.22,-109.56,West,Northwest,West,Pacific,-114.0,-106.0,-330.0,265.0,-110.0,-110.0,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-115.0,-110.0,-335.0,250.0,-110.0,-114.0,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-323.0,252.0,-110.0,-110.0,-115.0,-105.0,-320.0,260.0,-115.0,-105.0,-106.0,-106.0,-317.0,263.0,-107.0,-107.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0,-110.0,-110.0,-315.0,258.0,-110.0,-110.0
