League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-14 07:50:32,2025-11-14 19:10,Orlando Magic,Brooklyn Nets,No,936.6,Yes,-110.67,-109.11,-941.78,617.33,-108.67,-111.44,East,Southeast,East,Atlantic,-112.0,-108.0,-900.0,610.0,-112.0,-108.0,-115.0,-105.0,-900.0,600.0,-112.0,-108.0,-113,-113,-910,575,-112,-114,-110.0,-110.0,-1133.0,677.0,-110.0,-110.0,-111.0,-101.0,-883.0,631.0,-102.0,-113.0,-115.0,-105.0,-900.0,613.0,-105.0,-115.0,-105.0,-115.0,-1000.0,650.0,-110.0,-110.0,-105.0,-115.0,-950.0,600.0,-105.0,-115.0,-110.0,-110.0,-900.0,600.0,-110.0,-110.0
NBA,2025-11-14 07:50:32,2025-11-14 19:10,New York Knicks,Miami Heat,No,1091.4,Yes,-111.78,-108.0,-230.33,189.89,-111.89,-108.22,East,Atlantic,East,Southeast,-112.0,-108.0,-220.0,184.0,-110.0,-110.0,-115.0,-105.0,-238.0,195.0,-110.0,-110.0,-113,-113,-230,180,-114,-112,-110.0,-110.0,-227.0,183.0,-110.0,-110.0,-111.0,-101.0,-228.0,195.0,-113.0,-102.0,-115.0,-105.0,-230.0,192.0,-115.0,-105.0,-115.0,-105.0,-235.0,190.0,-110.0,-110.0,-105.0,-115.0,-235.0,195.0,-115.0,-105.0,-110.0,-110.0,-230.0,195.0,-110.0,-110.0
NBA,2025-11-14 07:50:32,2025-11-14 19:40,Detroit Pistons,Philadelphia 76ers,No,444.3,Yes,-111.44,-108.33,-216.56,179.78,-109.11,-110.67,East,Central,East,Atlantic,-110.0,-110.0,-210.0,176.0,-110.0,-110.0,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-112,-114,-215,170,-110,-114,-110.0,-110.0,-227.0,180.0,-110.0,-110.0,-111.0,-101.0,-209.0,182.0,-107.0,-107.0,-115.0,-105.0,-210.0,180.0,-110.0,-110.0,-110.0,-110.0,-225.0,185.0,-105.0,-115.0,-115.0,-105.0,-225.0,185.0,-110.0,-110.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0
NBA,2025-11-14 07:50:32,2025-11-14 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-111.11,-108.44,-413.0,318.22,-108.78,-111.22,East,Central,East,Southeast,-110.0,-110.0,-420.0,330.0,-114.0,-106.0,-115.0,-105.0,-410.0,320.0,-115.0,-105.0,-114,-110,-435,310,-113,-112,-110.0,-110.0,-417.0,312.0,-110.0,-110.0,-106.0,-106.0,-395.0,321.0,-102.0,-113.0,-110.0,-110.0,-400.0,316.0,-105.0,-115.0,-115.0,-105.0,-450.0,340.0,-105.0,-115.0,-110.0,-110.0,-390.0,295.0,-105.0,-115.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0
NBA,2025-11-14 07:50:32,2025-11-14 20:10,Houston Rockets,Portland Trail Blazers,No,1836.0,Yes,-110.56,-109.22,-336.22,267.33,-110.33,-109.67,West,Southwest,West,Northwest,-112.0,-108.0,-320.0,260.0,-114.0,-106.0,-105.0,-115.0,-340.0,270.0,-105.0,-115.0,-112,-114,-315,240,-112,-114,-110.0,-110.0,-345.0,264.0,-110.0,-110.0,-111.0,-101.0,-336.0,278.0,-107.0,-107.0,-115.0,-105.0,-340.0,274.0,-110.0,-110.0,-105.0,-115.0,-350.0,275.0,-110.0,-110.0,-115.0,-105.0,-340.0,270.0,-115.0,-105.0,-110.0,-110.0,-340.0,275.0,-110.0,-110.0
NBA,2025-11-14 07:50:32,2025-11-14 20:10,New Orleans Pelicans,Los Angeles Lakers,No,1673.5,Yes,-106.67,-112.89,359.22,-473.78,-85.56,-112.11,West,Southwest,West,Pacific,-106.0,-114.0,350.0,-450.0,-110.0,-110.0,-102.0,-118.0,360.0,-470.0,-108.0,-112.0,-110,-114,360,-500,-110,-114,-110.0,-110.0,360.0,-500.0,-110.0,-110.0,-104.0,-108.0,367.0,-459.0,-102.0,-113.0,-108.0,-112.0,361.0,-465.0,-105.0,-115.0,-105.0,-115.0,360.0,-475.0,-115.0,-105.0,-105.0,-115.0,350.0,-480.0,100.0,-120.0,-110.0,-110.0,365.0,-465.0,-110.0,-110.0
NBA,2025-11-14 07:50:32,2025-11-14 20:10,Minnesota Timberwolves,Sacramento Kings,No,1514.6,Yes,-111.33,-108.22,-618.22,447.11,-111.0,-109.11,West,Northwest,West,Pacific,-106.0,-114.0,-590.0,440.0,-110.0,-110.0,-115.0,-105.0,-625.0,455.0,-108.0,-112.0,-110,-114,-670,440,-113,-113,-110.0,-110.0,-588.0,412.0,-110.0,-110.0,-111.0,-101.0,-591.0,456.0,-113.0,-102.0,-115.0,-105.0,-600.0,446.0,-115.0,-105.0,-115.0,-105.0,-650.0,475.0,-105.0,-115.0,-110.0,-110.0,-650.0,450.0,-115.0,-105.0,-110.0,-110.0,-600.0,450.0,-110.0,-110.0
NBA,2025-11-14 07:50:32,2025-11-14 20:40,Dallas Mavericks,Los Angeles Clippers,No,1245.2,Yes,-110.56,-109.11,135.78,-160.78,-110.11,-109.89,West,Southwest,West,Pacific,-114.0,-106.0,138.0,-164.0,-110.0,-110.0,-115.0,-105.0,136.0,-162.0,-110.0,-110.0,-115,-110,132,-165,-114,-112,-110.0,-110.0,132.0,-161.0,-110.0,-110.0,-106.0,-106.0,141.0,-160.0,-107.0,-107.0,-110.0,-110.0,140.0,-160.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-105.0,-115.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2025-11-14 07:50:32,2025-11-14 21:40,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,-110.67,-109.0,-150.0,126.56,-110.56,-109.44,West,Southwest,West,Pacific,-112.0,-108.0,-142.0,120.0,-110.0,-110.0,-108.0,-112.0,-155.0,130.0,-115.0,-105.0,-110,-115,-143,116,-113,-113,-110.0,-110.0,-156.0,127.0,-110.0,-110.0,-111.0,-101.0,-149.0,132.0,-107.0,-107.0,-115.0,-105.0,-150.0,130.0,-110.0,-110.0,-110.0,-110.0,-155.0,125.0,-110.0,-110.0,-110.0,-110.0,-150.0,130.0,-110.0,-110.0,-110.0,-110.0,-150.0,129.0,-110.0,-110.0
NBA,2025-11-14 07:50:32,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
