League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-15 22:50:20,2025-11-16 15:30,Boston Celtics,Los Angeles Clippers,No,2604.9,No,-108.22,-111.56,-206.44,172.22,-111.11,-108.78,East,Atlantic,West,Pacific,-105.0,-115.0,-205.0,170.0,-115.0,-105.0,-106.0,-106.0,-204.0,179.0,-107.0,-107.0,-110.0,-110.0,-205.0,177.0,-110.0,-110.0,-105.0,-115.0,-210.0,170.0,-115.0,-105.0,-110.0,-110.0,-204.0,165.0,-110.0,-110.0,-110.0,-110.0,-220.0,184.0,-110.0,-110.0,-105.0,-115.0,-210.0,175.0,-110.0,-110.0,-113,-113,-195,155,-113,-112,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2025-11-15 22:50:20,2025-11-16 16:00,San Antonio Spurs,Sacramento Kings,No,1460.9,No,-112.0,-107.67,-286.56,231.89,-110.11,-109.89,West,Southwest,West,Pacific,-110.0,-110.0,-290.0,235.0,-110.0,-110.0,-111.0,-101.0,-282.0,237.0,-107.0,-107.0,-115.0,-105.0,-285.0,234.0,-110.0,-110.0,-110.0,-110.0,-295.0,230.0,-110.0,-110.0,-110.0,-110.0,-294.0,228.0,-110.0,-110.0,-112.0,-108.0,-280.0,230.0,-110.0,-110.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0,-115,-110,-278,215,-114,-112,-115.0,-105.0,-285.0,238.0,-110.0,-110.0
NBA,2025-11-15 22:50:20,2025-11-16 18:00,Washington Wizards,Brooklyn Nets,No,203.5,No,-111.0,-108.78,-147.78,125.11,-111.0,-109.0,East,Southeast,East,Atlantic,-115.0,-105.0,-142.0,120.0,-110.0,-110.0,-106.0,-106.0,-149.0,132.0,-107.0,-107.0,-110.0,-110.0,-150.0,130.0,-110.0,-110.0,-110.0,-110.0,-150.0,125.0,-115.0,-105.0,-110.0,-110.0,-141.0,114.0,-110.0,-110.0,-110.0,-110.0,-148.0,126.0,-110.0,-110.0,-115.0,-105.0,-145.0,125.0,-115.0,-105.0,-113,-113,-155,125,-112,-114,-110.0,-110.0,-150.0,129.0,-110.0,-110.0
NBA,2025-11-15 22:50:20,2025-11-16 19:00,New Orleans Pelicans,Golden State Warriors,No,1923.5,Yes,-109.78,-110.0,387.78,-521.56,-109.56,-110.44,West,Southwest,West,Pacific,-110.0,-110.0,380.0,-500.0,-110.0,-110.0,-106.0,-106.0,390.0,-493.0,-107.0,-107.0,-110.0,-110.0,383.0,-500.0,-110.0,-110.0,-105.0,-115.0,375.0,-500.0,-105.0,-115.0,-110.0,-110.0,402.0,-556.0,-110.0,-110.0,-110.0,-110.0,390.0,-510.0,-110.0,-110.0,-110.0,-110.0,400.0,-575.0,-110.0,-110.0,-117,-109,380,-560,-114,-112,-110.0,-110.0,390.0,-500.0,-110.0,-110.0
NBA,2025-11-15 22:50:20,2025-11-16 19:00,Houston Rockets,Orlando Magic,No,848.7,Yes,-108.67,-111.0,-322.78,258.22,-110.33,-109.56,West,Southwest,East,Southeast,-105.0,-115.0,-345.0,275.0,-110.0,-110.0,-106.0,-106.0,-317.0,263.0,-107.0,-107.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-333.0,256.0,-110.0,-110.0,-110.0,-110.0,-310.0,250.0,-114.0,-106.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-112,-113,-335,250,-112,-113,-110.0,-110.0,-320.0,260.0,-110.0,-110.0
NBA,2025-11-15 22:50:20,2025-11-16 19:30,Dallas Mavericks,Portland Trail Blazers,No,1632.1,Yes,-109.89,-109.78,138.11,-163.56,-114.67,-38.67,West,Southwest,West,Northwest,-105.0,-115.0,142.0,-170.0,-110.0,-110.0,-106.0,-106.0,141.0,-160.0,-123.0,107.0,-110.0,-110.0,140.0,-160.0,-125.0,105.0,-110.0,-110.0,140.0,-170.0,-105.0,-115.0,-110.0,-110.0,135.0,-167.0,-110.0,-110.0,-110.0,-110.0,142.0,-168.0,-110.0,-110.0,-115.0,-105.0,130.0,-150.0,-110.0,-110.0,-113,-112,135,-167,-114,-110,-110.0,-110.0,138.0,-160.0,-125.0,105.0
NBA,2025-11-15 22:50:20,2025-11-16 20:00,Phoenix Suns,Atlanta Hawks,No,1591.4,Yes,-109.56,-110.0,103.0,-123.11,-107.0,-113.0,West,Pacific,East,Southeast,-105.0,-115.0,105.0,-125.0,-110.0,-110.0,-106.0,-106.0,107.0,-123.0,-102.0,-113.0,-110.0,-110.0,105.0,-125.0,-105.0,-115.0,-110.0,-110.0,100.0,-120.0,-105.0,-115.0,-110.0,-110.0,101.0,-123.0,-110.0,-110.0,-110.0,-110.0,102.0,-120.0,-106.0,-114.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-115,-109,102,-127,-110,-115,-110.0,-110.0,105.0,-125.0,-105.0,-115.0
NBA,2025-11-15 22:50:20,2025-11-16 20:00,Utah Jazz,Chicago Bulls,No,1258.5,Yes,-110.11,-109.44,151.78,-181.11,-112.22,-107.89,West,Northwest,East,Central,-110.0,-110.0,154.0,-185.0,-115.0,-105.0,-106.0,-106.0,154.0,-175.0,-113.0,-102.0,-110.0,-110.0,153.0,-175.0,-115.0,-105.0,-110.0,-110.0,150.0,-185.0,-110.0,-110.0,-110.0,-110.0,148.0,-185.0,-110.0,-110.0,-110.0,-110.0,152.0,-180.0,-110.0,-110.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0,-115,-109,150,-190,-112,-114,-110.0,-110.0,150.0,-175.0,-115.0,-105.0
NBA,2025-11-15 22:50:20,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,
NBA,2025-11-15 22:50:20,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,
NBA,2025-11-15 22:50:20,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,
