League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-16 16:20:35,2025-11-16 15:40,Boston Celtics,Los Angeles Clippers,No,2604.9,No,-117.17,-113.5,-399.17,276.67,-113.83,-116.17,East,Atlantic,West,Pacific,-125.0,-105.0,-375.0,270.0,-115.0,-115.0,-118.0,-110.0,-325.0,240.0,-115.0,-110.0,-118.0,-105.0,-455.0,305.0,-105.0,-118.0,-106.0,-125.0,-440.0,310.0,-118.0,-112.0,-115.0,-115.0,-400.0,275.0,-110.0,-120.0,-121,-121,-400,260,-120,-122,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 16:20:35,2025-11-16 16:10,San Antonio Spurs,Sacramento Kings,No,1460.9,No,-115.44,-89.56,-334.78,246.89,-112.0,-114.67,West,Southwest,West,Pacific,-105.0,-125.0,-395.0,280.0,-115.0,-115.0,-118.0,-110.0,-325.0,240.0,-110.0,-115.0,-111.0,-118.0,-400.0,290.0,-111.0,-118.0,-136.0,102.0,-400.0,285.0,-110.0,-120.0,-110.0,-120.0,-410.0,280.0,-110.0,-120.0,-122,-120,-335,220,-120,-122,-109.0,-103.0,-248.0,210.0,-107.0,-107.0,-113.0,-107.0,-250.0,207.0,-110.0,-110.0,-115.0,-105.0,-250.0,210.0,-115.0,-105.0
NBA,2025-11-16 16:20:35,2025-11-16 18:00,Washington Wizards,Brooklyn Nets,No,203.5,No,-110.11,-109.56,-145.67,122.89,-108.33,-111.56,East,Southeast,East,Atlantic,-115.0,-105.0,-148.0,124.0,-105.0,-115.0,-115.0,-105.0,-150.0,125.0,-105.0,-115.0,-110.0,-110.0,-152.0,123.0,-110.0,-110.0,-110.0,-110.0,-144.0,122.0,-106.0,-114.0,-105.0,-115.0,-140.0,120.0,-110.0,-110.0,-110,-115,-143,115,-112,-113,-106.0,-106.0,-144.0,127.0,-107.0,-107.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0
NBA,2025-11-16 16:20:35,2025-11-16 19:00,New Orleans Pelicans,Golden State Warriors,No,1923.5,Yes,-110.89,-108.78,367.89,-486.67,-110.56,-109.44,West,Southwest,West,Pacific,-115.0,-105.0,380.0,-500.0,-105.0,-115.0,-115.0,-105.0,360.0,-475.0,-115.0,-105.0,-110.0,-110.0,348.0,-476.0,-110.0,-110.0,-106.0,-114.0,380.0,-490.0,-110.0,-110.0,-105.0,-115.0,390.0,-550.0,-110.0,-110.0,-115,-110,360,-500,-112,-114,-109.0,-103.0,367.0,-459.0,-110.0,-104.0,-113.0,-107.0,361.0,-465.0,-113.0,-107.0,-110.0,-110.0,365.0,-465.0,-110.0,-110.0
NBA,2025-11-16 16:20:35,2025-11-16 19:00,Houston Rockets,Orlando Magic,No,848.7,Yes,-111.33,-108.44,-303.44,244.11,-108.22,-111.89,West,Southwest,East,Southeast,-115.0,-105.0,-310.0,250.0,-108.0,-112.0,-115.0,-105.0,-300.0,240.0,-105.0,-115.0,-110.0,-110.0,-294.0,228.0,-110.0,-110.0,-110.0,-110.0,-310.0,250.0,-110.0,-110.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0,-112,-114,-315,235,-114,-112,-108.0,-104.0,-302.0,252.0,-102.0,-113.0,-112.0,-108.0,-305.0,249.0,-105.0,-115.0,-110.0,-110.0,-305.0,253.0,-110.0,-110.0
NBA,2025-11-16 16:20:35,2025-11-16 19:30,Dallas Mavericks,Portland Trail Blazers,No,1632.1,Yes,-108.22,-111.44,139.22,-164.78,-109.89,-110.11,West,Southwest,West,Northwest,-108.0,-112.0,140.0,-166.0,-108.0,-112.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-110.0,-110.0,132.0,-161.0,-110.0,-110.0,-110.0,-110.0,138.0,-164.0,-108.0,-112.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-110,-115,130,-162,-112,-114,-101.0,-111.0,146.0,-165.0,-109.0,-105.0,-105.0,-115.0,145.0,-165.0,-112.0,-108.0,-110.0,-110.0,142.0,-165.0,-110.0,-110.0
NBA,2025-11-16 16:20:35,2025-11-16 20:00,Phoenix Suns,Atlanta Hawks,No,1591.4,Yes,-108.78,-111.0,-118.44,9.56,-109.67,-110.33,West,Pacific,East,Southeast,-102.0,-118.0,-115.0,-105.0,-108.0,-112.0,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,-110.0,-110.0,-125.0,102.0,-110.0,-110.0,-114.0,-106.0,-120.0,102.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-112,-114,-115,-108,-112,-114,-106.0,-106.0,-118.0,102.0,-107.0,-107.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0
NBA,2025-11-16 16:20:35,2025-11-16 20:00,Utah Jazz,Chicago Bulls,No,1258.5,Yes,-108.78,-110.89,155.89,-186.0,-111.11,-108.89,West,Northwest,East,Central,-108.0,-112.0,160.0,-192.0,-110.0,-110.0,-105.0,-115.0,155.0,-190.0,-115.0,-105.0,-110.0,-110.0,146.0,-182.0,-110.0,-110.0,-110.0,-110.0,150.0,-180.0,-110.0,-110.0,-105.0,-115.0,160.0,-185.0,-110.0,-110.0,-115,-110,150,-190,-112,-114,-106.0,-106.0,162.0,-185.0,-110.0,-104.0,-110.0,-110.0,161.0,-185.0,-113.0,-107.0,-110.0,-110.0,159.0,-185.0,-110.0,-110.0
NBA,2025-11-16 16:20:35,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 16:20:35,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 16:20:35,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,,,,,,,
