League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-16 22:50:58,2025-11-16 20:10,Phoenix Suns,Atlanta Hawks,No,1591.4,Yes,-118.0,-110.0,270.0,-494.5,-210.0,160.0,West,Pacific,East,Southeast,,,145.0,-188.0,,,-118.0,-110.0,-145.0,110.0,-210.0,160.0,,,480.0,-800.0,,,,,600.0,-1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 22:50:58,2025-11-16 20:11,Utah Jazz,Chicago Bulls,No,1258.5,Yes,-134.33,34.33,-961.67,396.17,-114.0,-119.0,West,Northwest,East,Central,-140.0,110.0,-810.0,500.0,-110.0,-120.0,,,-750.0,475.0,,,-138.0,104.0,-3500.0,1060.0,,,,,-200.0,150.0,,,-125.0,-111.0,115.0,-143.0,-118.0,-118.0,,,-625.0,335.0,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 22:50:58,2025-11-17 19:00,Cleveland Cavaliers,Milwaukee Bucks,Yes,336.6,Yes,-109.89,-109.78,-266.0,213.17,-110.33,-109.67,East,Central,East,Central,-110.0,-110.0,-258.0,210.0,-110.0,-110.0,-110.0,-110.0,-275.0,220.0,-110.0,-110.0,-108.0,-112.0,-255.0,210.0,-112.0,-108.0,-110.0,-110.0,-270.0,220.0,-110.0,-110.0,-110.0,-110.0,-263.0,209.0,-110.0,-110.0,-115.0,-110.0,-275.0,210.0,-114.0,-112.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-16 22:50:58,2025-11-17 19:00,Detroit Pistons,Indiana Pacers,Yes,240.5,Yes,-111.78,-107.89,-414.83,313.5,-110.78,-109.22,East,Central,East,Central,-110.0,-110.0,-410.0,320.0,-110.0,-110.0,-110.0,-110.0,-450.0,333.0,-115.0,-105.0,-110.0,-110.0,-420.0,330.0,-112.0,-108.0,-110.0,-110.0,-430.0,320.0,-110.0,-110.0,-110.0,-110.0,-404.0,303.0,-110.0,-110.0,-115.0,-110.0,-375.0,275.0,-113.0,-113.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-11-16 22:50:58,2025-11-17 19:10,Philadelphia 76ers,Los Angeles Clippers,No,2401.6,Yes,-111.12,-108.62,-202.8,166.0,-109.0,-111.0,East,Atlantic,West,Pacific,-115.0,-105.0,-198.0,164.0,-110.0,-110.0,-115.0,-105.0,-200.0,165.0,-105.0,-115.0,-110.0,-110.0,-215.0,180.0,-108.0,-112.0,,,,,,,-110.0,-110.0,-196.0,158.0,-110.0,-110.0,-113.0,-113.0,-205.0,163.0,-112.0,-114.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-16 22:50:58,2025-11-17 19:30,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-110.11,-109.56,-318.83,252.83,-110.0,-110.0,East,Atlantic,East,Southeast,-110.0,-110.0,-310.0,250.0,-110.0,-110.0,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0,-115.0,-105.0,-330.0,265.0,-110.0,-110.0,-110.0,-110.0,-323.0,252.0,-110.0,-110.0,-115.0,-110.0,-305.0,230.0,-113.0,-113.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-16 22:50:58,2025-11-17 19:30,Miami Heat,New York Knicks,No,1091.4,Yes,-110.78,-109.0,-119.5,-1.33,-110.22,-109.78,East,Southeast,East,Atlantic,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-114.0,-106.0,-122.0,104.0,-112.0,-108.0,-115.0,-105.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-119.0,-103.0,-110.0,-110.0,-112.0,-114.0,-121.0,-104.0,-113.0,-113.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-16 22:50:58,2025-11-17 20:00,Minnesota Timberwolves,Dallas Mavericks,No,861.9,Yes,-110.6,-110.6,-1002.0,629.0,-110.4,-110.8,West,Northwest,West,Southwest,-110.0,-110.0,-1000.0,650.0,-110.0,-110.0,-110.0,-110.0,-1000.0,625.0,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-1000.0,595.0,-110.0,-110.0,-113.0,-113.0,-910.0,575.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 22:50:58,2025-11-17 20:10,New Orleans Pelicans,Oklahoma City Thunder,No,575.8,Yes,-109.71,-110.0,1028.6,-2260.0,-109.86,-110.14,West,Southwest,West,Northwest,-110.0,-110.0,1000.0,-1800.0,-110.0,-110.0,-110.0,-110.0,1050.0,-2500.0,-110.0,-110.0,-110.0,-110.0,1200.0,-2500.0,-110.0,-110.0,,,,,,,-110.0,-110.0,893.0,-2000.0,-110.0,-110.0,-112.0,-114.0,1000.0,-2500.0,-112.0,-114.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-16 22:50:58,2025-11-17 21:10,Denver Nuggets,Chicago Bulls,No,918.9,Yes,-111.57,-108.0,-633.6,455.2,-110.0,-110.0,West,Northwest,East,Central,-115.0,-105.0,-650.0,470.0,-110.0,-110.0,-115.0,-105.0,-650.0,475.0,-110.0,-110.0,-112.0,-108.0,-720.0,520.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-588.0,421.0,-110.0,-110.0,-113.0,-112.0,-560.0,390.0,-113.0,-113.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-16 22:50:58,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 22:50:58,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 22:50:58,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,
