League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-17 04:30:03,2025-11-17 19:00,Cleveland Cavaliers,Milwaukee Bucks,Yes,336.6,Yes,-110.11,-109.67,-264.25,214.25,-110.44,-109.56,East,Central,East,Central,-110.0,-110.0,-265.0,215.0,-112.0,-108.0,-106.0,-106.0,-253.0,214.0,-107.0,-107.0,-110.0,-110.0,-255.0,211.0,-110.0,-110.0,-108.0,-112.0,-255.0,210.0,-112.0,-108.0,-110.0,-110.0,-263.0,209.0,-110.0,-110.0,-110.0,-110.0,-270.0,220.0,-115.0,-105.0,-110.0,-110.0,-275.0,220.0,-105.0,-115.0,-117,-109,-278,215,-113,-113,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-17 04:30:03,2025-11-17 19:00,Detroit Pistons,Indiana Pacers,Yes,240.5,Yes,-112.44,-107.33,-450.5,341.88,-110.78,-109.33,East,Central,East,Central,-115.0,-105.0,-440.0,340.0,-105.0,-115.0,-111.0,-101.0,-439.0,353.0,-112.0,-103.0,-115.0,-105.0,-445.0,347.0,-114.0,-106.0,-112.0,-108.0,-450.0,350.0,-112.0,-108.0,-110.0,-110.0,-455.0,330.0,-110.0,-110.0,-105.0,-115.0,-490.0,355.0,-110.0,-110.0,-115.0,-105.0,-450.0,340.0,-105.0,-115.0,-114,-112,-435,320,-114,-112,-115.0,-105.0,,,-115.0,-105.0
NBA,2025-11-17 04:30:03,2025-11-17 19:10,Philadelphia 76ers,Los Angeles Clippers,No,2401.6,Yes,-110.44,-109.33,-205.38,171.0,-108.89,-111.11,East,Atlantic,West,Pacific,-105.0,-115.0,-205.0,170.0,-110.0,-110.0,-111.0,-101.0,-202.0,177.0,-107.0,-107.0,-115.0,-105.0,-203.0,176.0,-110.0,-110.0,-110.0,-110.0,-210.0,176.0,-106.0,-114.0,-110.0,-110.0,-213.0,171.0,-110.0,-110.0,-110.0,-110.0,-195.0,165.0,-105.0,-115.0,-105.0,-115.0,-210.0,170.0,-110.0,-110.0,-113,-113,-205,163,-112,-114,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-11-17 04:30:03,2025-11-17 19:30,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-109.44,-110.11,-334.88,267.0,-109.67,-110.22,East,Atlantic,East,Southeast,-105.0,-115.0,-340.0,270.0,-108.0,-112.0,-106.0,-106.0,-336.0,278.0,-107.0,-107.0,-110.0,-110.0,-340.0,274.0,-110.0,-110.0,-114.0,-106.0,-330.0,270.0,-110.0,-110.0,-110.0,-110.0,-333.0,259.0,-110.0,-110.0,-115.0,-105.0,-330.0,265.0,-110.0,-110.0,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-110,-114,-345,260,-112,-113,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-17 04:30:03,2025-11-17 19:30,Miami Heat,New York Knicks,No,1091.4,Yes,-112.78,-107.0,-122.62,77.5,-110.22,-109.78,East,Southeast,East,Atlantic,-115.0,-105.0,-125.0,105.0,-115.0,-105.0,-110.0,-102.0,-123.0,107.0,-107.0,-107.0,-114.0,-106.0,-125.0,105.0,-110.0,-110.0,-114.0,-106.0,-120.0,102.0,-112.0,-108.0,-110.0,-110.0,-122.0,100.0,-110.0,-110.0,-115.0,-105.0,-120.0,100.0,-105.0,-115.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-112,-114,-121,-104,-113,-113,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-11-17 04:30:03,2025-11-17 20:00,Minnesota Timberwolves,Dallas Mavericks,No,861.9,Yes,-109.78,-110.0,-973.75,625.38,-112.22,-107.89,West,Northwest,West,Southwest,-105.0,-115.0,-950.0,625.0,-118.0,-102.0,-110.0,-102.0,-931.0,657.0,-113.0,-102.0,-114.0,-106.0,-950.0,637.0,-115.0,-105.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,-110.0,-110.0,-909.0,584.0,-110.0,-110.0,-110.0,-110.0,-850.0,550.0,-110.0,-110.0,-105.0,-115.0,-1100.0,650.0,-105.0,-115.0,-114,-112,-1000,600,-114,-112,-110.0,-110.0,,,-115.0,-105.0
NBA,2025-11-17 04:30:03,2025-11-17 20:10,New Orleans Pelicans,Oklahoma City Thunder,No,575.8,Yes,-109.78,-110.0,977.0,-2014.0,-109.22,-110.78,West,Southwest,West,Northwest,-110.0,-110.0,950.0,-1650.0,-108.0,-112.0,-106.0,-106.0,931.0,-1512.0,-105.0,-109.0,-110.0,-110.0,892.0,-1550.0,-108.0,-112.0,-110.0,-110.0,1200.0,-2500.0,-110.0,-110.0,-110.0,-110.0,893.0,-2000.0,-110.0,-110.0,-110.0,-110.0,900.0,-1900.0,-110.0,-110.0,-110.0,-110.0,1050.0,-2500.0,-110.0,-110.0,-112,-114,1000,-2500,-112,-114,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-17 04:30:03,2025-11-17 21:10,Denver Nuggets,Chicago Bulls,No,918.9,Yes,-107.33,-112.33,-954.0,614.38,-107.78,-112.33,West,Northwest,East,Central,-105.0,-115.0,-900.0,600.0,-110.0,-110.0,-101.0,-111.0,-857.0,616.0,-102.0,-113.0,-105.0,-115.0,-875.0,598.0,-105.0,-115.0,-110.0,-110.0,-1000.0,660.0,-110.0,-110.0,-110.0,-110.0,-1000.0,591.0,-110.0,-110.0,-110.0,-110.0,-900.0,575.0,-105.0,-115.0,-105.0,-115.0,-1100.0,675.0,-110.0,-110.0,-110,-115,-1000,600,-113,-113,-110.0,-110.0,,,-105.0,-115.0
NBA,2025-11-17 04:30:03,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,
NBA,2025-11-17 04:30:03,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,
