League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-17 22:47:01,2025-11-17 21:11,Denver Nuggets,Chicago Bulls,No,918.9,Yes,-115.5,-116.83,33.5,-131.67,-115.5,-116.0,West,Northwest,East,Central,-102.0,-130.0,-104.0,-122.0,-118.0,-112.0,-120.0,-110.0,100.0,-130.0,-110.0,-120.0,-115.0,-115.0,100.0,-130.0,-110.0,-118.0,-121,-121,105,-148,-124,-118,-125.0,-105.0,-105.0,-125.0,-111.0,-118.0,-110.0,-120.0,105.0,-135.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 22:47:01,2025-11-18 19:10,Orlando Magic,Golden State Warriors,No,2439.6,Yes,-110.89,-108.78,126.57,-151.86,-110.0,-109.89,East,Southeast,West,Pacific,-110.0,-110.0,134.0,-158.0,-110.0,-110.0,-112.0,-108.0,130.0,-155.0,-110.0,-110.0,-115.0,-105.0,125.0,-155.0,-110.0,-110.0,-115,-110,118,-148,-113,-112,-110.0,-110.0,124.0,-152.0,-110.0,-110.0,-110.0,-110.0,130.0,-150.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0
NBA,2025-11-17 22:47:01,2025-11-18 19:40,Brooklyn Nets,Boston Celtics,Yes,190.6,Yes,-109.0,-110.78,396.43,-538.0,-110.33,-109.67,East,Atlantic,East,Atlantic,-106.0,-114.0,400.0,-520.0,-110.0,-110.0,-110.0,-110.0,380.0,-500.0,-108.0,-112.0,-110.0,-110.0,400.0,-550.0,-110.0,-110.0,-109,-117,360,-500,-113,-113,-110.0,-110.0,400.0,-556.0,-110.0,-110.0,-110.0,-110.0,390.0,-550.0,-115.0,-105.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,445.0,-590.0,-110.0,-110.0
NBA,2025-11-17 22:47:01,2025-11-18 20:10,Atlanta Hawks,Detroit Pistons,No,596.5,Yes,-111.0,-111.0,-119.33,32.67,-110.67,-111.0,East,Southeast,East,Central,-110.0,-110.0,-116.0,-102.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,,,,,,,-113,-113,-122,100,-112,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 22:47:01,2025-11-18 20:10,San Antonio Spurs,Memphis Grizzlies,Yes,628.7,Yes,-108.56,-111.22,-248.29,202.0,-109.33,-110.67,West,Southwest,West,Southwest,-114.0,-106.0,-230.0,190.0,-108.0,-112.0,-105.0,-115.0,-250.0,205.0,-112.0,-108.0,-105.0,-115.0,-250.0,200.0,-105.0,-115.0,-112,-114,-265,205,-112,-114,-110.0,-110.0,-238.0,191.0,-110.0,-110.0,-105.0,-115.0,-245.0,205.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-260.0,218.0,-110.0,-110.0
NBA,2025-11-17 22:47:01,2025-11-18 22:40,Los Angeles Lakers,Utah Jazz,No,580.8,Yes,-109.33,-110.44,-648.14,459.57,-111.22,-108.89,West,Pacific,West,Northwest,-110.0,-110.0,-620.0,460.0,-110.0,-110.0,-110.0,-110.0,-650.0,470.0,-110.0,-110.0,-105.0,-115.0,-700.0,500.0,-105.0,-115.0,-113,-113,-670,450,-113,-113,-110.0,-110.0,-667.0,447.0,-110.0,-110.0,-110.0,-110.0,-600.0,425.0,-110.0,-110.0,-106.0,-106.0,,,-113.0,-102.0,-110.0,-110.0,,,-115.0,-105.0,-110.0,-110.0,-630.0,465.0,-115.0,-105.0
NBA,2025-11-17 22:47:01,2025-11-18 23:10,Portland Trail Blazers,Phoenix Suns,No,1006.0,Yes,-111.38,-108.38,-122.67,68.67,-109.62,-110.25,West,Northwest,West,Pacific,-112.0,-108.0,-126.0,108.0,-110.0,-110.0,-110.0,-110.0,-122.0,102.0,-112.0,-108.0,-110.0,-110.0,-120.0,100.0,-105.0,-115.0,-113,-113,-121,-103,-113,-112,-110.0,-110.0,-122.0,100.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-17 22:47:01,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 22:47:01,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 22:47:01,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
