League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-18 20:54:11,2025-11-18 19:12,Orlando Magic,Golden State Warriors,No,2439.6,Yes,-78.67,-121.33,-428.5,293.33,-118.0,-113.33,East,Southeast,West,Pacific,116,-154,-460,320,-114,-114,-125,-105,-315,230,-115,-115,-105.0,-125.0,-556.0,360.0,-118.0,-111.0,-118.0,-124.0,-455.0,295.0,-121.0,-120.0,-125.0,-105.0,-375.0,275.0,-125.0,-105.0,-115.0,-115.0,-410.0,280.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-18 20:54:11,2025-11-18 19:40,Brooklyn Nets,Boston Celtics,Yes,190.6,Yes,-116.33,-114.5,281.67,-405.83,-114.67,-115.67,East,Atlantic,East,Atlantic,-118,-112,255,-350,-118,-112,-110,-120,270,-375,-115,-115,-105.0,-118.0,330.0,-500.0,-111.0,-111.0,-125.0,-117.0,245.0,-360.0,-124.0,-118.0,-125.0,-105.0,340.0,-500.0,-110.0,-118.0,-115.0,-115.0,250.0,-350.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-18 20:54:11,2025-11-18 19:41,Atlanta Hawks,Detroit Pistons,No,596.5,Yes,-119.0,-78.83,322.5,-475.0,-116.5,-114.17,East,Southeast,East,Central,-136,102,280,-390,-125,-106,-120,-110,300,-425,-120,-110,-118.0,-105.0,350.0,-500.0,-105.0,-118.0,-115.0,-127.0,280.0,-435.0,-124.0,-118.0,-110.0,-118.0,375.0,-550.0,-110.0,-118.0,-115.0,-115.0,350.0,-550.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-18 20:54:11,2025-11-18 20:13,San Antonio Spurs,Memphis Grizzlies,Yes,628.7,Yes,-77.17,-121.67,-153.17,118.17,-116.67,-114.33,West,Southwest,West,Southwest,108,-144,-154,120,-118,-112,-115,-115,-145,114,-115,-115,-111.0,-118.0,-143.0,115.0,-118.0,-111.0,-125.0,-115.0,-177.0,130.0,-124.0,-118.0,-110.0,-118.0,-150.0,115.0,-110.0,-115.0,-110.0,-120.0,-150.0,115.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-18 20:54:11,2025-11-18 22:40,Los Angeles Lakers,Utah Jazz,No,580.8,Yes,-108.89,-110.89,-731.25,508.38,-111.0,-108.89,West,Pacific,West,Northwest,-108,-112,-720,520,-110,-110,-108,-112,-750,525,-115,-105,-110.0,-110.0,-776.0,515.0,-110.0,-110.0,-113.0,-113.0,-715.0,460.0,-112.0,-113.0,-115.0,-105.0,-750.0,525.0,-115.0,-105.0,-110.0,-110.0,-750.0,500.0,-110.0,-110.0,-101.0,-111.0,-689.0,517.0,-107.0,-107.0,-105.0,-115.0,-700.0,505.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-18 20:54:11,2025-11-18 23:10,Portland Trail Blazers,Phoenix Suns,No,1006.0,Yes,-109.0,-110.67,-141.44,119.22,-109.89,-110.11,West,Northwest,West,Pacific,-110,-110,-146,124,-110,-110,-105,-115,-142,120,-110,-110,-110.0,-110.0,-144.0,117.0,-110.0,-110.0,-115.0,-110.0,-143.0,116.0,-112.0,-114.0,-105.0,-115.0,-140.0,115.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-106.0,-106.0,-141.0,124.0,-107.0,-107.0,-110.0,-110.0,-142.0,122.0,-110.0,-110.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0
NBA,2025-11-18 20:54:11,2025-11-19 19:00,Indiana Pacers,Charlotte Hornets,No,428.0,Yes,-5.0,-115.0,-106.0,-113.0,-112.0,-108.0,East,Central,East,Southeast,-110,-110,-102,-116,-114,-106,100,-120,-110,-110,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-18 20:54:11,2025-11-19 19:00,Cleveland Cavaliers,Houston Rockets,No,1114.4,Yes,-111.0,-109.0,-119.0,100.0,-110.0,-110.0,East,Central,West,Southwest,-112,-108,-118,100,-110,-110,-110,-110,-120,100,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-18 20:54:11,2025-11-19 19:00,Philadelphia 76ers,Toronto Raptors,Yes,337.5,Yes,-112.33,-107.67,-126.0,105.67,-111.33,-108.67,East,Atlantic,East,Atlantic,-112,-108,-126,108,-114,-106,-115,-105,-125,105,-110,-110,-110.0,-110.0,-127.0,104.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-18 20:54:11,2025-11-19 20:00,New Orleans Pelicans,Denver Nuggets,No,1081.8,Yes,-110.0,-110.0,527.33,-777.67,-109.33,-110.67,West,Southwest,West,Northwest,-110,-110,480,-650,-108,-112,-110,-110,575,-850,-110,-110,-110.0,-110.0,527.0,-833.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
