League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-19 01:36:06,2025-11-18 23:14,Portland Trail Blazers,Phoenix Suns,No,1006.0,Yes,180.33,-1777.67,,,-28.33,-142.67,West,Northwest,West,Pacific,-120,-110,,,-120,-110,145,-188,,,,,-113,-132,,,,,1400,-10000,,,140,-185,-105.0,-125.0,,,,,-125.0,-111.0,,,-105.0,-133.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-19 01:36:06,2025-11-19 19:00,Indiana Pacers,Charlotte Hornets,No,428.0,Yes,-110.33,-109.33,10.22,-119.11,-111.33,-108.67,East,Central,East,Southeast,-110,-110,-102.0,-116.0,-114,-106,-112,-108,-102.0,-118.0,-112.0,-108.0,-115,-110,-105.0,-120.0,-114.0,-112.0,-110,-110,100.0,-120.0,-115,-105,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,-101.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-106.0,-106.0,102.0,-118.0,-107.0,-107.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0
NBA,2025-11-19 01:36:06,2025-11-19 19:00,Cleveland Cavaliers,Houston Rockets,No,1114.4,Yes,-109.78,-110.0,33.78,-120.33,-109.78,-110.22,East,Central,West,Southwest,-114,-106,-102.0,-116.0,-110,-110,-115,-105,100.0,-120.0,-108.0,-112.0,-113,-113,100.0,-124.0,-113.0,-113.0,-110,-110,100.0,-120.0,-110,-110,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,-101.0,-120.0,-110.0,-110.0,-105.0,-115.0,105.0,-125.0,-110.0,-110.0,-101.0,-111.0,107.0,-123.0,-107.0,-107.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0
NBA,2025-11-19 01:36:06,2025-11-19 19:00,Philadelphia 76ers,Toronto Raptors,Yes,337.5,Yes,-110.56,-64.78,-107.5,-112.5,-109.56,-110.44,East,Atlantic,East,Atlantic,-106,-114,-110.0,-106.0,-114,-106,-120,100,-105.0,-115.0,-108.0,-112.0,-108,-118,-112.0,-110.0,-112.0,-114.0,-120,100,-105.0,-115.0,-110,-110,-115.0,-105.0,-105.0,-115.0,-105.0,-115.0,-110.0,-110.0,-108.0,-114.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-19 01:36:06,2025-11-19 19:30,Miami Heat,Golden State Warriors,No,2592.8,Yes,-109.88,-109.88,-243.38,198.0,-110.5,-109.5,East,Southeast,West,Pacific,-108,-112,-245.0,200.0,-110,-110,-112,-108,-245.0,200.0,-115.0,-105.0,-113,-113,-250.0,195.0,-112.0,-114.0,-115,-105,-250.0,200.0,-110,-110,-105.0,-115.0,-240.0,200.0,-110.0,-110.0,-110.0,-110.0,-250.0,196.0,-110.0,-110.0,-110.0,-110.0,-235.0,195.0,-110.0,-110.0,-106.0,-106.0,-232.0,198.0,-107.0,-107.0,,,,,,
NBA,2025-11-19 01:36:06,2025-11-19 20:00,New Orleans Pelicans,Denver Nuggets,No,1081.8,Yes,-109.38,-110.38,569.88,-849.88,-109.88,-110.12,West,Southwest,West,Northwest,-110,-110,570.0,-820.0,-108,-112,-110,-110,575.0,-850.0,-110.0,-110.0,-114,-112,550.0,-910.0,-114.0,-112.0,-110,-110,600.0,-900.0,-110,-110,-105.0,-115.0,575.0,-900.0,-110.0,-110.0,-110.0,-110.0,552.0,-833.0,-110.0,-110.0,-110.0,-110.0,561.0,-800.0,-110.0,-110.0,-106.0,-106.0,576.0,-786.0,-107.0,-107.0,,,,,,
NBA,2025-11-19 01:36:06,2025-11-19 20:00,Minnesota Timberwolves,Washington Wizards,No,934.6,Yes,-109.22,-110.56,-1267.38,752.25,-110.33,-109.67,West,Northwest,East,Southeast,-114,-106,-1200.0,750.0,-114,-106,-105,-115,-1200.0,750.0,-110.0,-110.0,-113,-113,-1115.0,600.0,-112.0,-114.0,-105,-115,-1600.0,900.0,-110,-110,-110.0,-110.0,-1400.0,750.0,-110.0,-110.0,-110.0,-110.0,-1250.0,733.0,-110.0,-110.0,-110.0,-110.0,-1200.0,754.0,-110.0,-110.0,-106.0,-106.0,-1174.0,781.0,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-19 01:36:06,2025-11-19 20:00,Oklahoma City Thunder,Sacramento Kings,No,1339.6,Yes,-110.56,-109.22,-2166.67,1003.5,-110.56,-109.44,West,Northwest,West,Pacific,-110,-110,-2200.0,1100.0,-112,-108,-110,-110,-1800.0,1000.0,-112.0,-108.0,-114,-112,-2000.0,850.0,-114.0,-112.0,-110,-110,-3000.0,1200.0,-110,-110,-115.0,-105.0,-2000.0,950.0,-110.0,-110.0,-110.0,-110.0,-2000.0,921.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-19 01:36:06,2025-11-19 21:30,Dallas Mavericks,New York Knicks,No,1374.4,Yes,-107.75,-112.0,169.12,-202.75,-110.5,-109.5,West,Southwest,East,Atlantic,-110,-110,184.0,-220.0,-108,-112,-102,-118,170.0,-205.0,-115.0,-105.0,-109,-117,155.0,-195.0,-114.0,-112.0,-110,-110,165.0,-200.0,-110,-110,-105.0,-115.0,175.0,-210.0,-110.0,-110.0,-110.0,-110.0,155.0,-192.0,-110.0,-110.0,-110.0,-110.0,174.0,-200.0,-110.0,-110.0,-106.0,-106.0,175.0,-200.0,-107.0,-107.0,,,,,,
NBA,2025-11-19 01:36:06,2025-11-19 22:10,Portland Trail Blazers,Chicago Bulls,No,1756.4,Yes,-110.25,-111.0,-0.25,-120.25,-111.0,-110.25,West,Northwest,East,Central,-110,-110,104.0,-122.0,-110,-110,-108,-112,-102.0,-118.0,-112.0,-108.0,-113,-112,-103.0,-121.0,-112.0,-113.0,-110,-110,100.0,-120.0,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
