League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
NBA,2025-11-20 20:53:33,2025-11-20 19:12,Orlando Magic,Los Angeles Clippers,No,2206.9,Yes,-117.67,-115.17,-9000.0,1966.67,-113.67,-117.17,East,Southeast,West,Pacific,-125,-106,-7000,1500,-114,-114,-118.0,-118.0,,,-105.0,-125.0,-120,-122,,,-118,-124,-115,-115,-10000,2200,-115,-115,-118.0,-110.0,-10000.0,2200.0,-115.0,-110.0,-110.0,-120.0,,,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-11-20 20:53:33,2025-11-20 20:10,Milwaukee Bucks,Philadelphia 76ers,No,695.4,Yes,-81.67,-116.67,157.8,-210.0,-117.33,-81.0,East,Central,East,Atlantic,-130,-102,164,-215,-112,-118,105.0,-133.0,190.0,-250.0,-133.0,105.0,-120,-122,160.0,-230.0,-124,-118,-120,-110,150,-195,-120,-110,-110.0,-118.0,125.0,-160.0,-105.0,-125.0,-115.0,-115.0,,,-110.0,-120.0,,,,,,,,,,,,
NBA,2025-11-20 20:53:33,2025-11-20 20:11,San Antonio Spurs,Atlanta Hawks,No,879.2,Yes,-117.33,-113.0,-343.0,245.0,-114.5,-115.5,West,Southwest,East,Southeast,-122,-108,-320,235,-112,-118,-111.0,-111.0,-333.0,240.0,-105.0,-118.0,-118,-124,-385.0,255.0,-120,-122,-120,-110,-345,250,-120,-110,-118.0,-110.0,-325.0,240.0,-115.0,-110.0,-115.0,-115.0,-350.0,250.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-11-20 20:53:33,2025-11-20 20:11,Memphis Grizzlies,Sacramento Kings,No,1750.1,Yes,-80.17,-117.5,-1551.83,709.17,-113.0,-117.0,West,Southwest,West,Pacific,102,-136,-1400,680,-114,-114,-111.0,-111.0,-1111.0,600.0,-111.0,-111.0,-124,-118,-2500.0,800.0,-118,-122,-120,-110,-1300,700,-110,-120,-118.0,-110.0,-1000.0,575.0,-115.0,-115.0,-110.0,-120.0,-2000.0,900.0,-110.0,-120.0,,,,,,,,,,,,
NBA,2025-11-20 20:53:33,2025-11-21 19:00,Cleveland Cavaliers,Indiana Pacers,Yes,263.5,Yes,-110.14,-109.57,-895.8,582.2,-110.29,-109.71,East,Central,East,Central,-112,-108,-820,570,-112,-108,-110.0,-110.0,-909.0,566.0,-110.0,-110.0,-113,-113,-1000.0,600.0,-113,-113,-110,-110,-850,575,-110,-110,-110.0,-110.0,-900.0,600.0,-110.0,-110.0,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-20 20:53:33,2025-11-21 19:40,Boston Celtics,Brooklyn Nets,Yes,190.6,Yes,-111.71,-108.0,-1153.0,697.4,-109.43,-110.43,East,Atlantic,East,Atlantic,-110,-110,-1200,750,-106,-114,-110.0,-110.0,-1250.0,687.0,-110.0,-110.0,-113,-113,-1115.0,650.0,-113,-112,-118,-102,-1100,700,-115,-105,-115.0,-105.0,-1100.0,700.0,-105.0,-115.0,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-20 20:53:33,2025-11-21 19:40,Toronto Raptors,Washington Wizards,No,349.7,Yes,-113.14,-77.86,-918.8,596.6,-111.43,-108.71,East,Atlantic,East,Southeast,-110,-110,-900,610,-110,-110,-110.0,-110.0,-909.0,583.0,-110.0,-110.0,-112,-113,-835.0,540.0,-112,-114,-115,-105,-950,625,-110,-110,-115.0,-105.0,-1000.0,625.0,-110.0,-110.0,,,,,,,-113.0,101.0,,,-113.0,-102.0,-117.0,-103.0,,,-115.0,-105.0
NBA,2025-11-20 20:53:33,2025-11-21 20:10,Chicago Bulls,Miami Heat,No,1189.0,Yes,-109.29,-110.43,-138.2,114.6,-110.14,-109.86,East,Central,East,Southeast,-105,-115,-138,118,-110,-110,-110.0,-110.0,-137.0,112.0,-110.0,-110.0,-114,-112,-141.0,114.0,-114,-112,-110,-110,-135,114,-110,-110,-110.0,-110.0,-140.0,115.0,-110.0,-110.0,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-20 20:53:33,2025-11-21 20:40,Dallas Mavericks,New Orleans Pelicans,Yes,443.2,Yes,-113.0,-106.71,-152.2,125.8,-109.57,-110.43,West,Southwest,West,Southwest,-105,-115,-156,132,-110,-110,-110.0,-110.0,-152.0,123.0,-110.0,-110.0,-117,-109,-155.0,125.0,-112,-114,-115,-105,-148,124,-108,-112,-118.0,-102.0,-150.0,125.0,-110.0,-110.0,,,,,,,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-11-20 20:53:33,2025-11-21 21:10,Phoenix Suns,Minnesota Timberwolves,No,1279.2,Yes,-112.17,-107.33,137.5,-166.0,-110.67,-109.17,West,Pacific,West,Northwest,-114,-106,130,-154,-112,-108,,,,,,,-110,-115,143.0,-180.0,-115,-110,-118,-102,142,-170,-105,-115,-115.0,-105.0,135.0,-160.0,-115.0,-105.0,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
