League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-20 22:44:54,2025-11-20 20:10,Milwaukee Bucks,Philadelphia 76ers,No,695.4,Yes,68.75,-160.5,281.25,-441.25,-197.67,77.33,East,Central,East,Atlantic,-120,-110,280,-390,-132,100,100,-143,300,-455,-111,-118,,,360,-670,,,120,-154,,,,,175.0,-235.0,,,-350.0,250.0,,,185.0,-250.0,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-20 22:44:54,2025-11-21 19:00,Cleveland Cavaliers,Indiana Pacers,Yes,263.5,Yes,-110.0,-109.78,-847.67,569.11,-109.56,-110.44,East,Central,East,Central,-112,-108,-800,560,-112,-108,-110,-110,-833,550,-110,-110,-112.0,-114.0,-910,550,-112.0,-114.0,-110,-110,-850.0,575.0,-105.0,-115.0,-110.0,-110.0,-900.0,600.0,-110.0,-110.0,-110.0,-110.0,-950.0,600.0,-110.0,-110.0,-106.0,-106.0,-786.0,576.0,-107.0,-107.0,-110.0,-110.0,-800.0,561.0,-110.0,-110.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0
NBA,2025-11-20 22:44:54,2025-11-21 19:40,Boston Celtics,Brooklyn Nets,Yes,190.6,Yes,-108.0,-111.78,-1100.38,692.38,-108.44,-111.44,East,Atlantic,East,Atlantic,-106,-114,-1100,700,-106,-114,-110,-110,-1111,672,-110,-110,-113.0,-113.0,-1115,650,-113.0,-112.0,-102,-118,-1100.0,700.0,-105.0,-115.0,-105.0,-115.0,-1200.0,750.0,-105.0,-115.0,-110.0,-110.0,-1000.0,625.0,-110.0,-110.0,-106.0,-106.0,-1077.0,733.0,-107.0,-107.0,-110.0,-110.0,-1100.0,709.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-20 22:44:54,2025-11-21 19:40,Toronto Raptors,Washington Wizards,No,349.7,Yes,-113.67,-83.89,-908.56,600.22,-111.56,-108.44,East,Atlantic,East,Southeast,-114,-106,-900,610,-108,-112,-110,-110,-909,583,-110,-110,-114.0,-112.0,-835,540,-113.0,-112.0,-115,-105,-950.0,625.0,-110.0,-110.0,-115.0,-105.0,-1000.0,625.0,-110.0,-110.0,-115.0,-105.0,-900.0,575.0,-110.0,-110.0,-113.0,101.0,-883.0,631.0,-113.0,-102.0,-117.0,-103.0,-900.0,613.0,-115.0,-105.0,-110.0,-110.0,-900.0,600.0,-115.0,-105.0
NBA,2025-11-20 22:44:54,2025-11-21 20:10,Chicago Bulls,Miami Heat,No,1189.0,Yes,-109.44,-110.22,-131.38,110.12,-109.67,-110.33,East,Central,East,Southeast,-112,-108,-122,104,-110,-110,-110,-110,-128,105,-110,-110,-115.0,-110.0,-143,115,-112.0,-114.0,-102,-118,-130.0,110.0,-108.0,-112.0,-105.0,-115.0,-135.0,110.0,-110.0,-110.0,-115.0,-105.0,-135.0,115.0,-110.0,-110.0,-106.0,-106.0,-128.0,112.0,-107.0,-107.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-20 22:44:54,2025-11-21 20:40,Dallas Mavericks,New Orleans Pelicans,Yes,443.2,Yes,-111.11,-108.67,-153.67,129.33,-111.22,-108.89,West,Southwest,West,Southwest,-105,-115,-154,130,-110,-110,-110,-110,-152,123,-110,-110,-109.0,-117.0,-157,125,-113.0,-113.0,-115,-105,-155.0,130.0,-110.0,-110.0,-115.0,-105.0,-155.0,125.0,-110.0,-110.0,-110.0,-110.0,-150.0,130.0,-110.0,-110.0,-111.0,-101.0,-152.0,134.0,-113.0,-102.0,-115.0,-105.0,-153.0,133.0,-115.0,-105.0,-110.0,-110.0,-155.0,134.0,-110.0,-110.0
NBA,2025-11-20 22:44:54,2025-11-21 21:10,Phoenix Suns,Minnesota Timberwolves,No,1279.2,Yes,-109.44,-110.33,135.56,-160.89,-111.44,-108.56,West,Pacific,West,Northwest,-114,-106,136,-162,-112,-108,-110,-110,124,-152,-110,-110,-113.0,-113.0,130,-162,-114.0,-112.0,-112,-108,136.0,-162.0,-115.0,-105.0,-110.0,-110.0,140.0,-170.0,-115.0,-105.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-101.0,-111.0,141.0,-160.0,-107.0,-107.0,-105.0,-115.0,140.0,-160.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2025-11-20 22:44:54,2025-11-21 21:40,Houston Rockets,Denver Nuggets,No,879.8,Yes,-108.33,-111.33,-136.67,114.89,-109.89,-110.11,West,Southwest,West,Northwest,-112,-108,-136,116,-110,-110,-110,-110,-139,113,-110,-110,-110.0,-115.0,-136,108,-112.0,-114.0,-112,-108,-135.0,114.0,-110.0,-110.0,-110.0,-110.0,-140.0,115.0,-110.0,-110.0,-105.0,-115.0,-135.0,115.0,-110.0,-110.0,-101.0,-111.0,-136.0,120.0,-107.0,-107.0,-105.0,-115.0,-138.0,118.0,-110.0,-110.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0
NBA,2025-11-20 22:44:54,2025-11-21 22:10,Golden State Warriors,Portland Trail Blazers,No,536.0,Yes,-111.5,-110.0,-294.75,232.0,-111.0,-110.5,West,Pacific,West,Northwest,-114,-106,-290,235,-110,-110,-110,-110,-294,228,-110,-110,-112.0,-114.0,-305,230,-114.0,-112.0,-110,-110,-290.0,235.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-20 22:44:54,2025-11-21 22:10,Utah Jazz,Oklahoma City Thunder,Yes,863.6,Yes,-110.0,-109.78,846.75,-1561.75,-111.22,-108.89,West,Northwest,West,Northwest,-110,-110,830,-1400,-110,-110,-110,-110,821,-1667,-110,-110,-114.0,-112.0,650,-1115,-113.0,-113.0,-115,-105,850.0,-1450.0,-110.0,-110.0,-110.0,-110.0,950.0,-2000.0,-110.0,-110.0,-105.0,-115.0,850.0,-1800.0,-110.0,-110.0,-106.0,-106.0,931.0,-1512.0,-113.0,-102.0,-110.0,-110.0,892.0,-1550.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0
