League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-22 21:08:09,2025-11-22 19:12,New Orleans Pelicans,Atlanta Hawks,No,424.9,Yes,-116.83,-114.5,,,-122.17,-109.5,West,Southwest,East,Southeast,-114,-114,,,-130,-102,-125.0,-105.0,,,-118.0,-111.0,-110.0,-120.0,,,-115.0,-115.0,-115,-115,,,-125,-105,-110.0,-118.0,,,-118.0,-110.0,-127.0,-115.0,,,-127.0,-114.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-22 21:08:09,2025-11-22 20:11,Chicago Bulls,Washington Wizards,No,598.0,Yes,-114.5,-117.33,-222.0,166.4,-112.33,-118.17,East,Central,East,Southeast,-128,-104,-205.0,158.0,-112,-118,-111.0,-118.0,,,-105.0,-118.0,-115.0,-115.0,-220.0,165.0,-115.0,-115.0,-105,-125,-200.0,154.0,-110,-120,-110.0,-118.0,-250.0,190.0,-110.0,-118.0,-118.0,-124.0,-235.0,165.0,-122.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-22 21:08:09,2025-11-22 20:11,Milwaukee Bucks,Detroit Pistons,Yes,252.3,Yes,-113.67,-117.5,1360.0,-5582.2,-116.17,-81.83,East,Central,East,Central,-130,-102,1500.0,-7000.0,-108,-122,-105.0,-118.0,600.0,-1111.0,-133.0,105.0,-110.0,-120.0,1200.0,-3300.0,-115.0,-115.0,-110,-120,1800.0,-6500.0,-110,-120,-105.0,-125.0,1700.0,-10000.0,-110.0,-118.0,-122.0,-120.0,,,-121.0,-121.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-22 21:08:09,2025-11-22 20:41,Dallas Mavericks,Memphis Grizzlies,Yes,420.5,Yes,-111.67,-119.5,-141.33,75.83,-116.33,-114.83,West,Southwest,West,Southwest,-114,-114,-148.0,116.0,-114,-114,-111.0,-118.0,-143.0,110.0,-111.0,-118.0,-110.0,-120.0,-130.0,100.0,-115.0,-115.0,-105,-125,-160.0,124.0,-120,-110,-110.0,-118.0,-140.0,110.0,-118.0,-110.0,-120.0,-122.0,-127.0,-105.0,-120.0,-122.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-22 21:08:09,2025-11-22 22:10,Denver Nuggets,Sacramento Kings,No,888.1,Yes,-111.0,-108.67,-550.67,407.44,-110.0,-110.0,West,Northwest,West,Pacific,-110,-110,-560.0,420.0,-106,-114,-110.0,-110.0,-594.0,424.0,-110.0,-110.0,-110.0,-110.0,-575.0,400.0,-110.0,-110.0,-118,-102,-535.0,400.0,-108,-112,-105.0,-115.0,-550.0,400.0,-115.0,-105.0,-110.0,-115.0,-500.0,360.0,-114.0,-112.0,-111.0,-101.0,-542.0,423.0,-107.0,-107.0,-115.0,-105.0,-550.0,415.0,-110.0,-110.0,-110.0,-110.0,-550.0,425.0,-110.0,-110.0
NBA,2025-11-22 21:08:09,2025-11-23 13:10,Philadelphia 76ers,Miami Heat,No,1015.4,No,-109.17,-110.5,-121.25,101.25,-110.17,-109.83,East,Atlantic,East,Southeast,-106,-114,-118.0,100.0,-112,-108,,,,,,,,,,,,,-110,-110,-120.0,100.0,-110,-110,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-113.0,-113.0,-122.0,100.0,-112.0,-114.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-22 21:08:09,2025-11-23 18:10,Atlanta Hawks,Charlotte Hornets,Yes,226.8,No,-111.33,-110.67,-261.67,210.0,-111.33,-110.67,East,Southeast,East,Southeast,-110,-110,-255.0,210.0,-110,-110,,,,,,,,,,,,,-110,-110,-265.0,215.0,-110,-110,,,,,,,-114.0,-112.0,-265.0,205.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-22 21:08:09,2025-11-23 18:10,Boston Celtics,Orlando Magic,No,1115.0,No,-109.83,-109.83,-173.25,142.5,-109.83,-110.0,East,Atlantic,East,Southeast,-114,-106,-178.0,150.0,-110,-110,,,,,,,,,,,,,-105,-115,-170.0,142.0,-110,-110,-110.0,-110.0,-170.0,140.0,-110.0,-110.0,-114.0,-112.0,-175.0,138.0,-112.0,-113.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-22 21:08:09,2025-11-23 18:10,Toronto Raptors,Brooklyn Nets,Yes,344.5,No,-111.0,-108.4,-1003.33,636.67,-109.4,-110.4,East,Atlantic,East,Atlantic,-114,-106,-900.0,610.0,-110,-110,,,,,,,,,,,,,-110,-110,-1200.0,750.0,-110,-110,,,,,,,-115.0,-110.0,-910.0,550.0,-110.0,-115.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-22 21:08:09,2025-11-23 18:10,Cleveland Cavaliers,Los Angeles Clippers,No,2057.9,No,-111.17,-108.5,-299.5,237.5,-110.83,-109.17,East,Central,West,Pacific,-112,-108,-295.0,240.0,-110,-110,,,,,,,,,,,,,-110,-110,-298.0,240.0,-110,-110,-115.0,-105.0,-300.0,240.0,-115.0,-105.0,-114.0,-112.0,-305.0,230.0,-113.0,-113.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
