League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
NBA,2025-11-22 22:58:32,2025-11-22 20:41,Dallas Mavericks,Memphis Grizzlies,Yes,420.5,Yes,71.25,-161.5,797.25,-4149.0,15.0,-160.5,West,Southwest,West,Southwest,118,-158,,,,,-118,-118,-111,-111,-125,-111,,,400,-650,,,170,-220,2500,-15000,,,115,-150,,,155,-210,,,400.0,-835.0,,,,,,,,,,,,,,
NBA,2025-11-22 22:58:32,2025-11-22 22:13,Denver Nuggets,Sacramento Kings,No,888.1,Yes,-116.67,-114.83,-1175.0,608.33,-116.83,-114.67,West,Northwest,West,Pacific,-110,-120,-1100.0,600.0,-118.0,-112.0,-118,-111,-1250,625,-111,-118,-120.0,-110.0,-1100,600,-115.0,-115.0,-120,-110,-950,575,-115.0,-115.0,-110,-118,-1400.0,675.0,-118,-110,-122.0,-120.0,-1250.0,575.0,-124.0,-118.0,,,,,,,,,,,,
NBA,2025-11-22 22:58:32,2025-11-23 13:10,Philadelphia 76ers,Miami Heat,No,1015.4,No,-109.38,-110.38,-119.17,32.33,-110.12,-109.88,East,Atlantic,East,Southeast,-106,-114,-118.0,100.0,-112.0,-108.0,-110,-110,-118,-103,-110,-110,-110.0,-110.0,-115,-105,-110.0,-110.0,-110,-110,-122,102,-110.0,-110.0,-110,-110,-120.0,100.0,-110,-110,-113.0,-113.0,-122.0,100.0,-112.0,-114.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-22 22:58:32,2025-11-23 18:10,Atlanta Hawks,Charlotte Hornets,Yes,226.8,No,-111.5,-108.25,-269.33,215.5,-109.5,-110.5,East,Southeast,East,Southeast,-112,-108,-270.0,220.0,-110.0,-110.0,-110,-110,-278,218,-110,-110,-115.0,-105.0,-270,220,-110.0,-110.0,-110,-110,-258,210,-110.0,-110.0,-115,-105,-275.0,220.0,-105,-115,-114.0,-112.0,-265.0,205.0,-114.0,-112.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-22 22:58:32,2025-11-23 18:10,Boston Celtics,Orlando Magic,No,1115.0,No,-109.38,-110.38,-181.5,149.5,-109.88,-110.0,East,Atlantic,East,Southeast,-110,-110,-184.0,154.0,-110.0,-110.0,-110,-110,-185,150,-110,-110,-110.0,-110.0,-180,155,-110.0,-110.0,-105,-115,-175,145,-110.0,-110.0,-110,-110,-190.0,155.0,-110,-110,-114.0,-112.0,-175.0,138.0,-112.0,-113.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-22 22:58:32,2025-11-23 18:10,Toronto Raptors,Brooklyn Nets,Yes,344.5,No,-110.75,-108.88,-840.5,549.83,-109.62,-110.25,East,Atlantic,East,Atlantic,-110,-110,-700.0,500.0,-110.0,-110.0,-110,-110,-833,524,-110,-110,-110.0,-110.0,-750,500,-110.0,-110.0,-115,-105,-950,625,-110.0,-110.0,-110,-110,-900.0,600.0,-110,-110,-115.0,-110.0,-910.0,550.0,-110.0,-115.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-22 22:58:32,2025-11-23 18:10,Cleveland Cavaliers,Los Angeles Clippers,No,2057.9,No,-111.12,-108.5,-404.17,306.83,-111.12,-108.88,East,Central,West,Pacific,-110,-110,-375.0,300.0,-110.0,-110.0,-110,-110,-400,296,-110,-110,-115.0,-105.0,-410,305,-115.0,-105.0,-105,-115,-380,300,-110.0,-110.0,-110,-110,-425.0,320.0,-115,-105,-113.0,-112.0,-435.0,320.0,-112.0,-114.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-11-22 22:58:32,2025-11-23 19:10,Oklahoma City Thunder,Portland Trail Blazers,Yes,1487.1,Yes,-110.14,-108.71,-1212.2,728.6,-109.57,-109.57,West,Northwest,West,Northwest,-110,-110,-1150.0,730.0,-110.0,-110.0,-110,-110,-1111,663,-110,-110,-115.0,-105.0,-1200,700,-110.0,-110.0,-110,-110,-1200,750,-110.0,-110.0,-110,-110,-1400.0,800.0,-110,-110,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-22 22:58:32,2025-11-23 20:10,Utah Jazz,Los Angeles Lakers,No,580.8,Yes,-110.14,-108.71,316.6,-416.4,-110.29,-108.86,West,Northwest,West,Pacific,-110,-110,320.0,-405.0,-110.0,-110.0,-110,-110,310,-417,-110,-110,-110.0,-110.0,325,-435,-110.0,-110.0,-115,-105,295,-375,-110.0,-110.0,-110,-110,333.0,-450.0,-115,-105,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-22 22:58:32,2025-11-23 20:10,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-108.0,-110.86,-149.2,125.2,-109.57,-109.57,West,Pacific,West,Southwest,-110,-110,-154.0,130.0,-110.0,-110.0,-110,-110,-149,122,-110,-110,-110.0,-110.0,-145,125,-110.0,-110.0,-105,-115,-148,124,-110.0,-110.0,-105,-115,-150.0,125.0,-110,-110,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
