League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-11-24 16:23:30,2025-11-24 19:10,Toronto Raptors,Cleveland Cavaliers,No,189.3,Yes,-85.67,-111.89,-115.67,-82.0,-110.89,-109.11,East,Atlantic,East,Central,-112,-108,-118,100,-115,-105,-110,-110,-116,-105,-110,-110,-113,-113,-117,-107,-114,-112,-105,-115,-115,-105,-112,-108,-106,-106,-114,-102,-107,-107,-110,-110,-116,-104,-110,-110,100,-120,-115,-105,-105,-115,-110,-110,-115,-105,-110,-110,-105,-115,-115,-105,-115,-105
NBA,2025-11-24 16:23:30,2025-11-24 19:10,Indiana Pacers,Detroit Pistons,Yes,240.5,Yes,-110.0,-109.78,348.56,-456.11,-110.33,-109.67,East,Central,East,Central,-115,-105,360,-460,-110,-110,-110,-110,346,-476,-110,-110,-109,-117,330,-455,-113,-113,-115,-105,350,-455,-108,-112,-101,-111,356,-444,-107,-107,-105,-115,350,-450,-110,-110,-110,-110,360,-475,-115,-105,-110,-110,355,-450,-110,-110,-115,-105,330,-440,-110,-110
NBA,2025-11-24 16:23:30,2025-11-24 19:40,Brooklyn Nets,New York Knicks,Yes,4.8,Yes,-110.0,-109.67,541.67,-789.22,-108.33,-111.67,East,Atlantic,East,Atlantic,-112,-108,570,-820,-110,-110,-110,-110,509,-776,-110,-110,-115,-110,510,-770,-112,-114,-112,-108,575,-850,-105,-115,-101,-111,547,-737,-105,-109,-105,-115,534,-750,-108,-112,-115,-105,550,-800,-105,-115,-105,-115,530,-750,-110,-110,-115,-105,550,-850,-110,-110
NBA,2025-11-24 16:23:30,2025-11-24 19:40,Miami Heat,Dallas Mavericks,No,1111.8,Yes,-111.22,-108.56,-295.0,237.33,-110.44,-109.56,East,Southeast,West,Southwest,-114,-106,-320,250,-114,-106,-110,-110,-303,237,-110,-110,-114,-112,-305,230,-113,-113,-112,-108,-290,235,-110,-110,-106,-106,-282,237,-107,-107,-110,-110,-285,234,-110,-110,-110,-110,-300,240,-110,-110,-110,-110,-285,238,-110,-110,-115,-105,-285,235,-110,-110
NBA,2025-11-24 16:23:30,2025-11-24 20:10,New Orleans Pelicans,Chicago Bulls,No,833.6,Yes,-111.11,-108.56,179.33,-216.0,-109.78,-110.0,West,Southwest,East,Central,-110,-110,194,-235,-108,-112,-110,-110,178,-222,-110,-110,-115,-110,165,-210,-110,-114,-108,-112,180,-218,-108,-112,-109,-103,182,-209,-107,-107,-113,-107,180,-210,-110,-110,-110,-110,180,-220,-115,-105,-110,-110,180,-210,-110,-110,-115,-105,175,-210,-110,-110
NBA,2025-11-24 16:23:30,2025-11-24 20:10,Memphis Grizzlies,Denver Nuggets,No,880.4,Yes,-110.11,-109.56,268.89,-336.89,-110.0,-110.0,West,Southwest,West,Northwest,-110,-110,270,-335,-110,-110,-110,-110,267,-345,-110,-110,-112,-113,255,-335,-113,-113,-118,-102,270,-340,-115,-105,-101,-111,271,-327,-107,-107,-105,-115,267,-330,-110,-110,-115,-105,280,-350,-105,-115,-110,-110,270,-330,-110,-110,-110,-110,270,-340,-110,-110
NBA,2025-11-24 16:23:30,2025-11-24 20:10,Milwaukee Bucks,Portland Trail Blazers,No,1718.4,Yes,-84.89,-112.67,-114.33,-105.44,-109.0,-110.89,East,Central,West,Northwest,-108,-112,-108,-108,-110,-110,-110,-110,-111,-110,-110,-110,-112,-114,-122,-103,-114,-110,-102,-118,-115,-105,-110,-110,-104,-108,-113,-103,-102,-113,-108,-112,-115,-105,-105,-115,100,-120,-115,-105,-110,-110,-110,-110,-115,-105,-110,-110,-110,-110,-115,-105,-110,-110
NBA,2025-11-24 16:23:30,2025-11-24 21:40,Phoenix Suns,Houston Rockets,No,1016.4,Yes,-110.0,-109.78,191.44,-232.44,-107.44,-112.67,West,Pacific,West,Southwest,-110,-110,198,-240,-108,-112,-110,-110,195,-244,-110,-110,-114,-112,185,-235,-112,-114,-110,-110,190,-230,-105,-115,-106,-106,191,-223,-102,-113,-110,-110,189,-225,-105,-115,-110,-110,190,-235,-105,-115,-110,-110,190,-225,-110,-110,-110,-110,195,-235,-110,-110
NBA,2025-11-24 16:23:30,2025-11-24 22:10,Golden State Warriors,Utah Jazz,No,598.7,Yes,-109.44,-110.33,-950.0,622.0,-110.11,-109.89,West,Pacific,West,Northwest,-110,-110,-900,610,-108,-112,-110,-110,-909,564,-110,-110,-114,-112,-910,575,-114,-112,-110,-110,-1000,650,-112,-108,-106,-106,-931,657,-107,-107,-110,-110,-950,637,-110,-110,-110,-110,-1100,700,-110,-110,-110,-110,-950,630,-110,-110,-105,-115,-900,575,-110,-110
NBA,2025-11-24 16:23:30,2025-11-24 22:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-109.11,-110.67,334.22,-435.22,-109.56,-110.44,West,Pacific,West,Northwest,-105,-115,350,-450,-112,-108,-110,-110,309,-417,-110,-110,-114,-112,300,-400,-114,-112,-105,-115,330,-425,-102,-118,-107,-105,350,-435,-105,-109,-111,-109,344,-440,-108,-112,-105,-115,340,-450,-115,-105,-110,-110,345,-440,-110,-110,-115,-105,340,-460,-110,-110
