League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-24 20:55:43,2025-11-24 19:12,Indiana Pacers,Detroit Pistons,Yes,240.5,Yes,-82.5,-117.83,808.33,-2025.0,-78.33,-120.5,East,Central,East,Central,-130,-102,900,-2500,110,-146,-111.0,-125.0,925.0,-2500.0,-105.0,-125.0,-105,-125,650,-1150,-120,-110,-129.0,-115.0,650.0,-2000.0,-120.0,-122.0,100.0,-130.0,825.0,-2000.0,-115.0,-110.0,-120.0,-110.0,900.0,-2000.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 20:55:43,2025-11-24 19:13,Toronto Raptors,Cleveland Cavaliers,No,189.3,Yes,-118.5,-80.5,-1295.5,639.17,-114.5,-117.0,East,Atlantic,East,Central,-138,104,-1450,700,-112,-118,-111.0,-118.0,-556.0,360.0,-111.0,-118.0,-105,-125,-1300,700,-110,-120,-127.0,-114.0,-1667.0,650.0,-121.0,-121.0,-115.0,-115.0,-1400.0,725.0,-118.0,-110.0,-115.0,-115.0,-1400.0,700.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 20:55:43,2025-11-24 19:40,Miami Heat,Dallas Mavericks,No,1111.8,Yes,-119.5,-112.33,-653.33,409.17,-113.67,-117.5,East,Southeast,West,Southwest,-128,-104,-650,420,-114,-114,-118.0,-111.0,-625.0,400.0,-111.0,-118.0,-115,-115,-620,400,-110,-120,-118.0,-124.0,-625.0,360.0,-122.0,-120.0,-118.0,-110.0,-750.0,475.0,-110.0,-118.0,-120.0,-110.0,-650.0,400.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 20:55:43,2025-11-24 19:41,Brooklyn Nets,New York Knicks,Yes,4.8,Yes,-120.17,-110.67,390.83,-619.5,-114.17,-117.67,East,Atlantic,East,Atlantic,-120,-110,390,-590,-102,-130,-118.0,-105.0,425.0,-667.0,-118.0,-111.0,-125,-105,370,-560,-120,-110,-118.0,-124.0,360.0,-625.0,-120.0,-122.0,-125.0,-105.0,400.0,-625.0,-110.0,-118.0,-115.0,-115.0,400.0,-650.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 20:55:43,2025-11-24 20:11,New Orleans Pelicans,Chicago Bulls,No,833.6,Yes,-76.67,-121.83,-395.83,276.67,-111.5,-120.17,West,Southwest,East,Central,110,-146,-370,265,-102,-130,-118.0,-105.0,-400.0,290.0,-111.0,-118.0,-105,-125,-375,270,-110,-120,-117.0,-125.0,-455.0,290.0,-121.0,-120.0,-115.0,-115.0,-375.0,270.0,-110.0,-118.0,-115.0,-115.0,-400.0,275.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 20:55:43,2025-11-24 20:11,Memphis Grizzlies,Denver Nuggets,No,880.4,Yes,-115.5,-114.83,533.33,-944.67,-82.67,-85.33,West,Southwest,West,Northwest,-114,-118,460,-750,-144,108,-118.0,-105.0,500.0,-833.0,125.0,-167.0,-115,-115,650,-1150,-115,-115,-121.0,-121.0,440.0,-835.0,-124.0,-118.0,-115.0,-110.0,600.0,-1100.0,-118.0,-110.0,-110.0,-120.0,550.0,-1000.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 20:55:43,2025-11-24 20:11,Milwaukee Bucks,Portland Trail Blazers,No,1718.4,Yes,-118.33,-78.83,170.33,-225.17,-117.5,-114.67,East,Central,West,Northwest,-132,100,142,-184,-130,-102,-105.0,-118.0,175.0,-222.0,-111.0,-118.0,-120,-110,210,-280,-120,-110,-115.0,-125.0,170.0,-240.0,-124.0,-118.0,-118.0,-110.0,170.0,-220.0,-105.0,-125.0,-120.0,-110.0,155.0,-205.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 20:55:43,2025-11-24 21:40,Phoenix Suns,Houston Rockets,No,1016.4,Yes,-110.78,-108.89,199.44,-243.56,-110.44,-109.56,West,Pacific,West,Southwest,-108,-112,205,-250,-108,-112,-110.0,-110.0,195.0,-244.0,-110.0,-110.0,-110,-110,200,-245,-115,-105,-115.0,-110.0,195.0,-250.0,-114.0,-112.0,-110.0,-110.0,200.0,-250.0,-110.0,-110.0,-110.0,-110.0,195.0,-235.0,-110.0,-110.0,-114.0,-106.0,200.0,-240.0,-110.0,-110.0,-110.0,-102.0,202.0,-238.0,-107.0,-107.0,-110.0,-110.0,203.0,-240.0,-110.0,-110.0
NBA,2025-11-24 20:55:43,2025-11-24 22:10,Golden State Warriors,Utah Jazz,No,598.7,Yes,-109.78,-110.0,-814.22,555.0,-111.22,-108.89,West,Pacific,West,Northwest,-114,-106,-800,570,-110,-110,-110.0,-110.0,-833.0,537.0,-110.0,-110.0,-112,-108,-850,575,-108,-112,-112.0,-114.0,-770.0,510.0,-112.0,-114.0,-110.0,-110.0,-900.0,600.0,-105.0,-115.0,-110.0,-110.0,-850.0,550.0,-115.0,-105.0,-107.0,-113.0,-780.0,549.0,-114.0,-106.0,-103.0,-109.0,-765.0,564.0,-112.0,-103.0,-110.0,-110.0,-780.0,540.0,-115.0,-105.0
NBA,2025-11-24 20:55:43,2025-11-24 22:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-108.78,-111.0,341.44,-446.67,-109.0,-111.0,West,Pacific,West,Northwest,-105,-115,350,-450,-110,-110,-110.0,-110.0,324.0,-435.0,-110.0,-110.0,-102,-118,330,-425,-105,-115,-114.0,-112.0,310.0,-420.0,-112.0,-114.0,-115.0,-105.0,360.0,-475.0,-105.0,-115.0,-105.0,-115.0,360.0,-500.0,-110.0,-110.0,-111.0,-109.0,344.0,-440.0,-111.0,-109.0,-107.0,-105.0,350.0,-435.0,-108.0,-106.0,-110.0,-110.0,345.0,-440.0,-110.0,-110.0
