League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-25 20:55:40,2025-11-25 19:11,Washington Wizards,Atlanta Hawks,Yes,542.8,Yes,-75.0,-127.17,,,-117.33,-114.0,East,Southeast,East,Southeast,-130,-102,,,-128,-104,135.0,-182.0,,,-111.0,-118.0,-115,-115,,,-115,-115,-102,-130,,,-110,-115,-118.0,-124.0,,,-120.0,-122.0,-120.0,-110.0,,,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-25 20:55:40,2025-11-25 20:14,Philadelphia 76ers,Orlando Magic,No,859.5,Yes,-43.33,-121.67,295.5,-433.33,-119.17,-79.67,East,Atlantic,East,Southeast,100,-132,330.0,-480.0,-138,104,105.0,-133.0,265.0,-400.0,-118.0,-111.0,-120,-110,300.0,-425.0,-115,-115,-118,-110,333.0,-475.0,-110,-118,-117.0,-125.0,255.0,-385.0,-124.0,-118.0,-110.0,-120.0,290.0,-435.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-25 20:55:40,2025-11-25 23:10,Los Angeles Lakers,Los Angeles Clippers,Yes,8.5,Yes,-111.33,-108.33,-268.44,217.89,-110.11,-109.89,West,Pacific,West,Pacific,-114,-106,-270.0,220.0,-110,-110,-110.0,-110.0,-263.0,207.0,-110.0,-110.0,-115,-105,-270.0,220.0,-110,-110,-115,-105,-275.0,220.0,-110,-110,-110.0,-115.0,-275.0,210.0,-114.0,-112.0,-105.0,-115.0,-270.0,220.0,-110.0,-110.0,-108.0,-104.0,-263.0,222.0,-107.0,-107.0,-115.0,-105.0,-265.0,219.0,-110.0,-110.0,-110.0,-110.0,-265.0,223.0,-110.0,-110.0
NBA,2025-11-25 20:55:40,2025-11-26 17:10,Boston Celtics,Detroit Pistons,No,613.5,No,-109.5,-109.17,136.5,-163.5,-110.67,-108.33,East,Atlantic,East,Central,-106,-114,142.0,-168.0,-112,-108,-110.0,-110.0,133.0,-164.0,-110.0,-110.0,-110,-110,136.0,-162.0,-115,-105,-115,-105,135.0,-160.0,-110,-110,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-25 20:55:40,2025-11-26 19:10,Charlotte Hornets,New York Knicks,No,533.4,Yes,-108.67,-110.0,232.25,-292.25,-109.83,-109.17,East,Southeast,East,Atlantic,-106,-114,235.0,-290.0,-110,-110,-110.0,-110.0,229.0,-294.0,-110.0,-110.0,-115,-105,235.0,-290.0,-112,-108,-115,-105,230.0,-295.0,-110,-110,,,,,,,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-25 20:55:40,2025-11-26 19:40,Toronto Raptors,Indiana Pacers,No,440.8,Yes,-110.5,-109.5,-425.0,325.25,-110.0,-110.0,East,Atlantic,East,Central,-112,-108,-430.0,340.0,-110,-110,-110.0,-110.0,-435.0,316.0,-110.0,-110.0,-110,-110,-410.0,320.0,-110,-110,-110,-110,-425.0,325.0,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-25 20:55:40,2025-11-26 19:40,Miami Heat,Milwaukee Bucks,No,1267.8,Yes,-110.5,-109.5,-255.75,206.75,-111.0,-109.0,East,Southeast,East,Central,-110,-110,-260.0,215.0,-114,-106,-110.0,-110.0,-263.0,207.0,-110.0,-110.0,-112,-108,-250.0,205.0,-110,-110,-110,-110,-250.0,200.0,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-25 20:55:40,2025-11-26 19:40,Oklahoma City Thunder,Minnesota Timberwolves,Yes,693.5,Yes,-107.5,-112.5,-344.25,270.75,-110.0,-110.0,West,Northwest,West,Northwest,-110,-110,-370.0,295.0,-110,-110,-110.0,-110.0,-357.0,268.0,-110.0,-110.0,-105,-115,-325.0,260.0,-110,-110,-105,-115,-325.0,260.0,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-25 20:55:40,2025-11-26 20:10,New Orleans Pelicans,Memphis Grizzlies,Yes,357.6,Yes,-39.33,-112.67,113.25,-136.0,-110.5,-108.67,West,Southwest,West,Southwest,-110,-110,114.0,-134.0,-110,-110,-110.0,-110.0,110.0,-135.0,-110.0,-110.0,-110,-110,114.0,-135.0,-110,-110,-110,-110,115.0,-140.0,-105,-115,,,,,,,,,,,,,104.0,-116.0,,,-113.0,-102.0,100.0,-120.0,,,-115.0,-105.0,,,,,,
NBA,2025-11-25 20:55:40,2025-11-26 22:10,Golden State Warriors,Houston Rockets,No,1643.9,Yes,-24.4,-114.0,-117.0,-35.67,-111.4,-107.4,West,Pacific,West,Southwest,-108,-112,-126.0,108.0,-110,-110,,,,,,,102,-122,-110.0,-110.0,-115,-105,100,-120,-115.0,-105.0,-115,-105,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
