League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-25 22:49:51,2025-11-25 20:14,Philadelphia 76ers,Orlando Magic,No,859.5,Yes,-132.33,36.0,,,,,East,Atlantic,East,Southeast,-140,110,,,,,-132,100,,,,,-125,-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-25 22:49:51,2025-11-25 23:10,Los Angeles Lakers,Los Angeles Clippers,Yes,8.5,Yes,-109.56,-88.0,-253.78,206.89,-109.89,-110.11,West,Pacific,West,Pacific,-105,-115,-258.0,210.0,-110.0,-110.0,-106,-114,-230.0,190.0,-110.0,-110.0,-105,-115,-250.0,200.0,-105.0,-115.0,-106.0,-106.0,-253.0,214.0,-107.0,-107.0,-120.0,100.0,-255.0,211.0,-110.0,-110.0,-114.0,-112.0,-250.0,195.0,-112.0,-114.0,-115.0,-105.0,-270.0,220.0,-115.0,-105.0,-110.0,-110.0,-263.0,207.0,-110.0,-110.0,-105.0,-115.0,-255.0,215.0,-110.0,-110.0
NBA,2025-11-25 22:49:51,2025-11-26 17:10,Boston Celtics,Detroit Pistons,No,613.5,No,-108.67,-111.0,122.11,-145.0,-110.67,-109.33,East,Atlantic,East,Central,-115,-105,130.0,-155.0,-115.0,-105.0,-112,-108,120.0,-142.0,-112.0,-108.0,-110,-110,120.0,-145.0,-110.0,-110.0,-101.0,-111.0,122.0,-138.0,-107.0,-107.0,-105.0,-115.0,120.0,-140.0,-110.0,-110.0,-115.0,-110.0,125.0,-157.0,-112.0,-114.0,-105.0,-115.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,117.0,-143.0,-110.0,-110.0,-105.0,-115.0,120.0,-140.0,-110.0,-110.0
NBA,2025-11-25 22:49:51,2025-11-26 19:10,Charlotte Hornets,New York Knicks,No,533.4,Yes,-109.67,-110.0,215.89,-265.89,-110.11,-109.89,East,Southeast,East,Atlantic,-115,-105,230.0,-285.0,-110.0,-110.0,-106,-114,215.0,-260.0,-110.0,-110.0,-110,-110,220.0,-275.0,-110.0,-110.0,-106.0,-106.0,210.0,-248.0,-107.0,-107.0,-110.0,-110.0,207.0,-250.0,-110.0,-110.0,-110.0,-115.0,230.0,-305.0,-114.0,-112.0,-110.0,-110.0,210.0,-250.0,-110.0,-110.0,-110.0,-110.0,211.0,-270.0,-110.0,-110.0,-110.0,-110.0,210.0,-250.0,-110.0,-110.0
NBA,2025-11-25 22:49:51,2025-11-26 19:40,Toronto Raptors,Indiana Pacers,No,440.8,Yes,-111.78,-107.89,-416.89,320.0,-111.0,-108.78,East,Atlantic,East,Central,-110,-110,-410.0,320.0,-110.0,-110.0,-112,-108,-420.0,330.0,-108.0,-112.0,-110,-110,-425.0,325.0,-115.0,-105.0,-111.0,-101.0,-395.0,321.0,-107.0,-107.0,-115.0,-105.0,-400.0,316.0,-110.0,-110.0,-113.0,-112.0,-455.0,320.0,-114.0,-110.0,-110.0,-110.0,-430.0,320.0,-115.0,-105.0,-110.0,-110.0,-417.0,308.0,-110.0,-110.0,-115.0,-105.0,-400.0,320.0,-110.0,-110.0
NBA,2025-11-25 22:49:51,2025-11-26 19:40,Miami Heat,Milwaukee Bucks,No,1267.8,Yes,-110.67,-109.0,-279.22,225.89,-110.0,-109.78,East,Southeast,East,Central,-115,-105,-265.0,215.0,-110.0,-110.0,-110,-110,-270.0,220.0,-108.0,-112.0,-110,-110,-295.0,230.0,-115.0,-105.0,-106.0,-106.0,-277.0,233.0,-107.0,-107.0,-110.0,-110.0,-280.0,230.0,-110.0,-110.0,-115.0,-110.0,-275.0,210.0,-110.0,-114.0,-110.0,-110.0,-285.0,235.0,-110.0,-110.0,-110.0,-110.0,-286.0,225.0,-110.0,-110.0,-110.0,-110.0,-280.0,235.0,-110.0,-110.0
NBA,2025-11-25 22:49:51,2025-11-26 19:40,Oklahoma City Thunder,Minnesota Timberwolves,Yes,693.5,Yes,-109.56,-110.0,-347.44,274.22,-109.56,-110.44,West,Northwest,West,Northwest,-105,-115,-325.0,260.0,-110.0,-110.0,-110,-110,-335.0,270.0,-110.0,-110.0,-110,-110,-350.0,280.0,-105.0,-115.0,-106.0,-106.0,-345.0,285.0,-107.0,-107.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0,-115.0,-109.0,-375.0,275.0,-114.0,-112.0,-110.0,-110.0,-340.0,270.0,-110.0,-110.0,-110.0,-110.0,-357.0,268.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0
NBA,2025-11-25 22:49:51,2025-11-26 20:10,New Orleans Pelicans,Memphis Grizzlies,Yes,357.6,Yes,-111.11,-108.56,112.78,-134.11,-112.22,-107.89,West,Southwest,West,Southwest,-115,-105,114.0,-135.0,-110.0,-110.0,-114,-106,116.0,-136.0,-110.0,-110.0,-115,-105,110.0,-135.0,-115.0,-105.0,-106.0,-106.0,117.0,-133.0,-113.0,-102.0,-110.0,-110.0,115.0,-135.0,-115.0,-105.0,-110.0,-115.0,114.0,-141.0,-112.0,-114.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,104.0,-127.0,-110.0,-110.0,-110.0,-110.0,115.0,-135.0,-115.0,-105.0
NBA,2025-11-25 22:49:51,2025-11-26 22:10,Golden State Warriors,Houston Rockets,No,1643.9,Yes,-108.67,-111.11,-124.89,82.56,-108.78,-111.33,West,Pacific,West,Southwest,-105,-115,-115.0,-105.0,-110.0,-110.0,-105,-115,-124.0,106.0,-108.0,-112.0,-110,-110,-120.0,100.0,-115.0,-105.0,-106.0,-106.0,-128.0,112.0,-102.0,-113.0,-110.0,-110.0,-130.0,110.0,-105.0,-115.0,-112.0,-114.0,-129.0,104.0,-114.0,-112.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-110.0,-110.0,-123.0,101.0,-110.0,-110.0,-110.0,-110.0,-130.0,110.0,-105.0,-115.0
NBA,2025-11-25 22:49:51,2025-11-26 22:10,Sacramento Kings,Phoenix Suns,Yes,635.3,Yes,-110.11,-109.67,150.67,-179.11,-110.67,-109.33,West,Pacific,West,Pacific,-105,-115,142.0,-170.0,-110.0,-110.0,-112,-108,160.0,-190.0,-110.0,-110.0,-115,-105,150.0,-185.0,-115.0,-105.0,-101.0,-111.0,150.0,-170.0,-107.0,-107.0,-110.0,-110.0,157.0,-180.0,-110.0,-110.0,-113.0,-113.0,145.0,-182.0,-114.0,-112.0,-115.0,-105.0,155.0,-180.0,-110.0,-110.0,-110.0,-110.0,142.0,-175.0,-110.0,-110.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0
