League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-26 20:53:28,2025-11-26 19:11,Charlotte Hornets,New York Knicks,No,533.4,Yes,-114.67,-117.67,3300.0,-10000.0,-112.83,-118.33,East,Southeast,East,Atlantic,-106,-125,,,-114,-114,-125.0,-105.0,,,-115.0,-115.0,-102.0,-130.0,3300.0,-10000.0,-110.0,-118.0,-111.0,-118.0,,,-111.0,-118.0,-120.0,-110.0,,,-110.0,-120.0,-124.0,-118.0,,,-117.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 20:53:28,2025-11-26 19:41,Miami Heat,Milwaukee Bucks,No,1267.8,Yes,-114.0,-116.67,-619.5,393.33,-116.83,-113.67,East,Southeast,East,Central,-114,-114,-560.0,370.0,-114,-114,-110.0,-120.0,-600.0,390.0,-120.0,-110.0,-115.0,-110.0,-700.0,450.0,-115.0,-115.0,-118.0,-111.0,-667.0,425.0,-118.0,-105.0,-110.0,-120.0,-600.0,375.0,-110.0,-120.0,-117.0,-125.0,-590.0,350.0,-124.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 20:53:28,2025-11-26 19:42,Toronto Raptors,Indiana Pacers,No,440.8,Yes,-113.67,-117.17,-383.33,270.83,-81.0,-117.5,East,Atlantic,East,Central,-104,-128,-360.0,260.0,100,-132,-120.0,-110.0,-395.0,280.0,-110.0,-120.0,-118.0,-110.0,-350.0,260.0,-118.0,-110.0,-105.0,-118.0,-400.0,280.0,-118.0,-111.0,-115.0,-115.0,-410.0,280.0,-120.0,-110.0,-120.0,-122.0,-385.0,265.0,-120.0,-122.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 20:53:28,2025-11-26 19:48,Oklahoma City Thunder,Minnesota Timberwolves,Yes,693.5,Yes,-120.17,-76.67,-1132.33,596.67,-112.67,-118.5,West,Northwest,West,Northwest,-138,104,-1200.0,630.0,-102,-130,-115.0,-115.0,-1150.0,650.0,-115.0,-115.0,-115.0,-110.0,-1200.0,650.0,-115.0,-115.0,-111.0,-111.0,-714.0,450.0,-105.0,-118.0,-120.0,-110.0,-1100.0,600.0,-115.0,-115.0,-122.0,-118.0,-1430.0,600.0,-124.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 20:53:28,2025-11-26 20:10,New Orleans Pelicans,Memphis Grizzlies,Yes,357.6,Yes,-111.67,-118.5,-187.83,140.33,-78.83,-118.5,West,Southwest,West,Southwest,-104,-128,-162.0,126.0,100,-132,-115.0,-115.0,-145.0,114.0,-115.0,-115.0,-110.0,-115.0,-160.0,125.0,-110.0,-118.0,-111.0,-111.0,-333.0,235.0,-111.0,-111.0,-110.0,-120.0,-165.0,125.0,-115.0,-115.0,-120.0,-122.0,-162.0,117.0,-122.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 20:53:28,2025-11-26 22:10,Golden State Warriors,Houston Rockets,No,1643.9,Yes,-112.56,-85.0,-146.67,124.11,-110.89,-109.11,West,Pacific,West,Southwest,-112,-108,-148.0,126.0,-112,-108,-112.0,-108.0,-148.0,124.0,-112.0,-108.0,-115.0,-105.0,-150.0,125.0,-110.0,-110.0,-105.0,-115.0,-149.0,122.0,-110.0,-110.0,-115.0,-105.0,-150.0,130.0,-115.0,-105.0,-109.0,-117.0,-143.0,115.0,-112.0,-114.0,-113.0,101.0,-143.0,126.0,-107.0,-107.0,-117.0,-103.0,-144.0,124.0,-110.0,-110.0,-115.0,-105.0,-145.0,125.0,-110.0,-110.0
NBA,2025-11-26 20:53:28,2025-11-26 22:10,Sacramento Kings,Phoenix Suns,Yes,635.3,Yes,-110.0,-109.78,152.11,-180.89,-111.89,-108.22,West,Pacific,West,Pacific,-110,-110,148.0,-176.0,-110,-110,-108.0,-112.0,154.0,-185.0,-110.0,-110.0,-110.0,-110.0,150.0,-185.0,-115.0,-105.0,-110.0,-110.0,150.0,-185.0,-110.0,-110.0,-115.0,-105.0,160.0,-185.0,-110.0,-110.0,-113.0,-113.0,145.0,-182.0,-114.0,-112.0,-105.0,-107.0,154.0,-175.0,-113.0,-102.0,-109.0,-111.0,153.0,-175.0,-115.0,-105.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0
NBA,2025-11-26 20:53:28,2025-11-26 22:10,Portland Trail Blazers,San Antonio Spurs,No,1721.8,Yes,-85.78,-111.78,-111.44,-86.0,-111.0,-109.11,West,Northwest,West,Southwest,-110,-110,-118.0,100.0,-110,-110,-105.0,-115.0,-118.0,-102.0,-108.0,-112.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,-112.0,-114.0,-115.0,-108.0,-113.0,-113.0,-108.0,-104.0,-105.0,-111.0,-113.0,-102.0,-112.0,-108.0,-107.0,-113.0,-115.0,-105.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0
NBA,2025-11-26 20:53:28,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-111.0,-112.0,179.5,-222.5,-112.0,-111.0,East,Southeast,East,Central,-108,-112,184.0,-220.0,-112,-108,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,175.0,-225.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 20:53:28,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-113.5,-109.5,117.0,-141.5,-111.0,-112.0,East,Southeast,East,Central,-110,-110,120.0,-142.0,-108,-112,,,,,,,,,,,,,,,,,,,,,,,,,-117.0,-109.0,114.0,-141.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,
