League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2025-11-26 22:46:41,2025-11-26 20:10,New Orleans Pelicans,Memphis Grizzlies,Yes,357.6,Yes,,,1200.0,-4150.0,,,West,Southwest,West,Southwest,,,1300,-5000,,,,,750.0,-1450.0,,,,,2500.0,-10000.0,,,,,800.0,-1800.0,,,,,650.0,-2500.0,,,,,,,,
NBA,2025-11-26 22:46:41,2025-11-26 22:11,Sacramento Kings,Phoenix Suns,Yes,635.3,Yes,-117.17,-80.17,862.5,-2271.5,-115.33,-114.67,West,Pacific,West,Pacific,-140.0,106.0,1000,-3000,-110.0,-120.0,-115.0,-115.0,1200.0,-2800.0,-115.0,-115.0,-110.0,-115.0,875.0,-2500.0,-118.0,-110.0,-115.0,-115.0,700.0,-1400.0,-120.0,-110.0,-118.0,-124.0,700.0,-2500.0,-118.0,-122.0,-105.0,-118.0,700.0,-1429.0,-111.0,-111.0
NBA,2025-11-26 22:46:41,2025-11-26 22:12,Portland Trail Blazers,San Antonio Spurs,No,1721.8,Yes,-119.83,-79.67,-78.17,-84.83,-117.83,-113.5,West,Northwest,West,Southwest,-146.0,110.0,-106,-120,-130.0,-102.0,-115.0,-115.0,-110.0,-120.0,-120.0,-110.0,-105.0,-125.0,105.0,-135.0,-110.0,-115.0,-120.0,-110.0,-115.0,-115.0,-115.0,-115.0,-122.0,-120.0,-110.0,-124.0,-121.0,-121.0,-111.0,-118.0,-133.0,105.0,-111.0,-118.0
NBA,2025-11-26 22:46:41,2025-11-26 22:18,Golden State Warriors,Houston Rockets,No,1643.9,Yes,-78.17,-120.83,-214.33,164.17,-114.0,-117.67,West,Pacific,West,Southwest,114.0,-152.0,-194,150,-118.0,-112.0,-115.0,-115.0,-215.0,165.0,-115.0,-115.0,-115.0,-110.0,-225.0,175.0,-110.0,-118.0,-115.0,-115.0,-220.0,165.0,-115.0,-115.0,-120.0,-122.0,-210.0,150.0,-121.0,-121.0,-118.0,-111.0,-222.0,180.0,-105.0,-125.0
NBA,2025-11-26 22:46:41,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-113.0,-109.0,177.0,-217.67,-111.33,-110.67,East,Southeast,East,Central,-110.0,-110.0,176,-210,-112.0,-108.0,-115.0,-105.0,180.0,-218.0,-110.0,-110.0,,,,,,,,,,,,,-114.0,-112.0,175.0,-225.0,-112.0,-114.0,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-110.0,-110.0,198.0,-240.0,-110.0,-110.0,East,Atlantic,East,Atlantic,-110.0,-110.0,198,-240,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-115.33,-106.67,124.0,-149.0,-110.67,-111.33,East,Southeast,East,Central,-114.0,-106.0,134,-158,-108.0,-112.0,-115.0,-105.0,124.0,-148.0,-110.0,-110.0,,,,,,,,,,,,,-117.0,-109.0,114.0,-141.0,-114.0,-112.0,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-107.33,-114.67,-204.33,167.0,-109.33,-112.67,East,Central,East,Southeast,-108.0,-112.0,-198,166,-106.0,-114.0,-105.0,-115.0,-205.0,170.0,-110.0,-110.0,,,,,,,,,,,,,-109.0,-117.0,-210.0,165.0,-112.0,-114.0,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-108.0,-112.0,-239.0,196.5,-111.0,-109.0,East,Central,East,Southeast,-106.0,-114.0,-240,198,-112.0,-108.0,-110.0,-110.0,-238.0,195.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-112.5,-107.5,-260.0,212.5,-111.0,-109.0,East,Atlantic,East,Central,-110.0,-110.0,-255,210,-112.0,-108.0,-115.0,-105.0,-265.0,215.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-108.5,-111.5,-452.5,350.0,-110.0,-110.0,West,Northwest,West,Southwest,-112.0,-108.0,-450,350,-110.0,-110.0,-105.0,-115.0,-455.0,350.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-109.0,-111.0,-1100.0,700.0,-110.0,-110.0,West,Northwest,West,Pacific,-108.0,-112.0,-1100,700,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-117.0,-3.0,-109.0,-109.0,-111.0,-109.0,West,Northwest,West,Pacific,-114.0,-106.0,-108,-108,-112.0,-108.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-110.0,-110.0,-452.5,350.0,-109.0,-111.0,West,Pacific,West,Southwest,-110.0,-110.0,-450,350,-108.0,-112.0,-110.0,-110.0,-455.0,350.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 22:46:41,2025-11-28 22:10,Los Angeles Clippers,Memphis Grizzlies,No,1610.3,Yes,-105.5,-114.5,-264.0,215.0,-110.0,-110.0,West,Pacific,West,Southwest,-106.0,-114.0,-250,205,-110.0,-110.0,-105.0,-115.0,-278.0,225.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
