League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2025-11-27 04:27:52,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-110.75,-110.5,170.75,-210.25,-111.5,-110.0,East,Southeast,East,Central,-106,-114,184,-220,-112,-108,-112,-113,165,-210,-114,-112,-115,-105,164,-198,-110,-110,-110,-110,170,-213,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-113.0,-108.5,196.25,-243.0,-110.0,-111.0,East,Atlantic,East,Atlantic,-110,-110,198,-240,-110,-110,-117,-109,200,-250,-110,-114,-115,-105,195,-238,-110,-110,-110,-110,192,-244,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-112.0,-109.5,124.5,-151.0,-110.25,-111.0,East,Southeast,East,Central,-114,-106,130,-154,-108,-112,-109,-117,120,-150,-113,-112,-115,-105,124,-148,-110,-110,-110,-110,124,-152,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-108.0,-113.5,-199.5,163.25,-109.5,-112.0,East,Central,East,Southeast,-108,-112,-190,162,-106,-114,-109,-117,-210,165,-112,-114,-105,-115,-198,164,-110,-110,-110,-110,-200,162,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-109.0,-112.0,-241.0,194.0,-110.5,-110.5,East,Central,East,Southeast,-106,-114,-225,188,-112,-108,-110,-114,-250,195,-110,-114,-110,-110,-245,200,-110,-110,-110,-110,-244,193,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-112.0,-109.5,-259.0,207.0,-111.25,-110.25,East,Atlantic,East,Central,-110,-110,-255,210,-112,-108,-113,-113,-275,210,-113,-113,-115,-105,-250,205,-110,-110,-110,-110,-256,203,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-110.0,-111.5,-480.25,355.25,-111.0,-110.0,West,Northwest,West,Southwest,-112,-108,-460,360,-114,-106,-113,-113,-530,370,-110,-114,-105,-115,-455,350,-110,-110,-110,-110,-476,341,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-109.0,-112.25,-952.5,614.75,-110.5,-110.75,West,Northwest,West,Pacific,-106,-114,-800,560,-110,-110,-110,-115,-910,575,-112,-113,-110,-110,-1100,700,-110,-110,-110,-110,-1000,624,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-112.5,-58.75,-59.25,-111.75,-110.75,-110.75,West,Northwest,West,Pacific,-110,-110,-116,-102,-110,-110,-110,-115,-113,-110,-113,-113,-120,100,-110,-110,-110,-110,-110,-110,102,-125,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-109.75,-111.75,-462.75,344.0,-110.25,-111.25,West,Pacific,West,Southwest,-106,-114,-405,315,-108,-112,-113,-113,-480,350,-113,-113,-110,-110,-440,340,-110,-110,-110,-110,-526,371,-110,-110
NBA,2025-11-27 04:27:52,2025-11-28 22:10,Los Angeles Clippers,Memphis Grizzlies,No,1610.3,Yes,-109.5,-111.75,-265.75,211.75,-110.5,-111.0,West,Pacific,West,Southwest,-106,-114,-240,198,-110,-110,-110,-115,-275,210,-112,-114,-112,-108,-278,225,-110,-110,-110,-110,-270,214,-110,-110
