League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds
NBA,2025-11-27 07:52:06,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-109.86,-109.86,172.8,-211.6,-111.2,-110.0,East,Southeast,East,Central,-106,-114,184,-220,-112,-108,-117,-109,170,-220,-114,-112,-110,-110,170,-205,-110,-110,-110,-110,170,-213,-110,-110,-110,-110,170,-200,-110,-110,-110.0,-110.0,,,,,-106.0,-106.0,,,,
NBA,2025-11-27 07:52:06,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-110.0,-109.71,201.4,-248.8,-110.6,-110.4,East,Atlantic,East,Atlantic,-110,-110,198,-240,-110,-110,-114,-112,188,-240,-113,-112,-110,-110,210,-258,-110,-110,-110,-110,201,-256,-110,-110,-110,-110,210,-250,-110,-110,-110.0,-110.0,,,,,-106.0,-106.0,,,,
NBA,2025-11-27 07:52:06,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-110.71,-108.86,125.6,-151.2,-110.0,-111.2,East,Southeast,East,Central,-114,-106,130,-154,-108,-112,-115,-110,120,-152,-112,-114,-110,-110,124,-148,-110,-110,-110,-110,124,-152,-110,-110,-110,-110,130,-150,-110,-110,-110.0,-110.0,,,,,-106.0,-106.0,,,,
NBA,2025-11-27 07:52:06,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-109.86,-109.57,-196.4,162.4,-110.0,-111.2,East,Central,East,Southeast,-108,-112,-190,162,-106,-114,-115,-109,-205,163,-114,-112,-110,-110,-192,160,-110,-110,-110,-110,-200,162,-110,-110,-110,-110,-195,165,-110,-110,-110.0,-110.0,,,,,-106.0,-106.0,,,,
NBA,2025-11-27 07:52:06,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-108.86,-110.57,-242.8,197.2,-112.0,-109.2,East,Central,East,Southeast,-106,-114,-225,188,-112,-108,-110,-114,-250,195,-113,-113,-110,-110,-250,205,-110,-110,-110,-110,-244,193,-110,-110,-110,-110,-245,205,-115,-105,-110.0,-110.0,,,,,-106.0,-106.0,,,,
NBA,2025-11-27 07:52:06,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-112.6,-108.6,-254.2,205.6,-111.0,-110.2,East,Atlantic,East,Central,-110,-110,-255,210,-112,-108,-113,-113,-265,205,-113,-113,-115,-105,-250,205,-110,-110,-110,-110,-256,203,-110,-110,-115,-105,-245,205,-110,-110,,,,,,,,,,,,
NBA,2025-11-27 07:52:06,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-110.71,-109.0,-483.2,358.2,-111.2,-110.0,West,Northwest,West,Southwest,-112,-108,-460,360,-114,-106,-117,-109,-530,380,-112,-114,-110,-110,-470,360,-110,-110,-110,-110,-476,341,-110,-110,-110,-110,-480,350,-110,-110,-110.0,-110.0,,,,,-106.0,-106.0,,,,
NBA,2025-11-27 07:52:06,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-108.86,-110.57,-966.0,607.8,-110.8,-110.4,West,Northwest,West,Pacific,-106,-114,-770,540,-110,-110,-110,-114,-910,550,-114,-112,-110,-110,-1050,675,-110,-110,-110,-110,-1000,624,-110,-110,-110,-110,-1100,650,-110,-110,-110.0,-110.0,,,,,-106.0,-106.0,,,,
NBA,2025-11-27 07:52:06,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-80.86,-110.14,-114.2,-106.2,-110.6,-110.6,West,Northwest,West,Pacific,-110,-110,-116,-102,-110,-110,-112,-113,-115,-108,-113,-113,-110,-110,-110,-110,-110,-110,-110,-110,-120,-101,-110,-110,100,-120,-110,-110,-110,-110,-114.0,-106.0,,,,,-110.0,-102.0,,,,
NBA,2025-11-27 07:52:06,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-109.2,-111.8,-460.2,342.2,-109.0,-112.2,West,Pacific,West,Southwest,-106,-114,-405,315,-108,-112,-110,-115,-455,335,-112,-114,-110,-110,-455,350,-110,-110,-110,-110,-526,371,-110,-110,-110,-110,-460,340,-105,-115,,,,,,,,,,,,
NBA,2025-11-27 07:52:06,2025-11-28 22:10,Los Angeles Clippers,Memphis Grizzlies,No,1610.3,Yes,-109.86,-109.86,-265.6,213.4,-110.4,-110.8,West,Pacific,West,Southwest,-106,-114,-240,198,-110,-110,-109,-117,-265,205,-112,-114,-118,-102,-278,225,-110,-110,-110,-110,-270,214,-110,-110,-110,-110,-275,225,-110,-110,-110.0,-110.0,,,,,-106.0,-106.0,,,,
