League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-28 01:37:38,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-62.67,-112.56,175.33,-210.78,-112.11,-108.0,East,Southeast,East,Central,-108,-112,176,-210,-112,-108,-112,-113,165,-210,-114,-112,-112,-108,170,-205,-110,-110,-110,-110,170,-213,-110,-110,-110,-110,175,-210,-110,-110,102,-122,180,-210,-115,-105,106,-118,182,-209,-113,-102,-110,-110,180,-220,-110,-110,-110,-110,180,-210,-115,-105
NBA,2025-11-28 01:37:38,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-110.56,-109.22,225.67,-277.89,-109.0,-111.0,East,Atlantic,East,Atlantic,-110,-110,225,-275,-114,-106,-109,-117,215,-278,-113,-112,-102,-118,230,-285,-112,-108,-110,-110,226,-286,-110,-110,-110,-110,220,-270,-110,-110,-115,-105,226,-275,-105,-115,-111,-101,229,-272,-102,-113,-118,-102,230,-285,-110,-110,-110,-110,230,-275,-105,-115
NBA,2025-11-28 01:37:38,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-111.44,-108.22,116.0,-137.78,-110.22,-109.78,East,Southeast,East,Central,-110,-110,114,-134,-110,-110,-115,-110,114,-141,-113,-113,-112,-108,120,-142,-112,-108,-110,-110,113,-139,-110,-110,-110,-110,120,-140,-110,-110,-115,-105,118,-138,-110,-110,-111,-101,120,-136,-107,-107,-110,-110,115,-140,-110,-110,-110,-110,110,-130,-110,-110
NBA,2025-11-28 01:37:38,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-112.22,-107.44,-149.78,126.56,-107.56,-112.56,East,Central,East,Southeast,-106,-114,-154,130,-108,-112,-110,-115,-157,125,-113,-113,-115,-105,-148,124,-110,-110,-110,-110,-145,119,-110,-110,-115,-105,-145,125,-105,-115,-115,-105,-150,130,-105,-115,-111,-101,-149,132,-102,-113,-118,-102,-150,125,-110,-110,-110,-110,-150,129,-105,-115
NBA,2025-11-28 01:37:38,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-110.33,-109.33,-260.44,212.11,-107.89,-112.22,East,Central,East,Southeast,-112,-108,-245,205,-106,-114,-115,-110,-265,200,-113,-113,-110,-110,-258,210,-105,-115,-110,-110,-263,208,-110,-110,-110,-110,-260,215,-110,-110,-110,-110,-260,215,-105,-115,-106,-106,-258,218,-102,-113,-110,-110,-275,220,-110,-110,-110,-110,-260,218,-110,-110
NBA,2025-11-28 01:37:38,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-110.78,-109.0,-294.89,238.22,-109.67,-110.33,East,Atlantic,East,Central,-114,-106,-300,240,-110,-110,-114,-112,-295,225,-112,-114,-108,-112,-298,240,-108,-112,-110,-110,-294,231,-110,-110,-105,-115,-300,250,-110,-110,-115,-105,-290,237,-110,-110,-111,-101,-287,241,-107,-107,-110,-110,-300,240,-110,-110,-110,-110,-290,240,-110,-110
NBA,2025-11-28 01:37:38,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-107.89,-111.78,-366.78,288.89,-110.56,-109.44,West,Northwest,West,Southwest,-110,-110,-360,290,-114,-106,-112,-113,-385,290,-114,-112,-108,-112,-375,295,-105,-115,-110,-110,-370,283,-110,-110,-110,-110,-360,280,-110,-110,-105,-115,-360,289,-110,-110,-101,-111,-356,293,-107,-107,-105,-115,-375,290,-115,-105,-110,-110,-360,290,-110,-110
NBA,2025-11-28 01:37:38,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-110.11,-109.67,-1122.78,693.78,-110.56,-109.44,West,Northwest,West,Pacific,-112,-108,-1200,750,-114,-106,-113,-113,-1115,650,-112,-114,-110,-110,-1100,700,-112,-108,-110,-110,-1111,650,-110,-110,-110,-110,-1200,700,-115,-105,-110,-110,-1000,661,-110,-110,-106,-106,-979,683,-107,-107,-110,-110,-1400,800,-105,-115,-110,-110,-1000,650,-110,-110
NBA,2025-11-28 01:37:38,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-108.78,-110.89,-120.33,11.22,-111.11,-108.89,West,Northwest,West,Pacific,-110,-110,-120,102,-114,-106,-113,-112,-117,-107,-112,-114,-110,-110,-120,100,-112,-108,-110,-110,-133,109,-110,-110,-115,-105,-125,105,-110,-110,-105,-115,-115,-105,-110,-110,-101,-111,-113,-103,-107,-107,-110,-110,-125,105,-115,-105,-105,-115,-115,-105,-110,-110
NBA,2025-11-28 01:37:38,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-107.56,-112.0,-482.22,365.89,-111.11,-108.89,West,Pacific,West,Southwest,-110,-110,-430,350,-112,-108,-115,-109,-480,350,-115,-110,-105,-115,-485,370,-105,-115,-110,-110,-526,372,-110,-110,-115,-105,-500,360,-110,-110,-105,-115,-475,367,-115,-105,-101,-111,-469,374,-113,-102,-102,-118,-500,375,-110,-110,-105,-115,-475,375,-110,-110
