League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-28 20:52:58,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-118.83,-80.33,820.83,-2036.17,-113.0,-118.33,East,Atlantic,East,Atlantic,-146,110,750,-1600,-104,-128,-110.0,-120.0,900.0,-1850.0,-120.0,-110.0,-121.0,-121.0,700.0,-2500.0,-118.0,-124.0,-111.0,-118.0,775.0,-1667.0,-111.0,-118.0,-115.0,-115.0,750.0,-1600.0,-115.0,-115.0,-110.0,-118.0,1050.0,-3000.0,-110.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-28 20:52:58,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-114.17,-116.0,-162.83,125.17,-115.0,-116.0,East,Southeast,East,Central,-114,-114,-162,126,-122,-108,-115.0,-115.0,-166.0,130.0,-115.0,-115.0,-118.0,-124.0,-175.0,125.0,-122.0,-120.0,-118.0,-105.0,-154.0,125.0,-111.0,-118.0,-110.0,-120.0,-165.0,125.0,-110.0,-120.0,-110.0,-118.0,-155.0,120.0,-110.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-28 20:52:58,2025-11-28 19:41,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-119.0,-111.83,228.33,-313.17,-80.17,-118.33,East,Southeast,East,Central,-114,-114,235,-310,100,-132,-125.0,-105.0,220.0,-298.0,-115.0,-115.0,-120.0,-122.0,220.0,-335.0,-122.0,-120.0,-125.0,-105.0,225.0,-286.0,-111.0,-118.0,-115.0,-115.0,230.0,-325.0,-115.0,-115.0,-115.0,-110.0,240.0,-325.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-28 20:52:58,2025-11-28 19:41,Detroit Pistons,Orlando Magic,No,956.1,Yes,-79.33,-119.17,-157.33,119.83,-116.33,-115.5,East,Central,East,Southeast,100,-132,-166,130,-122,-108,-115.0,-115.0,-154.0,120.0,-110.0,-120.0,-120.0,-122.0,-155.0,114.0,-118.0,-124.0,-111.0,-118.0,-154.0,115.0,-118.0,-111.0,-120.0,-110.0,-165.0,125.0,-115.0,-115.0,-110.0,-118.0,-150.0,115.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-28 20:52:58,2025-11-28 19:41,Indiana Pacers,Washington Wizards,No,492.8,Yes,-115.5,-115.0,-915.5,525.83,-78.83,-119.83,East,Central,East,Southeast,-118,-112,-800,480,110,-146,-120.0,-110.0,-950.0,575.0,-120.0,-110.0,-125.0,-117.0,-910.0,475.0,-120.0,-122.0,-105.0,-118.0,-833.0,500.0,-118.0,-111.0,-115.0,-115.0,-1000.0,550.0,-115.0,-115.0,-110.0,-118.0,-1000.0,575.0,-110.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-28 20:52:58,2025-11-28 19:43,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-117.5,-114.0,-231.17,173.5,-116.0,-115.0,East,Atlantic,East,Central,-114,-114,-230,176,-118,-112,-110.0,-120.0,-220.0,170.0,-115.0,-115.0,-118.0,-124.0,-240.0,170.0,-120.0,-122.0,-118.0,-111.0,-222.0,165.0,-118.0,-111.0,-120.0,-110.0,-240.0,180.0,-115.0,-115.0,-125.0,-105.0,-235.0,180.0,-110.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-28 20:52:58,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-108.33,-111.33,-303.33,244.67,-111.0,-109.0,West,Northwest,West,Southwest,-108,-112,-310,250,-110,-110,-105.0,-115.0,-310.0,250.0,-110.0,-110.0,-108.0,-117.0,-305.0,235.0,-113.0,-113.0,-110.0,-110.0,-323.0,246.0,-110.0,-110.0,-105.0,-115.0,-300.0,250.0,-115.0,-105.0,-105.0,-115.0,-300.0,240.0,-110.0,-110.0,-114.0,-106.0,-295.0,241.0,-112.0,-108.0,-110.0,-102.0,-292.0,245.0,-109.0,-105.0,-110.0,-110.0,-295.0,245.0,-110.0,-110.0
NBA,2025-11-28 20:52:58,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-109.0,-110.78,-1031.89,657.33,-110.0,-110.0,West,Northwest,West,Pacific,-114,-106,-950,640,-110,-110,-110.0,-110.0,-1050.0,675.0,-115.0,-105.0,-112.0,-114.0,-910.0,550.0,-112.0,-114.0,-110.0,-110.0,-1000.0,609.0,-110.0,-110.0,-105.0,-115.0,-1000.0,625.0,-110.0,-110.0,-110.0,-110.0,-1100.0,675.0,-110.0,-110.0,-107.0,-113.0,-1100.0,709.0,-108.0,-112.0,-103.0,-109.0,-1077.0,733.0,-105.0,-109.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0
NBA,2025-11-28 20:52:58,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-108.89,-110.89,-138.0,116.11,-111.22,-108.89,West,Northwest,West,Pacific,-110,-110,-142,120,-110,-110,-110.0,-110.0,-135.0,114.0,-110.0,-110.0,-112.0,-114.0,-137.0,110.0,-113.0,-113.0,-110.0,-110.0,-139.0,113.0,-110.0,-110.0,-105.0,-115.0,-135.0,115.0,-110.0,-110.0,-110.0,-110.0,-140.0,115.0,-110.0,-110.0,-111.0,-109.0,-138.0,118.0,-115.0,-105.0,-107.0,-105.0,-136.0,120.0,-113.0,-102.0,-105.0,-115.0,-140.0,120.0,-110.0,-110.0
NBA,2025-11-28 20:52:58,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-111.0,-108.56,-427.67,328.78,-110.78,-109.22,West,Pacific,West,Southwest,-114,-106,-450,350,-112,-108,-110.0,-110.0,-425.0,330.0,-110.0,-110.0,-114.0,-110.0,-400.0,295.0,-114.0,-112.0,-110.0,-110.0,-434.0,323.0,-110.0,-110.0,-115.0,-105.0,-435.0,325.0,-110.0,-110.0,-110.0,-110.0,-450.0,340.0,-110.0,-110.0,-110.0,-110.0,-420.0,330.0,-112.0,-108.0,-106.0,-106.0,-415.0,336.0,-109.0,-105.0,-110.0,-110.0,-420.0,330.0,-110.0,-110.0
NBA,2025-11-28 20:52:58,2025-11-28 22:10,Los Angeles Clippers,Memphis Grizzlies,No,1610.3,Yes,-108.44,-111.22,-253.78,206.11,-109.44,-110.56,West,Pacific,West,Southwest,-112,-108,-275,220,-108,-112,-108.0,-112.0,-250.0,205.0,-108.0,-112.0,-110.0,-115.0,-250.0,195.0,-112.0,-114.0,-110.0,-110.0,-256.0,201.0,-110.0,-110.0,-110.0,-110.0,-270.0,220.0,-110.0,-110.0,-110.0,-110.0,-250.0,200.0,-110.0,-110.0,-105.0,-115.0,-245.0,203.0,-110.0,-110.0,-101.0,-111.0,-243.0,206.0,-107.0,-107.0,-110.0,-110.0,-245.0,205.0,-110.0,-110.0
NBA,2025-11-28 20:52:58,2025-11-29 17:10,Minnesota Timberwolves,Boston Celtics,No,1124.0,No,-114.0,-106.0,-270.0,220.0,-110.0,-110.0,West,Northwest,East,Atlantic,-114,-106,-270,220,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-28 20:52:58,2025-11-29 20:10,Miami Heat,Detroit Pistons,No,1153.0,Yes,-108.0,-112.0,-146.0,124.0,-110.0,-110.0,East,Southeast,East,Central,-108,-112,-146,124,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-28 20:52:58,2025-11-29 20:40,Golden State Warriors,New Orleans Pelicans,No,1923.5,Yes,-110.0,-110.0,-320.0,260.0,-110.0,-110.0,West,Pacific,West,Southwest,-110,-110,-320,260,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-28 20:52:58,2025-11-29 21:10,Phoenix Suns,Denver Nuggets,No,585.4,Yes,-114.0,-106.0,188.0,-225.0,-110.0,-110.0,West,Pacific,West,Northwest,-114,-106,188,-225,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
