League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-30 21:20:44,2025-11-30 18:11,Philadelphia 76ers,Atlanta Hawks,No,663.4,No,-124.0,-41.67,850.0,-2611.67,,,East,Atlantic,East,Southeast,-102,-130,,,,,-125.0,-105.0,,,,,,,900.0,-2000.0,,,,,700.0,-3335.0,,,-145.0,110.0,950.0,-2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-30 21:20:44,2025-11-30 19:11,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,-57.5,-135.0,-5000.0,1150.0,-105.0,-133.0,West,Northwest,West,Southwest,-128,-104,,,,,-200.0,154.0,,,,,-120.0,-110.0,,,,,-122.0,-120.0,,,,,350.0,-525.0,,,,,-125.0,-105.0,-5000.0,1150.0,-105.0,-133.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-30 21:20:44,2025-11-30 21:10,Sacramento Kings,Memphis Grizzlies,No,1750.1,Yes,-110.89,-115.67,172.44,-222.33,-114.33,-112.44,West,Pacific,West,Southwest,-106,-125,220.0,-295.0,-125.0,-106.0,-120.0,-110.0,195.0,-260.0,-110.0,-120.0,-115.0,-115.0,185.0,-250.0,-115.0,-115.0,-121.0,-121.0,185.0,-265.0,-121.0,-121.0,-110.0,-115.0,210.0,-275.0,-115.0,-110.0,-111.0,-118.0,180.0,-222.0,-111.0,-118.0,-103.0,-109.0,127.0,-144.0,-107.0,-107.0,-107.0,-113.0,125.0,-145.0,-110.0,-110.0,-105.0,-115.0,125.0,-145.0,-115.0,-105.0
NBA,2025-11-30 21:20:44,2025-11-30 21:40,Los Angeles Lakers,New Orleans Pelicans,No,1673.5,Yes,-110.22,-109.56,-1393.67,803.33,-110.11,-109.78,West,Pacific,West,Southwest,-114,-106,-1350.0,810.0,-106.0,-114.0,-115.0,-105.0,-1450.0,850.0,-115.0,-105.0,-110.0,-110.0,-1400.0,750.0,-110.0,-110.0,-112.0,-114.0,-1250.0,700.0,-113.0,-112.0,-110.0,-110.0,-1400.0,800.0,-110.0,-110.0,-110.0,-110.0,-1429.0,756.0,-110.0,-110.0,-106.0,-106.0,-1464.0,910.0,-107.0,-107.0,-110.0,-110.0,-1500.0,874.0,-110.0,-110.0,-105.0,-115.0,-1300.0,780.0,-110.0,-110.0
NBA,2025-11-30 21:20:44,2025-12-01 19:00,Washington Wizards,Milwaukee Bucks,No,637.0,Yes,-107.67,-111.0,327.75,-428.75,-109.17,-109.83,East,Southeast,East,Central,-110,-110,330.0,-420.0,-108.0,-112.0,-105.0,-115.0,320.0,-410.0,-110.0,-110.0,,,,,,,,,,,,,-105.0,-115.0,340.0,-450.0,-110.0,-110.0,-110.0,-110.0,321.0,-435.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-30 21:20:44,2025-12-01 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-109.2,-109.2,-393.33,308.33,-108.4,-110.4,East,Central,East,Southeast,-110,-110,-400.0,315.0,-110.0,-110.0,-105.0,-115.0,-380.0,300.0,-110.0,-110.0,,,,,,,,,,,,,-115.0,-105.0,-400.0,310.0,-105.0,-115.0,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-30 21:20:44,2025-12-01 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-109.43,-110.14,176.8,-219.0,-109.57,-110.29,East,Central,East,Central,-110,-110,176.0,-210.0,-110.0,-110.0,-110.0,-110.0,180.0,-218.0,-110.0,-110.0,,,,,,,-110.0,-115.0,175.0,-230.0,-110.0,-115.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,173.0,-217.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-30 21:20:44,2025-12-01 19:30,Miami Heat,Los Angeles Clippers,No,2344.1,Yes,-110.14,-109.43,-208.6,169.8,-111.0,-108.71,East,Southeast,West,Pacific,-110,-110,-205.0,172.0,-115.0,-105.0,-105.0,-115.0,-205.0,170.0,-115.0,-105.0,,,,,,,-110.0,-115.0,-215.0,170.0,-110.0,-114.0,-110.0,-110.0,-210.0,170.0,-110.0,-110.0,-110.0,-110.0,-208.0,167.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-30 21:20:44,2025-12-01 19:40,Brooklyn Nets,Charlotte Hornets,No,530.9,Yes,-110.0,-109.67,150.75,-182.75,-107.5,-112.33,East,Atlantic,East,Southeast,-112,-108,146.0,-174.0,-108.0,-112.0,-110.0,-110.0,154.0,-185.0,-110.0,-110.0,,,,,,,-112.0,-114.0,148.0,-182.0,-110.0,-114.0,-110.0,-110.0,155.0,-190.0,-110.0,-110.0,,,,,,,-106.0,-106.0,,,-102.0,-113.0,-110.0,-110.0,,,-105.0,-115.0,,,,,,
NBA,2025-11-30 21:20:44,2025-12-01 19:40,Orlando Magic,Chicago Bulls,No,985.5,Yes,-110.43,-109.29,-291.8,231.4,-109.29,-110.71,East,Southeast,East,Central,-110,-110,-280.0,230.0,-105.0,-115.0,-105.0,-115.0,-290.0,235.0,-110.0,-110.0,,,,,,,-112.0,-114.0,-295.0,225.0,-113.0,-113.0,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,-110.0,-110.0,-294.0,227.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
