League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
NBA,2025-11-30 23:13:14,2025-11-30 21:10,Sacramento Kings,Memphis Grizzlies,No,1750.1,Yes,-121.67,-77.83,99.67,-181.33,-71.0,-129.17,West,Pacific,West,Southwest,-118,-112,118,-150,-102,-130,-120,-110,110,-140,-115,-115,-120.0,-110.0,105.0,-135.0,-115.0,-115.0,-127.0,-115.0,105.0,-143.0,-124.0,-118.0,-140.0,105.0,-105.0,-120.0,-110.0,-115.0,-105.0,-125.0,265.0,-400.0,140.0,-182.0,,,,,,,,,,,,
NBA,2025-11-30 23:13:14,2025-11-30 21:42,Los Angeles Lakers,New Orleans Pelicans,No,1673.5,Yes,-117.0,-115.33,-26666.67,3100.0,-85.17,-82.67,West,Pacific,West,Southwest,-114,-114,-50000,3000,-152,114,-110,-120,-20000,3000,-120,-110,-120.0,-110.0,,,-120.0,-110.0,-122.0,-118.0,,,-124.0,-118.0,-125.0,-105.0,-10000.0,3300.0,-110.0,-118.0,-111.0,-125.0,,,115.0,-154.0,,,,,,,,,,,,
NBA,2025-11-30 23:13:14,2025-12-01 19:00,Washington Wizards,Milwaukee Bucks,No,637.0,Yes,-82.5,-112.25,341.0,-450.75,-109.75,-110.12,East,Southeast,East,Central,-105,-115,385,-500,-108,-112,100,-120,330,-425,-105,-115,-110.0,-110.0,320.0,-430.0,-110.0,-110.0,-114.0,-112.0,325.0,-455.0,-113.0,-112.0,-105.0,-115.0,350.0,-475.0,-115.0,-105.0,-110.0,-110.0,344.0,-476.0,-110.0,-110.0,-106.0,-106.0,340.0,-420.0,-107.0,-107.0,-110.0,-110.0,334.0,-425.0,-110.0,-110.0
NBA,2025-11-30 23:13:14,2025-12-01 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-110.12,-109.62,-387.0,301.75,-109.88,-110.12,East,Central,East,Southeast,-108,-112,-375,300,-105,-115,-105,-115,-380,300,-110,-110,-110.0,-110.0,-400.0,300.0,-110.0,-110.0,-117.0,-109.0,-385.0,290.0,-112.0,-114.0,-105.0,-115.0,-400.0,310.0,-115.0,-105.0,-110.0,-110.0,-400.0,303.0,-110.0,-110.0,-111.0,-101.0,-376.0,308.0,-107.0,-107.0,-115.0,-105.0,-380.0,303.0,-110.0,-110.0
NBA,2025-11-30 23:13:14,2025-12-01 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-109.25,-110.5,176.88,-213.62,-109.0,-111.0,East,Central,East,Central,-110,-110,180,-215,-110,-110,-110,-110,180,-218,-108,-112,-105.0,-115.0,175.0,-210.0,-105.0,-115.0,-113.0,-113.0,170.0,-220.0,-112.0,-114.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,174.0,-217.0,-110.0,-110.0,-106.0,-106.0,179.0,-204.0,-107.0,-107.0,-110.0,-110.0,177.0,-205.0,-110.0,-110.0
NBA,2025-11-30 23:13:14,2025-12-01 19:30,Miami Heat,Los Angeles Clippers,No,2344.1,Yes,-108.5,-111.12,-227.62,187.38,-110.12,-109.88,East,Southeast,West,Pacific,-110,-110,-225,188,-110,-110,-102,-118,-225,185,-110,-110,-115.0,-105.0,-235.0,195.0,-110.0,-110.0,-110.0,-115.0,-230.0,180.0,-114.0,-112.0,-105.0,-115.0,-225.0,185.0,-110.0,-110.0,-110.0,-110.0,-233.0,186.0,-110.0,-110.0,-106.0,-106.0,-223.0,191.0,-107.0,-107.0,-110.0,-110.0,-225.0,189.0,-110.0,-110.0
NBA,2025-11-30 23:13:14,2025-12-01 19:40,Brooklyn Nets,Charlotte Hornets,No,530.9,Yes,-110.25,-109.25,153.88,-184.12,-109.75,-110.12,East,Atlantic,East,Southeast,-112,-108,148,-176,-108,-112,-110,-110,150,-180,-110,-110,-110.0,-110.0,165.0,-195.0,-110.0,-110.0,-114.0,-110.0,143.0,-180.0,-113.0,-112.0,-110.0,-110.0,155.0,-190.0,-110.0,-110.0,-110.0,-110.0,155.0,-192.0,-110.0,-110.0,-106.0,-106.0,158.0,-180.0,-107.0,-107.0,-110.0,-110.0,157.0,-180.0,-110.0,-110.0
NBA,2025-11-30 23:13:14,2025-12-01 19:40,Orlando Magic,Chicago Bulls,No,985.5,Yes,-109.38,-110.38,-349.5,275.25,-110.75,-109.25,East,Southeast,East,Central,-110,-110,-350,280,-112,-108,-105,-115,-345,275,-110,-110,-110.0,-110.0,-370.0,285.0,-110.0,-110.0,-114.0,-112.0,-360.0,270.0,-112.0,-114.0,-110.0,-110.0,-350.0,280.0,-115.0,-105.0,-110.0,-110.0,-345.0,260.0,-110.0,-110.0,-106.0,-106.0,-336.0,278.0,-107.0,-107.0,-110.0,-110.0,-340.0,274.0,-110.0,-110.0
NBA,2025-11-30 23:13:14,2025-12-01 21:10,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,-110.75,-108.75,-492.25,367.25,-110.12,-109.88,West,Northwest,West,Southwest,-110,-110,-480,360,-110,-110,-110,-110,-455,350,-110,-110,-110.0,-110.0,-510.0,370.0,-110.0,-110.0,-110.0,-114.0,-500.0,350.0,-114.0,-112.0,-110.0,-110.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-500.0,360.0,-110.0,-110.0,-111.0,-101.0,-493.0,390.0,-107.0,-107.0,-115.0,-105.0,-500.0,383.0,-110.0,-110.0
NBA,2025-11-30 23:13:14,2025-12-01 21:10,Utah Jazz,Houston Rockets,No,1201.1,Yes,-111.12,-108.38,451.38,-625.38,-110.5,-109.25,West,Northwest,West,Southwest,-110,-110,460,-620,-110,-110,-115,-105,455,-625,-112,-108,-110.0,-110.0,430.0,-625.0,-110.0,-110.0,-110.0,-114.0,430.0,-625.0,-110.0,-114.0,-118.0,-102.0,475.0,-650.0,-115.0,-105.0,-110.0,-110.0,459.0,-667.0,-110.0,-110.0,-106.0,-106.0,456.0,-591.0,-107.0,-107.0,-110.0,-110.0,446.0,-600.0,-110.0,-110.0
