League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-01 07:53:56,2025-12-01 19:00,Washington Wizards,Milwaukee Bucks,No,637.0,Yes,-109.22,-110.33,297.89,-384.22,-109.56,-110.44,East,Southeast,East,Central,-102,-118,295,-375,-105,-115,-111.0,-101.0,304.0,-371.0,-107.0,-107.0,-115.0,-105.0,299.0,-375.0,-110.0,-110.0,-110,-110,270,-335,-112,-108,-110.0,-110.0,313.0,-417.0,-110.0,-110.0,-110.0,-110.0,290.0,-375.0,-110.0,-110.0,-105.0,-115.0,300.0,-400.0,-110.0,-110.0,-110.0,-114.0,310.0,-435.0,-112.0,-114.0,-110.0,-110.0,300.0,-375.0,-110.0,-110.0
NBA,2025-12-01 07:53:56,2025-12-01 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-108.22,-111.56,-408.67,316.78,-108.56,-111.22,East,Central,East,Southeast,-105,-115,-410,320,-105,-115,-106.0,-106.0,-386.0,315.0,-107.0,-107.0,-110.0,-110.0,-390.0,310.0,-110.0,-110.0,-106,-114,-405,320,-105,-115,-110.0,-110.0,-417.0,311.0,-110.0,-110.0,-105.0,-115.0,-400.0,310.0,-110.0,-110.0,-105.0,-115.0,-415.0,310.0,-110.0,-110.0,-117.0,-109.0,-455.0,335.0,-110.0,-114.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0
NBA,2025-12-01 07:53:56,2025-12-01 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-109.11,-110.67,207.0,-252.44,-110.44,-109.56,East,Central,East,Central,-115,-105,205,-250,-115,-105,-106.0,-106.0,218.0,-258.0,-107.0,-107.0,-110.0,-110.0,215.0,-260.0,-110.0,-110.0,-108,-112,205,-250,-110,-110,-110.0,-110.0,192.0,-244.0,-110.0,-110.0,-105.0,-115.0,200.0,-250.0,-110.0,-110.0,-105.0,-115.0,210.0,-250.0,-110.0,-110.0,-113.0,-113.0,200.0,-250.0,-112.0,-114.0,-110.0,-110.0,218.0,-260.0,-110.0,-110.0
NBA,2025-12-01 07:53:56,2025-12-01 19:30,Miami Heat,Los Angeles Clippers,No,2344.1,Yes,-108.44,-111.33,-244.33,200.11,-109.0,-111.0,East,Southeast,West,Pacific,-105,-115,-245,200,-108,-112,-106.0,-106.0,-238.0,202.0,-104.0,-110.0,-110.0,-110.0,-240.0,200.0,-107.0,-113.0,-108,-112,-240,198,-110,-110,-110.0,-110.0,-256.0,203.0,-110.0,-110.0,-110.0,-110.0,-250.0,200.0,-115.0,-105.0,-105.0,-115.0,-245.0,205.0,-105.0,-115.0,-112.0,-114.0,-245.0,190.0,-112.0,-114.0,-110.0,-110.0,-240.0,203.0,-110.0,-110.0
NBA,2025-12-01 07:53:56,2025-12-01 19:40,Brooklyn Nets,Charlotte Hornets,No,530.9,Yes,-109.78,-110.0,158.67,-189.33,-110.78,-109.33,East,Atlantic,East,Southeast,-110,-110,160,-192,-108,-112,-106.0,-106.0,166.0,-190.0,-113.0,-102.0,-110.0,-110.0,165.0,-190.0,-115.0,-105.0,-110,-110,164,-196,-108,-112,-110.0,-110.0,145.0,-179.0,-110.0,-110.0,-110.0,-110.0,155.0,-190.0,-110.0,-110.0,-110.0,-110.0,165.0,-195.0,-110.0,-110.0,-112.0,-114.0,145.0,-182.0,-113.0,-113.0,-110.0,-110.0,163.0,-190.0,-110.0,-110.0
NBA,2025-12-01 07:53:56,2025-12-01 19:40,Orlando Magic,Chicago Bulls,No,985.5,Yes,-109.22,-110.56,-354.11,279.22,-111.89,-108.11,East,Southeast,East,Central,-108,-112,-345,275,-112,-108,-101.0,-111.0,-345.0,285.0,-110.0,-104.0,-105.0,-115.0,-350.0,280.0,-113.0,-107.0,-110,-110,-360,290,-114,-106,-110.0,-110.0,-357.0,268.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-115.0,-105.0,-115.0,-105.0,-370.0,285.0,-110.0,-110.0,-114.0,-112.0,-360.0,270.0,-113.0,-113.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0
NBA,2025-12-01 07:53:56,2025-12-01 21:10,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,-109.89,-109.89,-542.56,402.56,-109.44,-110.33,West,Northwest,West,Southwest,-105,-115,-485,370,-112,-108,-106.0,-106.0,-542.0,423.0,-107.0,-107.0,-110.0,-110.0,-550.0,415.0,-110.0,-110.0,-110,-110,-520,400,-106,-114,-110.0,-110.0,-526.0,385.0,-110.0,-110.0,-110.0,-110.0,-600.0,425.0,-110.0,-110.0,-115.0,-105.0,-550.0,390.0,-110.0,-110.0,-113.0,-113.0,-560.0,390.0,-110.0,-114.0,-110.0,-110.0,-550.0,425.0,-110.0,-110.0
NBA,2025-12-01 07:53:56,2025-12-01 21:10,Utah Jazz,Houston Rockets,No,1201.1,Yes,-109.0,-110.56,461.11,-640.22,-110.11,-109.89,West,Northwest,West,Southwest,-102,-118,455,-625,-112,-108,-106.0,-106.0,468.0,-610.0,-107.0,-107.0,-110.0,-110.0,458.0,-620.0,-110.0,-110.0,-114,-106,480,-650,-110,-110,-110.0,-110.0,454.0,-667.0,-110.0,-110.0,-105.0,-115.0,475.0,-650.0,-110.0,-110.0,-110.0,-110.0,450.0,-650.0,-110.0,-110.0,-114.0,-110.0,450.0,-670.0,-112.0,-114.0,-110.0,-110.0,460.0,-620.0,-110.0,-110.0
NBA,2025-12-01 07:53:56,2025-12-01 22:10,Los Angeles Lakers,Phoenix Suns,Yes,359.1,Yes,-110.44,-109.33,-222.33,183.89,-109.22,-110.67,West,Pacific,West,Pacific,-110,-110,-225,185,-110,-110,-106.0,-106.0,-219.0,188.0,-107.0,-107.0,-110.0,-110.0,-220.0,186.0,-110.0,-110.0,-110,-110,-225,188,-108,-112,-110.0,-110.0,-222.0,178.0,-110.0,-110.0,-110.0,-110.0,-225.0,185.0,-105.0,-115.0,-115.0,-105.0,-230.0,190.0,-110.0,-110.0,-113.0,-113.0,-215.0,170.0,-113.0,-112.0,-110.0,-110.0,-220.0,185.0,-110.0,-110.0
NBA,2025-12-01 07:53:56,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.5,-110.5,-207.5,173.0,-110.0,-110.0,East,Southeast,East,Southeast,-105,-115,-205,170,-110,-110,,,,,,,,,,,,,-114,-106,-210,176,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
