League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-01 20:59:25,2025-12-01 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-78.83,-120.83,-251.67,102.83,-109.33,-122.33,East,Central,East,Southeast,-112,-118,-150,118,-114,-114,-105,-125,-130,100,-110,-120,100.0,-130.0,-125.0,-102.0,-105.0,-125.0,-118.0,-118.0,-833.0,500.0,-105.0,-125.0,-120.0,-110.0,-145.0,110.0,-105.0,-125.0,-118,-124,-127.0,-109.0,-117,-125,,,,,,,,,,,,,,,,,,
NBA,2025-12-01 20:59:25,2025-12-01 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-119.33,-112.5,909.0,-2240.0,-111.5,-120.33,East,Central,East,Central,-108,-122,870,-2200,-110,-120,-125,-105,1300,-3200,-110,-120,-125.0,-105.0,1000.0,-3000.0,-105.0,-125.0,-118.0,-111.0,575.0,-1000.0,-111.0,-118.0,-115.0,-115.0,800.0,-1800.0,-115.0,-115.0,-125,-117,,,-118,-124,,,,,,,,,,,,,,,,,,
NBA,2025-12-01 20:59:25,2025-12-01 19:10,Washington Wizards,Milwaukee Bucks,No,637.0,Yes,-114.33,-117.67,470.0,-819.5,-111.67,-120.17,East,Southeast,East,Central,-106,-125,520,-900,-102,-130,-110,-120,470,-750,-125,-105,-118.0,-110.0,550.0,-1000.0,-110.0,-118.0,-118.0,-111.0,425.0,-667.0,-111.0,-118.0,-120.0,-110.0,375.0,-600.0,-105.0,-125.0,-114,-130,480.0,-1000.0,-117,-125,,,,,,,,,,,,,,,,,,
NBA,2025-12-01 20:59:25,2025-12-01 19:40,Brooklyn Nets,Charlotte Hornets,No,530.9,Yes,-118.0,-113.17,-83.0,-14.17,-117.83,-112.83,East,Atlantic,East,Southeast,-130,-102,-128,100,-125,-106,-115,-115,-130,100,-115,-115,-115.0,-115.0,-130.0,100.0,-110.0,-118.0,-118.0,-105.0,135.0,-167.0,-118.0,-105.0,-110.0,-120.0,-115.0,-115.0,-115.0,-115.0,-120,-122,-130.0,-103.0,-124,-118,,,,,,,,,,,,,,,,,,
NBA,2025-12-01 20:59:25,2025-12-01 19:41,Miami Heat,Los Angeles Clippers,No,2344.1,Yes,-116.0,-115.83,-5633.33,1262.5,-114.83,-114.83,East,Southeast,West,Pacific,-106,-125,-7000,1500,-114,-114,-120,-110,-3500,1400,-115,-115,-118.0,-110.0,-10000.0,1400.0,-115.0,-110.0,-118.0,-111.0,-5000.0,1125.0,-111.0,-111.0,-120.0,-110.0,-3300.0,1200.0,-120.0,-110.0,-114,-129,-5000.0,950.0,-114,-129,,,,,,,,,,,,,,,,,,
NBA,2025-12-01 20:59:25,2025-12-01 19:43,Orlando Magic,Chicago Bulls,No,985.5,Yes,-121.33,-77.0,-369.67,258.33,-121.67,-77.0,East,Southeast,East,Central,-152,114,-440,310,-146,110,-120,-110,-345,250,-115,-115,-110.0,-118.0,-325.0,240.0,-115.0,-110.0,-111.0,-111.0,-333.0,230.0,-118.0,-111.0,-115.0,-115.0,-460.0,305.0,-115.0,-115.0,-120,-122,-315.0,215.0,-121,-121,,,,,,,,,,,,,,,,,,
NBA,2025-12-01 20:59:25,2025-12-01 21:10,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,-109.33,-110.33,-558.22,409.67,-109.56,-110.44,West,Northwest,West,Southwest,-108,-112,-520,400,-106,-114,-105,-115,-550,410,-105,-115,-105.0,-115.0,-550.0,400.0,-115.0,-105.0,-110.0,-110.0,-631.0,427.0,-110.0,-110.0,-110.0,-110.0,-550.0,390.0,-110.0,-110.0,-112,-113,-625.0,425.0,-113,-113,-114.0,-106.0,-535.0,406.0,-110.0,-110.0,-110.0,-102.0,-528.0,414.0,-107.0,-107.0,-110.0,-110.0,-535.0,415.0,-110.0,-110.0
NBA,2025-12-01 20:59:25,2025-12-01 21:10,Utah Jazz,Houston Rockets,No,1201.1,Yes,-110.78,-109.0,416.78,-567.89,-109.89,-110.11,West,Northwest,West,Southwest,-112,-108,450,-600,-108,-112,-115,-105,400,-535,-115,-105,-118.0,-102.0,425.0,-600.0,-110.0,-110.0,-110.0,-110.0,415.0,-594.0,-110.0,-110.0,-105.0,-115.0,390.0,-550.0,-105.0,-115.0,-109,-117,390.0,-560.0,-114,-112,-110.0,-110.0,421.0,-560.0,-110.0,-110.0,-108.0,-104.0,430.0,-552.0,-107.0,-107.0,-110.0,-110.0,430.0,-560.0,-110.0,-110.0
NBA,2025-12-01 20:59:25,2025-12-01 22:10,Los Angeles Lakers,Phoenix Suns,Yes,359.1,Yes,-110.44,-109.22,-215.89,179.11,-109.33,-110.67,West,Pacific,West,Pacific,-110,-110,-215,180,-106,-114,-105,-115,-218,180,-112,-108,-105.0,-115.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-231.0,185.0,-110.0,-110.0,-115.0,-105.0,-210.0,175.0,-105.0,-115.0,-113,-112,-230.0,180.0,-114,-112,-115.0,-105.0,-210.0,180.0,-110.0,-110.0,-111.0,-101.0,-209.0,182.0,-107.0,-107.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0
NBA,2025-12-01 20:59:25,2025-12-02 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-109.8,-109.8,-730.0,500.0,-110.0,-109.8,East,Atlantic,East,Southeast,-110,-110,-720,520,-110,-110,-110,-110,-700,500,-110,-110,,,,,,,,,,,,,,,,,,,-113,-113,-770.0,480.0,-113,-112,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
NBA,2025-12-01 20:59:25,2025-12-02 19:40,Toronto Raptors,Portland Trail Blazers,No,2113.9,Yes,-109.29,-110.43,-215.6,177.0,-110.29,-109.71,East,Atlantic,West,Northwest,-110,-110,-215,180,-106,-114,-110,-110,-218,180,-110,-110,-105.0,-115.0,-220.0,180.0,-115.0,-105.0,,,,,,,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,-114,-112,-225.0,175.0,-114,-112,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
