League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-01 22:54:04,2025-12-01 21:11,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,-120.0,-78.33,-392.5,275.83,-118.5,-114.83,West,Northwest,West,Southwest,-136,102,-440,310,-102,-130,-121,-121,-455,295,-124,-118,-125,-105,-330,240,-120,-110,-118.0,-111.0,-455.0,320.0,-125.0,-111.0,-110.0,-115.0,-325.0,240.0,-125.0,-105.0,-110.0,-120.0,-350.0,250.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-01 22:54:04,2025-12-01 21:11,Utah Jazz,Houston Rockets,No,1201.1,Yes,-119.17,-113.0,-373.0,255.0,-115.17,-117.33,West,Northwest,West,Southwest,-128,-104,-250,190,-102,-130,-124,-118,-315,210,-124,-118,-105,-125,-280,210,-115,-115,-118.0,-111.0,-833.0,500.0,-125.0,-111.0,-125.0,-105.0,-275.0,210.0,-110.0,-115.0,-115.0,-115.0,-285.0,210.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-01 22:54:04,2025-12-01 22:13,Los Angeles Lakers,Phoenix Suns,Yes,359.1,Yes,-116.67,-114.17,-399.17,276.67,-114.33,-116.0,West,Pacific,West,Pacific,-130,-102,-390,280,-110,-120,-122,-120,-385,255,-122,-120,-105,-125,-410,290,-110,-120,-105.0,-118.0,-400.0,270.0,-111.0,-111.0,-118.0,-110.0,-425.0,300.0,-118.0,-110.0,-120.0,-110.0,-385.0,265.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-01 22:54:04,2025-12-02 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-109.78,-110.0,-794.67,533.0,-87.89,-109.89,East,Atlantic,East,Southeast,-110,-110,-720,520,-110,-110,-112,-114,-715,480,-114,-112,-110,-110,-750,525,100,-120,-110.0,-110.0,-833.0,523.0,-110.0,-110.0,-110.0,-110.0,-900.0,600.0,-115.0,-105.0,-110.0,-110.0,-850.0,550.0,-115.0,-105.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-01 22:54:04,2025-12-02 19:40,Toronto Raptors,Portland Trail Blazers,No,2113.9,Yes,-112.0,-85.56,-209.67,171.17,-110.22,-109.78,East,Atlantic,West,Northwest,-110,-110,-205,172,-106,-114,-114,-112,-225,175,-114,-112,-120,100,-205,170,-110,-110,-110.0,-110.0,-213.0,170.0,-110.0,-110.0,-118.0,-102.0,-210.0,170.0,-115.0,-105.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-01 22:54:04,2025-12-02 20:10,Boston Celtics,New York Knicks,Yes,188.4,Yes,-111.33,-108.44,-36.17,-117.33,-110.0,-110.0,East,Atlantic,East,Atlantic,-114,-106,-104,-112,-110,-110,-112,-114,100,-124,-113,-113,-115,-105,100,-120,-110,-110,-110.0,-110.0,-106.0,-115.0,-110.0,-110.0,-115.0,-105.0,-102.0,-118.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-01 22:54:04,2025-12-02 20:10,San Antonio Spurs,Memphis Grizzlies,Yes,628.7,Yes,-85.11,-112.44,-210.5,172.0,-109.56,-110.44,West,Southwest,West,Southwest,-106,-114,-215,180,-106,-114,-109,-117,-215,170,-113,-113,100,-120,-205,170,-105,-115,-110.0,-110.0,-208.0,167.0,-110.0,-110.0,-105.0,-115.0,-210.0,170.0,-115.0,-105.0,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-01 22:54:04,2025-12-02 20:10,New Orleans Pelicans,Minnesota Timberwolves,No,1051.1,Yes,-110.0,-109.78,306.17,-400.83,-109.89,-110.0,West,Southwest,West,Northwest,-108,-112,315,-400,-110,-110,-113,-113,295,-400,-112,-113,-118,-102,295,-375,-110,-110,-110.0,-110.0,292.0,-385.0,-110.0,-110.0,-110.0,-110.0,325.0,-425.0,-110.0,-110.0,-105.0,-115.0,315.0,-420.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-01 22:54:04,2025-12-02 23:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-108.57,-111.14,450.0,-634.0,-110.29,-109.43,West,Pacific,West,Northwest,-110,-110,480,-650,-106,-114,-114,-112,440,-670,-114,-110,-105,-115,455,-625,-115,-105,,,,,,,-105.0,-115.0,450.0,-625.0,-110.0,-110.0,-110.0,-110.0,425.0,-600.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-12-01 22:54:04,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.67,-111.67,-207.67,170.0,-111.0,-111.0,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,-110,-114,-215,170,-113,-113,-105,-115,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
