League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-12-02 16:24:54,2025-12-02 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-110.0,-110.75,-861.75,566.5,-111.38,-109.12,East,Atlantic,East,Southeast,-110,-110,-850,590,-112,-108,-110.0,-110.0,-1009.0,606.0,-110.0,-110.0,-110,-110,-850,575,-108,-112,-113,-113,-835,525,-114,-110,-107.0,-113.0,-800.0,561.0,-112.0,-108.0,-110.0,-110.0,-900.0,575.0,-115.0,-105.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0,-110.0,-110.0,-850.0,550.0,-110.0,-110.0
NBA,2025-12-02 16:24:54,2025-12-02 19:40,Toronto Raptors,Portland Trail Blazers,No,2113.9,Yes,-83.75,-112.0,-214.62,176.88,-111.62,-109.12,East,Atlantic,West,Northwest,-108,-112,-220,184,-114,-106,-110.0,-110.0,-219.0,174.0,-110.0,-110.0,100,-120,-218,180,-110,-110,-109,-117,-220,170,-114,-112,-113.0,-107.0,-205.0,177.0,-110.0,-110.0,-105.0,-115.0,-220.0,180.0,-115.0,-105.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0,-115.0,-105.0,-210.0,175.0,-110.0,-110.0
NBA,2025-12-02 16:24:54,2025-12-02 20:10,Boston Celtics,New York Knicks,Yes,188.4,Yes,-85.75,-84.88,-109.43,-110.57,-109.5,-111.25,East,Atlantic,East,Atlantic,-114,-106,-108,-108,-110,-110,-110.0,-110.0,-109.0,-112.0,-110.0,-110.0,-120,100,-108,-112,-112,-108,-110,-115,-114,-109,-112,-114,-112.0,-108.0,-107.0,-113.0,-107.0,-113.0,100.0,-120.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0
NBA,2025-12-02 16:24:54,2025-12-02 20:10,San Antonio Spurs,Memphis Grizzlies,Yes,628.7,Yes,-110.62,-110.12,-207.0,171.5,-110.38,-110.25,West,Southwest,West,Southwest,-112,-108,-205,172,-108,-112,-110.0,-110.0,-214.0,170.0,-110.0,-110.0,-108,-112,-205,170,-105,-115,-117,-109,-215,170,-112,-113,-108.0,-112.0,-202.0,175.0,-113.0,-107.0,-105.0,-115.0,-210.0,170.0,-115.0,-105.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0,-115.0,-105.0,-200.0,170.0,-110.0,-110.0
NBA,2025-12-02 16:24:54,2025-12-02 20:10,New Orleans Pelicans,Minnesota Timberwolves,No,1051.1,Yes,-110.25,-110.25,482.0,-682.62,-110.62,-110.12,West,Southwest,West,Northwest,-110,-110,520,-720,-106,-114,-110.0,-110.0,475.0,-721.0,-110.0,-110.0,-112,-108,490,-675,-110,-110,-110,-114,460,-670,-114,-112,-110.0,-110.0,476.0,-650.0,-115.0,-105.0,-110.0,-110.0,500.0,-700.0,-110.0,-110.0,-110.0,-110.0,475.0,-650.0,-110.0,-110.0,-110.0,-110.0,460.0,-675.0,-110.0,-110.0
NBA,2025-12-02 16:24:54,2025-12-02 23:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-110.5,-110.0,430.75,-595.38,-110.25,-110.5,West,Pacific,West,Northwest,-110,-110,440,-590,-110,-110,-110.0,-110.0,410.0,-588.0,-110.0,-110.0,-115,-105,440,-600,-110,-110,-114,-110,425,-625,-112,-114,-105.0,-115.0,431.0,-575.0,-110.0,-110.0,-110.0,-110.0,450.0,-625.0,-110.0,-110.0,-110.0,-110.0,440.0,-575.0,-110.0,-110.0,-110.0,-110.0,410.0,-585.0,-110.0,-110.0
NBA,2025-12-02 16:24:54,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.67,-111.67,-210.0,172.0,-111.0,-111.0,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,-105,-115,-205,170,-110,-110,-110,-114,-215,170,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 16:24:54,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,114.0,-136.33,-111.33,-110.67,East,Atlantic,East,Atlantic,-110,-110,120,-142,-110,-110,,,,,,,-115,-105,110,-130,-110,-110,-113,-113,112,-137,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 16:24:54,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-111.0,-111.0,-966.67,621.67,-112.67,-109.33,West,Northwest,West,Pacific,-110,-110,-950,640,-110,-110,,,,,,,-110,-110,-950,625,-115,-105,-113,-113,-1000,600,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 16:24:54,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-111.0,-111.0,-180.67,149.0,-111.0,-111.0,West,Pacific,West,Southwest,-110,-110,-180,152,-110,-110,,,,,,,-110,-110,-180,150,-110,-110,-113,-113,-182,145,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,
