League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-02 20:57:03,2025-12-02 19:11,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-123.0,-77.17,,,-83.0,-116.0,East,Atlantic,East,Southeast,-162,122,,,-128,-104,-111.0,-118.0,,,-125.0,-105.0,-120,-110,,,-120,-110,-120.0,-122.0,,,-115.0,-127.0,-105.0,-125.0,,,-115.0,-115.0,-120.0,-110.0,,,105.0,-135.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-02 19:42,Toronto Raptors,Portland Trail Blazers,No,2113.9,Yes,-112.33,-117.83,-407.5,280.83,-114.5,-115.83,East,Atlantic,West,Northwest,-114,-114,-390.0,280.0,-108,-122,-105.0,-118.0,-400.0,270.0,-111.0,-111.0,-110,-120,-395.0,280.0,-110,-120,-117.0,-125.0,-435.0,280.0,-120.0,-122.0,-118.0,-110.0,-425.0,300.0,-118.0,-110.0,-110.0,-120.0,-400.0,275.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-02 20:10,New Orleans Pelicans,Minnesota Timberwolves,No,1051.1,Yes,-114.5,-116.33,307.17,-447.5,-117.5,-80.0,West,Southwest,West,Northwest,-104,-128,310.0,-440.0,-132,100,-118.0,-105.0,285.0,-400.0,-105.0,-118.0,-110,-120,325.0,-475.0,-120,-110,-125.0,-117.0,240.0,-345.0,-120.0,-122.0,-110.0,-118.0,333.0,-475.0,-118.0,-110.0,-120.0,-110.0,350.0,-550.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-02 20:11,San Antonio Spurs,Memphis Grizzlies,Yes,628.7,Yes,-117.33,-114.33,-150.5,115.33,-116.5,-114.17,West,Southwest,West,Southwest,-125,-106,-142.0,112.0,-125,-106,-111.0,-118.0,-200.0,150.0,-118.0,-105.0,-110,-120,-140.0,110.0,-110,-120,-120.0,-122.0,-141.0,105.0,-118.0,-124.0,-118.0,-110.0,-135.0,105.0,-118.0,-110.0,-120.0,-110.0,-145.0,110.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-02 20:13,Boston Celtics,New York Knicks,Yes,188.4,Yes,-118.0,-112.67,146.17,-196.67,-115.67,-115.83,East,Atlantic,East,Atlantic,-130,-102,122.0,-156.0,-118,-112,-105.0,-118.0,230.0,-333.0,-118.0,-111.0,-120,-110,130.0,-166.0,-110,-120,-120.0,-121.0,110.0,-150.0,-120.0,-122.0,-118.0,-110.0,120.0,-155.0,-118.0,-110.0,-115.0,-115.0,165.0,-220.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-02 23:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-109.22,-110.33,433.33,-597.22,-110.0,-110.0,West,Pacific,West,Northwest,-108,-112,430.0,-590.0,-118,-104,-110.0,-110.0,419.0,-588.0,-110.0,-110.0,-110,-110,440.0,-600.0,-105,-115,-109.0,-115.0,440.0,-670.0,-110.0,-114.0,-110.0,-110.0,450.0,-625.0,-105.0,-115.0,-110.0,-110.0,410.0,-585.0,-115.0,-105.0,-106.0,-106.0,440.0,-567.0,-107.0,-107.0,-110.0,-110.0,431.0,-575.0,-110.0,-110.0,-110.0,-110.0,440.0,-575.0,-110.0,-110.0
NBA,2025-12-02 20:57:03,2025-12-03 19:10,Cleveland Cavaliers,Portland Trail Blazers,No,2055.0,Yes,-112.0,-109.2,-420.4,319.8,-111.4,-109.8,East,Central,West,Northwest,-108,-112,-405.0,315.0,-114,-106,-110.0,-110.0,-417.0,314.0,-110.0,-110.0,-115,-105,-410.0,320.0,-110,-110,-112.0,-114.0,-420.0,310.0,-113.0,-113.0,-115.0,-105.0,-450.0,340.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-03 19:10,Indiana Pacers,Denver Nuggets,No,1002.0,Yes,-111.2,-110.0,239.8,-301.6,-110.5,-111.0,East,Central,West,Northwest,-114,-106,240.0,-295.0,-110,-110,-110.0,-110.0,239.0,-303.0,,,-110,-110,245.0,-305.0,-105,-115,-112.0,-114.0,235.0,-305.0,-112.0,-114.0,-110.0,-110.0,240.0,-300.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-03 19:10,Orlando Magic,San Antonio Spurs,No,1033.6,Yes,-111.0,-110.2,-251.8,202.8,-109.8,-111.4,East,Southeast,West,Southwest,-112,-108,-245.0,200.0,-106,-114,-110.0,-110.0,-256.0,204.0,-110.0,-110.0,-110,-110,-258.0,210.0,-110,-110,-113.0,-113.0,-250.0,200.0,-113.0,-113.0,-110.0,-110.0,-250.0,200.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-03 19:40,Atlanta Hawks,Los Angeles Clippers,No,1943.0,Yes,-108.4,-112.8,-180.8,147.2,-110.0,-111.2,East,Southeast,West,Pacific,-108,-112,-180.0,152.0,-108,-112,-110.0,-110.0,-179.0,144.0,-110.0,-110.0,-105,-115,-175.0,145.0,-110,-110,-114.0,-112.0,-190.0,150.0,-112.0,-114.0,-105.0,-115.0,-180.0,145.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-03 19:40,New York Knicks,Charlotte Hornets,No,533.4,Yes,-112.6,-108.4,-440.2,331.2,-110.6,-110.6,East,Atlantic,East,Southeast,-108,-112,-450.0,350.0,-110,-110,-110.0,-110.0,-476.0,341.0,-110.0,-110.0,-115,-105,-425.0,330.0,-110,-110,-115.0,-110.0,-400.0,295.0,-113.0,-113.0,-115.0,-105.0,-450.0,340.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 20:57:03,2025-12-03 20:10,Chicago Bulls,Brooklyn Nets,No,717.1,Yes,-111.14,-108.57,-351.4,272.6,-110.0,-110.0,East,Central,East,Atlantic,-114,-106,-330.0,265.0,-110,-110,-110.0,-110.0,-357.0,273.0,-110.0,-110.0,-115,-105,-360.0,285.0,-110,-110,-113.0,-113.0,-335.0,250.0,-113.0,-113.0,-110.0,-110.0,-375.0,290.0,-110.0,-110.0,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-12-02 20:57:03,2025-12-03 20:10,Houston Rockets,Sacramento Kings,No,1609.3,Yes,-111.0,-107.67,-1300.0,778.0,-110.17,-108.83,West,Southwest,West,Pacific,-110,-110,-1350.0,810.0,-114,-106,-110.0,-110.0,-1250.0,727.0,-110.0,-110.0,-110,-110,-1200.0,750.0,-110,-110,,,,,,,-110.0,-110.0,-1400.0,825.0,-110.0,-110.0,,,,,,,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
NBA,2025-12-02 20:57:03,2025-12-03 20:11,Milwaukee Bucks,Detroit Pistons,Yes,252.3,Yes,-108.43,-110.71,128.0,-153.0,-109.57,-109.57,East,Central,East,Central,-118,-104,126.0,-148.0,-110,-110,-110.0,-110.0,125.0,-154.0,-110.0,-110.0,-105,-115,124.0,-148.0,-110,-110,,,,,,,-110.0,-110.0,125.0,-150.0,-110.0,-110.0,-110.0,-110.0,140.0,-165.0,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,
