League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-03 01:38:35,2025-12-02 23:13,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,148.5,-480.5,1050.0,-3333.0,-123.0,-111.0,West,Pacific,West,Northwest,-158,118,,,-128,-104,110,-140,,,,,775.0,-2000.0,,,,,-133.0,100.0,1050.0,-3333.0,-118.0,-118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-03 01:38:35,2025-12-03 19:10,Cleveland Cavaliers,Portland Trail Blazers,No,2055.0,Yes,-109.56,-110.11,-477.11,362.11,-109.78,-110.22,East,Central,West,Northwest,-112,-108,-420.0,340.0,-108,-112,-108,-112,-485.0,370.0,-110.0,-110.0,-110.0,-110.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-476.0,351.0,-110.0,-110.0,-106.0,-106.0,-493.0,390.0,-107.0,-107.0,-110.0,-110.0,-500.0,383.0,-110.0,-110.0,-110.0,-115.0,-500.0,350.0,-113.0,-113.0,-110.0,-110.0,-460.0,340.0,-110.0,-110.0,-110.0,-110.0,-460.0,360.0,-110.0,-110.0
NBA,2025-12-03 01:38:35,2025-12-03 19:10,Indiana Pacers,Denver Nuggets,No,1002.0,Yes,-111.33,-108.44,244.33,-302.78,-109.44,-110.56,East,Central,West,Northwest,-114,-106,245.0,-300.0,-106,-114,-115,-105,245.0,-305.0,-110.0,-110.0,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-110.0,-110.0,240.0,-313.0,-110.0,-110.0,-106.0,-106.0,252.0,-302.0,-107.0,-107.0,-110.0,-110.0,249.0,-305.0,-110.0,-110.0,-112.0,-114.0,235.0,-305.0,-112.0,-114.0,-115.0,-105.0,240.0,-290.0,-110.0,-110.0,-110.0,-110.0,253.0,-305.0,-110.0,-110.0
NBA,2025-12-03 01:38:35,2025-12-03 19:10,Orlando Magic,San Antonio Spurs,No,1033.6,Yes,-110.33,-109.44,-312.78,251.22,-110.44,-109.56,East,Southeast,West,Southwest,-108,-112,-300.0,245.0,-110,-110,-102,-118,-310.0,250.0,-110.0,-110.0,-105.0,-115.0,-325.0,260.0,-115.0,-105.0,-110.0,-110.0,-323.0,247.0,-110.0,-110.0,-111.0,-101.0,-302.0,252.0,-107.0,-107.0,-115.0,-105.0,-305.0,249.0,-110.0,-110.0,-112.0,-114.0,-335.0,250.0,-112.0,-114.0,-115.0,-105.0,-310.0,255.0,-110.0,-110.0,-115.0,-105.0,-305.0,253.0,-110.0,-110.0
NBA,2025-12-03 01:38:35,2025-12-03 19:40,Atlanta Hawks,Los Angeles Clippers,No,1943.0,Yes,-109.78,-109.78,-159.0,134.56,-109.44,-110.56,East,Southeast,West,Pacific,-108,-112,-158.0,134.0,-106,-114,-110,-110,-162.0,136.0,-108.0,-112.0,-105.0,-115.0,-160.0,135.0,-115.0,-105.0,-110.0,-110.0,-152.0,124.0,-110.0,-110.0,-111.0,-101.0,-160.0,141.0,-107.0,-107.0,-115.0,-105.0,-160.0,140.0,-110.0,-110.0,-109.0,-115.0,-159.0,128.0,-114.0,-112.0,-105.0,-115.0,-160.0,135.0,-105.0,-115.0,-115.0,-105.0,-160.0,138.0,-110.0,-110.0
NBA,2025-12-03 01:38:35,2025-12-03 19:40,New York Knicks,Charlotte Hornets,No,533.4,Yes,-109.22,-110.56,-410.22,318.22,-110.56,-87.22,East,Atlantic,East,Southeast,-112,-108,-375.0,300.0,-110,-110,-108,-112,-395.0,310.0,-120.0,100.0,-110.0,-110.0,-425.0,325.0,-105.0,-115.0,-110.0,-110.0,-417.0,316.0,-110.0,-110.0,-101.0,-111.0,-405.0,329.0,-107.0,-107.0,-105.0,-115.0,-410.0,324.0,-110.0,-110.0,-117.0,-109.0,-420.0,310.0,-113.0,-113.0,-110.0,-110.0,-435.0,325.0,-110.0,-110.0,-110.0,-110.0,-410.0,325.0,-110.0,-110.0
NBA,2025-12-03 01:38:35,2025-12-03 20:10,Chicago Bulls,Brooklyn Nets,No,717.1,Yes,-109.56,-110.11,-328.56,261.56,-110.0,-109.89,East,Central,East,Atlantic,-112,-108,-330.0,265.0,-110,-110,-108,-112,-345.0,275.0,-110.0,-110.0,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-345.0,261.0,-110.0,-110.0,-106.0,-106.0,-307.0,256.0,-107.0,-107.0,-110.0,-110.0,-310.0,252.0,-110.0,-110.0,-115.0,-110.0,-345.0,260.0,-113.0,-112.0,-110.0,-110.0,-340.0,270.0,-110.0,-110.0,-110.0,-110.0,-310.0,255.0,-110.0,-110.0
NBA,2025-12-03 01:38:35,2025-12-03 20:10,Houston Rockets,Sacramento Kings,No,1609.3,Yes,-109.22,-110.44,-1227.5,727.33,-110.0,-110.0,West,Southwest,West,Pacific,-114,-106,-1200.0,750.0,-114,-106,-110,-110,-1200.0,750.0,-105.0,-115.0,-110.0,-110.0,-1400.0,800.0,-110.0,-110.0,-110.0,-110.0,-1250.0,714.0,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-113.0,-112.0,-1115.0,650.0,-114.0,-112.0,-110.0,-110.0,-1200.0,700.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-03 01:38:35,2025-12-03 20:11,Milwaukee Bucks,Detroit Pistons,Yes,252.3,Yes,-109.78,-110.22,133.22,-156.89,-110.44,-109.44,East,Central,East,Central,-118,-104,128.0,-152.0,-112,-108,-115,-105,140.0,-166.0,-108.0,-112.0,-115.0,-105.0,135.0,-160.0,-115.0,-105.0,-110.0,-110.0,124.0,-152.0,-110.0,-110.0,-101.0,-111.0,141.0,-160.0,-107.0,-107.0,-105.0,-115.0,140.0,-160.0,-110.0,-110.0,-109.0,-117.0,123.0,-152.0,-112.0,-113.0,-105.0,-115.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2025-12-03 01:38:35,2025-12-03 20:30,Dallas Mavericks,Miami Heat,No,1111.8,Yes,-109.0,-110.78,146.0,-174.44,-110.33,-109.67,West,Southwest,East,Southeast,-108,-112,150.0,-180.0,-110,-110,-110,-110,145.0,-175.0,-108.0,-112.0,-115.0,-105.0,145.0,-180.0,-115.0,-105.0,-110.0,-110.0,141.0,-175.0,-110.0,-110.0,-101.0,-111.0,150.0,-170.0,-107.0,-107.0,-105.0,-115.0,149.0,-170.0,-110.0,-110.0,-112.0,-114.0,143.0,-180.0,-113.0,-113.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0
