League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
NBA,2025-12-03 20:58:15,2025-12-03 19:10,Orlando Magic,San Antonio Spurs,No,1033.6,Yes,-49.5,-82.83,391.67,-631.67,-77.0,-123.33,East,Southeast,West,Southwest,100,-132,520.0,-850.0,112,-148,-125.0,-105.0,150.0,-200.0,-111.0,-125.0,-130.0,100.0,370.0,-560.0,-105.0,-125.0,-122.0,-120.0,335.0,-530.0,-120.0,-122.0,100.0,-130.0,475.0,-750.0,-118.0,-110.0,-120.0,-110.0,500.0,-900.0,-120.0,-110.0,,,,,,,,,,,,
NBA,2025-12-03 20:58:15,2025-12-03 19:11,Cleveland Cavaliers,Portland Trail Blazers,No,2055.0,Yes,-120.83,-78.83,345.83,-532.5,-111.83,-119.5,East,Central,West,Northwest,-148,112,320.0,-460.0,-114,-114,-125.0,-105.0,315.0,-455.0,-105.0,-125.0,-110.0,-120.0,390.0,-600.0,-110.0,-120.0,-117.0,-125.0,370.0,-670.0,-122.0,-120.0,-105.0,-125.0,360.0,-525.0,-110.0,-118.0,-120.0,-110.0,320.0,-485.0,-110.0,-120.0,,,,,,,,,,,,
NBA,2025-12-03 20:58:15,2025-12-03 19:11,Indiana Pacers,Denver Nuggets,No,1002.0,Yes,-117.0,-115.0,3300.0,-10000.0,-80.17,-117.83,East,Central,West,Northwest,-125,-106,,,100,-132,-111.0,-118.0,,,-111.0,-118.0,-115.0,-115.0,,,-120.0,-110.0,-121.0,-121.0,,,-120.0,-122.0,-115.0,-115.0,3300.0,-10000.0,-110.0,-115.0,-115.0,-115.0,,,-120.0,-110.0,,,,,,,,,,,,
NBA,2025-12-03 20:58:15,2025-12-03 19:41,Atlanta Hawks,Los Angeles Clippers,No,1943.0,Yes,-77.67,-120.5,774.17,-1838.83,-84.5,-80.33,East,Southeast,West,Pacific,-106,-125,870.0,-2200.0,-138,104,105.0,-133.0,500.0,-833.0,100.0,-125.0,-115.0,-115.0,800.0,-1600.0,-115.0,-115.0,-122.0,-120.0,750.0,-2500.0,-121.0,-121.0,-118.0,-110.0,725.0,-1400.0,-118.0,-110.0,-110.0,-120.0,1000.0,-2500.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-12-03 20:58:15,2025-12-03 19:44,New York Knicks,Charlotte Hornets,No,533.4,Yes,-73.5,-125.0,-633.33,397.5,-116.33,-114.83,East,Atlantic,East,Southeast,110,-146,-620.0,400.0,-114,-114,-105.0,-118.0,-625.0,400.0,-111.0,-118.0,-110.0,-120.0,-660.0,420.0,-120.0,-110.0,-121.0,-121.0,-670.0,390.0,-120.0,-122.0,-105.0,-125.0,-625.0,400.0,-118.0,-110.0,-110.0,-120.0,-600.0,375.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-12-03 20:58:15,2025-12-03 20:11,Chicago Bulls,Brooklyn Nets,No,717.1,Yes,-76.33,-121.5,86.83,-156.17,-119.17,-112.0,East,Central,East,Atlantic,104,-138,106.0,-136.0,-128,-104,-105.0,-118.0,-118.0,-105.0,-118.0,-105.0,-120.0,-110.0,130.0,-166.0,-120.0,-110.0,-117.0,-125.0,138.0,-190.0,-124.0,-118.0,-110.0,-118.0,130.0,-165.0,-115.0,-115.0,-110.0,-120.0,135.0,-175.0,-110.0,-120.0,,,,,,,,,,,,
NBA,2025-12-03 20:58:15,2025-12-03 20:11,Milwaukee Bucks,Detroit Pistons,Yes,252.3,Yes,-113.5,-116.67,579.17,-1060.83,-120.33,-78.5,East,Central,East,Central,-110,-122,560.0,-1000.0,-132,100,-111.0,-111.0,575.0,-1000.0,-118.0,-111.0,-110.0,-120.0,650.0,-1150.0,-115.0,-115.0,-120.0,-122.0,540.0,-1115.0,-122.0,-120.0,-115.0,-110.0,725.0,-1400.0,-115.0,-115.0,-115.0,-115.0,425.0,-700.0,-120.0,-110.0,,,,,,,,,,,,
NBA,2025-12-03 20:58:15,2025-12-03 20:11,Houston Rockets,Sacramento Kings,No,1609.3,Yes,-113.67,-117.17,-1048.33,569.17,-116.33,-114.83,West,Southwest,West,Pacific,-102,-130,-1600.0,750.0,-114,-114,-118.0,-105.0,-1000.0,575.0,-111.0,-118.0,-115.0,-115.0,-720.0,450.0,-120.0,-110.0,-122.0,-120.0,-770.0,440.0,-120.0,-122.0,-110.0,-118.0,-1200.0,650.0,-118.0,-110.0,-115.0,-115.0,-1000.0,550.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-12-03 20:58:15,2025-12-03 20:41,Dallas Mavericks,Miami Heat,No,1111.8,Yes,-112.5,-118.83,184.33,-245.33,-120.33,-77.17,West,Southwest,East,Southeast,-104,-128,196.0,-260.0,-114,-114,-111.0,-118.0,175.0,-222.0,-133.0,105.0,-110.0,-120.0,185.0,-245.0,-115.0,-115.0,-120.0,-122.0,190.0,-265.0,-120.0,-122.0,-110.0,-115.0,170.0,-220.0,-125.0,-102.0,-120.0,-110.0,190.0,-260.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-12-03 20:58:15,2025-12-04 19:10,Washington Wizards,Boston Celtics,No,394.0,Yes,-108.0,-112.0,302.5,-382.5,-108.0,-112.0,East,Southeast,East,Atlantic,-106,-114,310.0,-390.0,-106,-114,,,,,,,-110.0,-110.0,295.0,-375.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
