League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
NBA,2025-12-03 22:54:22,2025-12-03 20:41,Dallas Mavericks,Miami Heat,No,1111.8,Yes,-378.83,70.67,-1983.33,496.67,-43.33,-122.0,West,Southwest,East,Southeast,230,-315,,,,,-110.0,-120.0,-450.0,300.0,-115.0,-115.0,-136,102,,,110,-146,-133.0,100.0,-500.0,340.0,-125.0,-105.0,-2000,775,,,,,-124,-118,-5000,850,,,,,,,,,,,,,,
NBA,2025-12-03 22:54:22,2025-12-04 19:10,Washington Wizards,Boston Celtics,No,394.0,Yes,-59.25,-112.25,300.0,-383.75,-109.0,-112.0,East,Southeast,East,Atlantic,100,-120,310.0,-395.0,-110.0,-110.0,,,,,,,-106,-114,310.0,-390.0,-106,-114,,,,,,,-118,-102,300.0,-375.0,-110.0,-110.0,-113,-113,280,-375,-110.0,-114.0,,,,,,,,,,,,
NBA,2025-12-03 22:54:22,2025-12-04 19:10,Philadelphia 76ers,Golden State Warriors,No,2521.8,Yes,-114.75,-106.75,-169.25,139.5,-110.75,-110.75,East,Atlantic,West,Pacific,-115,-105,-166.0,140.0,-105.0,-115.0,,,,,,,-114,-106,-164.0,138.0,-110,-110,,,,,,,-118,-102,-170.0,140.0,-115.0,-105.0,-112,-114,-177,140,-113.0,-113.0,,,,,,,,,,,,
NBA,2025-12-03 22:54:22,2025-12-04 19:40,Brooklyn Nets,Utah Jazz,No,1975.1,Yes,-105.67,-114.0,144.5,-174.5,-110.0,-110.0,East,Atlantic,West,Northwest,-105,-115,150.0,-180.0,-115.0,-105.0,,,,,,,-106,-114,148.0,-176.0,-110,-110,,,,,,,-105,-115,145.0,-175.0,-105.0,-115.0,-112,-114,135,-167,-113.0,-113.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-12-03 22:54:22,2025-12-04 19:40,Toronto Raptors,Los Angeles Lakers,No,2177.4,Yes,-110.0,-111.5,-117.0,-53.5,-110.0,-111.5,East,Atlantic,West,Pacific,-108,-112,-118.0,-102.0,-112.0,-108.0,,,,,,,-114,-106,-120.0,102.0,-106,-114,,,,,,,-110,-110,-118.0,-102.0,-110.0,-110.0,-108,-118,-112,-112,-112.0,-114.0,,,,,,,,,,,,
NBA,2025-12-03 22:54:22,2025-12-04 20:10,New Orleans Pelicans,Minnesota Timberwolves,No,1051.1,Yes,-83.5,-111.25,409.0,-572.17,-108.5,-111.38,West,Southwest,West,Northwest,100,-120,425.0,-575.0,-105.0,-115.0,-105.0,-115.0,390.0,-550.0,-110.0,-110.0,-108,-112,420.0,-560.0,-108,-112,-110.0,-110.0,404.0,-588.0,-110.0,-110.0,-105,-115,425.0,-600.0,-105.0,-115.0,-114,-112,390,-560,-113.0,-112.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-12-03 22:54:22,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.75,-111.25,-210.0,172.75,-110.75,-110.75,East,Southeast,East,Southeast,-105,-115,-205.0,170.0,-110.0,-110.0,,,,,,,-114,-106,-210.0,176.0,-110,-110,,,,,,,-110,-110,-210.0,175.0,-110.0,-110.0,-110,-114,-215,170,-113.0,-113.0,,,,,,,,,,,,
NBA,2025-12-03 22:54:22,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.0,-109.5,115.5,-138.5,-111.0,-110.5,East,Atlantic,East,Atlantic,-115,-105,110.0,-130.0,-110.0,-110.0,,,,,,,-110,-110,120.0,-142.0,-110,-110,,,,,,,-110,-110,120.0,-145.0,-110.0,-110.0,-113,-113,112,-137,-114.0,-112.0,,,,,,,,,,,,
NBA,2025-12-03 22:54:22,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.0,-109.5,-1150.0,712.5,-110.75,-110.75,West,Northwest,West,Pacific,-110,-110,-1200.0,750.0,-110.0,-110.0,,,,,,,-110,-110,-1200.0,750.0,-110,-110,,,,,,,-115,-105,-1200.0,750.0,-110.0,-110.0,-113,-113,-1000,600,-113.0,-113.0,,,,,,,,,,,,
NBA,2025-12-03 22:54:22,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-110.75,-110.75,-172.0,142.25,-112.0,-109.5,West,Pacific,West,Southwest,-110,-110,-162.0,136.0,-115.0,-105.0,,,,,,,-110,-110,-164.0,138.0,-110,-110,,,,,,,-110,-110,-180.0,150.0,-110.0,-110.0,-113,-113,-182,145,-113.0,-113.0,,,,,,,,,,,,
