League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2025-12-05 10:27:23,2025-12-05 19:10,Boston Celtics,Los Angeles Lakers,No,2597.9,Yes,-109.67,-110.0,-249.22,203.33,-110.0,-109.89,East,Atlantic,West,Pacific,-110,-110,-245,200,-108,-112,-110.0,-110.0,-250.0,198.0,-110.0,-110.0,-110,-110,-250,205,-110,-110,-115,-110,-265,205,-115,-110,-108.0,-112.0,-250.0,207.0,-110.0,-110.0,-104.0,-108.0,-248.0,210.0,-107.0,-107.0,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,-105.0,-115.0,-240.0,200.0,-110.0,-110.0,-115.0,-105.0,-250.0,200.0,-110.0,-110.0
NBA,2025-12-05 10:27:23,2025-12-05 19:10,Orlando Magic,Miami Heat,Yes,203.7,Yes,-109.89,-109.89,-210.0,174.22,-109.22,-110.78,East,Southeast,East,Southeast,-110,-110,-205,172,-110,-110,-110.0,-110.0,-213.0,170.0,-110.0,-110.0,-110,-110,-198,164,-108,-112,-113,-113,-225,175,-113,-113,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-106.0,-106.0,-209.0,182.0,-107.0,-107.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-110.0,-110.0,-210.0,175.0,-105.0,-115.0,-110.0,-110.0,-210.0,170.0,-110.0,-110.0
NBA,2025-12-05 10:27:23,2025-12-05 19:40,Atlanta Hawks,Denver Nuggets,No,1212.6,Yes,-112.0,-107.78,198.0,-240.67,-108.33,-111.78,East,Southeast,West,Northwest,-114,-106,194,-235,-110,-110,-110.0,-110.0,195.0,-244.0,-110.0,-110.0,-115,-105,200,-245,-110,-110,-113,-113,190,-245,-113,-113,-110.0,-110.0,195.0,-235.0,-105.0,-115.0,-106.0,-106.0,198.0,-232.0,-102.0,-113.0,-110.0,-110.0,210.0,-250.0,-110.0,-110.0,-115.0,-105.0,205.0,-245.0,-110.0,-110.0,-115.0,-105.0,195.0,-235.0,-105.0,-115.0
NBA,2025-12-05 10:27:23,2025-12-05 19:40,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-108.11,-111.67,-291.67,235.22,-109.11,-110.89,East,Atlantic,East,Southeast,-106,-114,-270,220,-110,-110,-110.0,-110.0,-303.0,236.0,-110.0,-110.0,-108,-112,-290,235,-105,-115,-113,-113,-305,230,-115,-110,-105.0,-115.0,-295.0,241.0,-105.0,-115.0,-101.0,-111.0,-292.0,245.0,-102.0,-113.0,-110.0,-110.0,-295.0,245.0,-110.0,-110.0,-115.0,-105.0,-275.0,225.0,-110.0,-110.0,-105.0,-115.0,-300.0,240.0,-115.0,-105.0
NBA,2025-12-05 10:27:23,2025-12-05 19:40,Cleveland Cavaliers,San Antonio Spurs,No,1254.7,Yes,-108.56,-111.22,-174.67,146.56,-109.22,-110.67,East,Central,West,Southwest,-110,-110,-180,152,-110,-110,-110.0,-110.0,-175.0,142.0,-110.0,-110.0,-108,-112,-175,145,-108,-112,-113,-113,-182,145,-113,-112,-105.0,-115.0,-170.0,149.0,-110.0,-110.0,-101.0,-111.0,-170.0,150.0,-107.0,-107.0,-110.0,-110.0,-170.0,146.0,-110.0,-110.0,-115.0,-105.0,-170.0,145.0,-105.0,-115.0,-105.0,-115.0,-180.0,145.0,-110.0,-110.0
NBA,2025-12-05 10:27:23,2025-12-05 19:40,Detroit Pistons,Portland Trail Blazers,No,1968.3,Yes,-108.89,-110.89,-298.33,241.11,-110.67,-109.33,East,Central,West,Northwest,-108,-112,-295,240,-110,-110,-110.0,-110.0,-303.0,237.0,-110.0,-110.0,-112,-108,-305,245,-112,-108,-109,-117,-295,225,-112,-114,-110.0,-110.0,-300.0,245.0,-110.0,-110.0,-106.0,-106.0,-297.0,248.0,-107.0,-107.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-105.0,-115.0,-290.0,240.0,-115.0,-105.0,-110.0,-110.0,-300.0,240.0,-110.0,-110.0
NBA,2025-12-05 10:27:23,2025-12-05 19:40,New York Knicks,Utah Jazz,No,1973.2,Yes,-110.11,-109.67,-1144.78,709.33,-110.22,-109.67,East,Atlantic,West,Northwest,-106,-114,-1200,750,-106,-114,-110.0,-110.0,-1111.0,667.0,-110.0,-110.0,-110,-110,-1100,700,-112,-108,-114,-112,-1115,650,-112,-113,-110.0,-110.0,-1100.0,709.0,-110.0,-110.0,-106.0,-106.0,-1077.0,733.0,-107.0,-107.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,-115.0,-105.0,-1100.0,650.0,-110.0,-110.0,-110.0,-110.0,-1400.0,825.0,-115.0,-105.0
NBA,2025-12-05 10:27:23,2025-12-05 20:10,Chicago Bulls,Indiana Pacers,Yes,166.3,Yes,-109.56,-110.22,-188.0,158.11,-109.33,-110.56,East,Central,East,Central,-110,-110,-184,154,-110,-110,-110.0,-110.0,-198.0,160.0,-110.0,-110.0,-108,-112,-198,164,-112,-108,-112,-114,-182,148,-110,-114,-110.0,-110.0,-185.0,161.0,-105.0,-115.0,-106.0,-106.0,-185.0,162.0,-102.0,-113.0,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-115.0,-105.0
NBA,2025-12-05 10:27:23,2025-12-05 20:10,Houston Rockets,Phoenix Suns,No,1016.4,Yes,-111.44,-108.22,-546.56,405.0,-110.11,-109.78,West,Southwest,West,Pacific,-112,-108,-520,400,-112,-108,-110.0,-110.0,-561.0,400.0,-110.0,-110.0,-118,-102,-550,410,-105,-115,-112,-113,-590,410,-112,-113,-110.0,-110.0,-535.0,406.0,-110.0,-110.0,-106.0,-106.0,-528.0,414.0,-107.0,-107.0,-110.0,-110.0,-535.0,415.0,-110.0,-110.0,-110.0,-110.0,-550.0,390.0,-110.0,-110.0,-115.0,-105.0,-550.0,400.0,-115.0,-105.0
NBA,2025-12-05 10:27:23,2025-12-05 20:10,Memphis Grizzlies,Los Angeles Clippers,No,1610.3,Yes,-108.78,-111.0,106.33,-127.22,-110.67,-109.56,West,Southwest,West,Pacific,-104,-118,114,-134,-118,-104,-110.0,-110.0,103.0,-127.0,-110.0,-110.0,-110,-110,105,-125,-112,-108,-109,-115,108,-136,-114,-112,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-106.0,-106.0,107.0,-123.0,-107.0,-107.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-105.0,-115.0
