League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-05 20:52:05,2025-12-05 19:12,Orlando Magic,Miami Heat,Yes,203.7,Yes,-127.67,-73.33,-613.33,386.67,-78.0,-121.5,East,Southeast,East,Southeast,-146,110,-800,480,110,-146,-125.0,-111.0,-500.0,340.0,-118.0,-111.0,-120.0,-110.0,-560.0,370.0,-125.0,-105.0,-130.0,-102.0,-700.0,450.0,-105.0,-125.0,-120.0,-110.0,-450.0,300.0,-110.0,-120.0,-125.0,-117.0,-670.0,380.0,-120.0,-122.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 20:52:05,2025-12-05 19:13,Boston Celtics,Los Angeles Lakers,No,2597.9,Yes,-76.5,-122.5,-12833.33,1816.67,-80.67,-119.67,East,Atlantic,West,Pacific,108,-144,-20000,2000,108,-144,-105.0,-125.0,,,-125.0,-111.0,-120.0,-110.0,-8500.0,2000.0,-110.0,-120.0,-110.0,-118.0,-10000.0,1450.0,-118.0,-110.0,-110.0,-120.0,,,-115.0,-115.0,-122.0,-118.0,,,-124.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 20:52:05,2025-12-05 19:40,Detroit Pistons,Portland Trail Blazers,No,1968.3,Yes,-116.5,-81.33,-686.33,430.0,-118.0,-80.17,East,Central,West,Northwest,-120,-110,-650,420,-130,-102,-125.0,100.0,-833.0,525.0,-125.0,100.0,-115.0,-115.0,-720.0,450.0,-115.0,-115.0,-105.0,-125.0,-625.0,400.0,-105.0,-125.0,-110.0,-120.0,-700.0,425.0,-115.0,-115.0,-124.0,-118.0,-590.0,360.0,-118.0,-124.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 20:52:05,2025-12-05 19:41,Atlanta Hawks,Denver Nuggets,No,1212.6,Yes,-75.67,-124.17,-865.5,494.17,-116.33,-114.33,East,Southeast,West,Northwest,114,-152,-900,520,-114,-114,-118.0,-111.0,-833.0,500.0,-118.0,-111.0,-105.0,-125.0,-850.0,520.0,-120.0,-110.0,-105.0,-125.0,-1000.0,550.0,-115.0,-110.0,-115.0,-115.0,-700.0,425.0,-110.0,-120.0,-125.0,-117.0,-910.0,450.0,-121.0,-121.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 20:52:05,2025-12-05 19:41,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-117.17,-113.67,141.5,-187.17,-115.5,-114.33,East,Atlantic,East,Southeast,-112,-118,154,-200,-118,-112,-118.0,-105.0,110.0,-143.0,-111.0,-111.0,-115.0,-115.0,150.0,-195.0,-110.0,-120.0,-125.0,-105.0,145.0,-190.0,-115.0,-110.0,-115.0,-115.0,150.0,-200.0,-115.0,-115.0,-118.0,-124.0,140.0,-195.0,-124.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 20:52:05,2025-12-05 19:41,Cleveland Cavaliers,San Antonio Spurs,No,1254.7,Yes,-113.67,-117.67,129.83,-171.33,-120.5,-110.33,East,Central,West,Southwest,-104,-128,154,-200,-130,-102,-118.0,-111.0,125.0,-167.0,-118.0,-105.0,-105.0,-125.0,120.0,-154.0,-120.0,-110.0,-115.0,-110.0,125.0,-160.0,-118.0,-110.0,-115.0,-115.0,130.0,-170.0,-115.0,-115.0,-125.0,-117.0,125.0,-177.0,-122.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 20:52:05,2025-12-05 19:42,New York Knicks,Utah Jazz,No,1973.2,Yes,-76.17,-121.5,-25000.0,2666.67,-115.33,-115.67,East,Atlantic,West,Northwest,108,-144,-50000,3000,-118,-112,-105.0,-118.0,,,-118.0,-111.0,-110.0,-120.0,-15000.0,2500.0,-110.0,-120.0,-110.0,-115.0,-10000.0,2500.0,-115.0,-110.0,-120.0,-110.0,,,-110.0,-120.0,-120.0,-122.0,,,-121.0,-121.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 20:52:05,2025-12-05 20:10,Chicago Bulls,Indiana Pacers,Yes,166.3,Yes,-111.67,-119.83,-220.0,167.0,-118.5,-113.0,East,Central,East,Central,-106,-122,-240,182,-118,-112,-111.0,-118.0,-200.0,155.0,-118.0,-111.0,-110.0,-120.0,-220.0,170.0,-120.0,-110.0,-105.0,-125.0,-225.0,175.0,-118.0,-110.0,-120.0,-110.0,-220.0,165.0,-115.0,-115.0,-118.0,-124.0,-215.0,155.0,-122.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 20:52:05,2025-12-05 20:11,Houston Rockets,Phoenix Suns,No,1016.4,Yes,-116.83,-113.67,-140.83,108.83,-122.67,-76.0,West,Southwest,West,Pacific,-128,-104,-150,118,-148,112,-111.0,-111.0,-125.0,100.0,-118.0,-111.0,-120.0,-110.0,-130.0,100.0,-120.0,-110.0,-110.0,-118.0,-140.0,110.0,-115.0,-110.0,-115.0,-115.0,-150.0,115.0,-115.0,-115.0,-117.0,-124.0,-150.0,110.0,-120.0,-122.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 20:52:05,2025-12-05 20:11,Milwaukee Bucks,Philadelphia 76ers,No,695.4,Yes,-116.33,-114.83,687.5,-1447.33,-82.5,-83.33,East,Central,East,Atlantic,-114,-114,800,-1800,-132,100,-118.0,-111.0,750.0,-1667.0,110.0,-143.0,-115.0,-115.0,650.0,-1150.0,-120.0,-110.0,-118.0,-110.0,575.0,-1000.0,-118.0,-110.0,-115.0,-115.0,700.0,-1400.0,-115.0,-115.0,-118.0,-124.0,650.0,-1667.0,-120.0,-122.0,,,,,,,,,,,,,,,,,,
