League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
NBA,2025-12-05 22:44:03,2025-12-05 21:43,Oklahoma City Thunder,Dallas Mavericks,No,188.6,Yes,-114.83,-115.33,-3120.0,1000.0,-121.33,-77.83,West,Northwest,West,Southwest,-118,-112,-4000,1100,-144,108,-110.0,-120.0,-2500.0,1000.0,-120.0,-110.0,-118.0,-110.0,-5000.0,1100.0,-118.0,-110.0,-105.0,-118.0,-2000.0,800.0,-111.0,-118.0,-120.0,-110.0,-2100.0,1000.0,-115.0,-115.0,-118.0,-122.0,,,-120.0,-122.0,,,,,,,,,,,,
NBA,2025-12-05 22:44:03,2025-12-06 17:10,Brooklyn Nets,New Orleans Pelicans,No,1169.5,No,-110.71,-108.71,-127.0,104.6,-110.14,-109.57,East,Atlantic,West,Southwest,-114,-106,-130,110,-110,-110,,,,,,,-115.0,-105.0,-130.0,105.0,-110.0,-110.0,-110.0,-110.0,-123.0,101.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-110.0,-114.0,-127.0,102.0,-114.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-05 22:44:03,2025-12-06 19:10,Washington Wizards,Atlanta Hawks,Yes,542.8,Yes,-111.0,-112.0,250.0,-317.5,-112.0,-111.0,East,Southeast,East,Southeast,-110,-110,260,-320,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,-112.0,-114.0,240.0,-315.0,-114.0,-112.0,,,,,,,,,,,,
NBA,2025-12-05 22:44:03,2025-12-06 19:40,Cleveland Cavaliers,Golden State Warriors,No,2166.2,Yes,-106.0,-114.0,-340.0,275.0,-110.0,-110.0,East,Central,West,Pacific,-106,-114,-340,275,-110,-110,,,,,,,,,,,,,,,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 22:44:03,2025-12-06 19:40,Detroit Pistons,Milwaukee Bucks,Yes,252.3,Yes,-111.5,-111.0,-645.0,455.0,-111.5,-111.0,East,Central,East,Central,-110,-110,-620,460,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-112.0,-670.0,450.0,-113.0,-112.0,,,,,,,,,,,,
NBA,2025-12-05 22:44:03,2025-12-06 20:10,Minnesota Timberwolves,Los Angeles Clippers,No,1532.5,Yes,-110.0,-110.0,-500.0,385.0,-110.0,-110.0,West,Northwest,West,Pacific,-110,-110,-500,385,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 22:44:03,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-113.0,-108.67,-216.67,177.0,-109.67,-112.33,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,,,,,,,,,,,,,-115.0,-105.0,-225.0,185.0,-105.0,-115.0,-110.0,-115.0,-215.0,170.0,-114.0,-112.0,,,,,,,,,,,,
NBA,2025-12-05 22:44:03,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,123.33,-149.33,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,126,-148,-110,-110,,,,,,,,,,,,,,,,,,,-115.0,-105.0,124.0,-148.0,-110.0,-110.0,-113.0,-113.0,120.0,-152.0,-110.0,-114.0,,,,,,,,,,,,
NBA,2025-12-05 22:44:03,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.0,-1216.67,716.67,-110.0,-111.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,,,,,,,,,,,,,,,,,,,-115.0,-105.0,-1200.0,750.0,-110.0,-110.0,-113.0,-112.0,-1250.0,650.0,-110.0,-114.0,,,,,,,,,,,,
NBA,2025-12-05 22:44:03,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-110.67,-111.33,-161.67,134.0,-112.67,-109.0,West,Pacific,West,Southwest,-110,-110,-164,138,-110,-110,,,,,,,,,,,,,,,,,,,-110.0,-110.0,-162.0,136.0,-115.0,-105.0,-112.0,-114.0,-159.0,128.0,-113.0,-112.0,,,,,,,,,,,,
