League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-06 13:32:43,2025-12-06 17:10,Brooklyn Nets,New Orleans Pelicans,No,1169.5,No,-112.89,-106.78,-169.44,142.89,-110.89,-109.22,East,Atlantic,West,Southwest,-115,-105,-176,148,-105,-115,-111.0,-101.0,-170.0,150.0,-113.0,-102.0,-115.0,-105.0,-170.0,149.0,-115.0,-105.0,-110.0,-110.0,-164.0,134.0,-110.0,-110.0,-112,-108,-170,142,-112,-108,-115,-110,-165,132,-113,-113,-118.0,-102.0,-170.0,140.0,-110.0,-110.0,-110.0,-110.0,-170.0,145.0,-110.0,-110.0,-110.0,-110.0,-170.0,146.0,-110.0,-110.0
NBA,2025-12-06 13:32:43,2025-12-06 19:10,Washington Wizards,Atlanta Hawks,Yes,542.8,Yes,-110.44,-109.11,319.56,-414.11,-110.67,-109.33,East,Southeast,East,Southeast,-106,-114,350,-450,-112,-108,-103.0,-109.0,325.0,-400.0,-107.0,-107.0,-107.0,-113.0,320.0,-405.0,-110.0,-110.0,-110.0,-110.0,311.0,-417.0,-110.0,-110.0,-115,-105,310,-395,-108,-112,-110,-114,300,-420,-114,-112,-118.0,-102.0,310.0,-400.0,-110.0,-110.0,-115.0,-105.0,325.0,-435.0,-115.0,-105.0,-110.0,-110.0,325.0,-405.0,-110.0,-110.0
NBA,2025-12-06 13:32:43,2025-12-06 19:40,Cleveland Cavaliers,Golden State Warriors,No,2166.2,Yes,-112.67,-107.0,-302.33,244.78,-110.22,-109.78,East,Central,West,Pacific,-108,-112,-300,245,-114,-106,-111.0,-101.0,-297.0,248.0,-107.0,-107.0,-115.0,-105.0,-300.0,245.0,-110.0,-110.0,-110.0,-110.0,-294.0,230.0,-110.0,-110.0,-115,-105,-305,245,-108,-112,-115,-110,-315,245,-113,-113,-115.0,-105.0,-300.0,240.0,-110.0,-110.0,-115.0,-105.0,-310.0,255.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0
NBA,2025-12-06 13:32:43,2025-12-06 19:40,Detroit Pistons,Milwaukee Bucks,Yes,252.3,Yes,-110.11,-109.67,-666.33,476.22,-110.33,-109.67,East,Central,East,Central,-110,-110,-650,480,-110,-110,-106.0,-106.0,-650.0,493.0,-107.0,-107.0,-110.0,-110.0,-660.0,482.0,-110.0,-110.0,-110.0,-110.0,-667.0,466.0,-110.0,-110.0,-108,-112,-675,490,-108,-112,-117,-109,-670,440,-113,-113,-110.0,-110.0,-700.0,500.0,-115.0,-105.0,-110.0,-110.0,-675.0,460.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0
NBA,2025-12-06 13:32:43,2025-12-06 20:10,Minnesota Timberwolves,Los Angeles Clippers,No,1532.5,Yes,-108.67,-111.11,-473.22,359.56,-110.33,-109.44,West,Northwest,West,Pacific,-112,-108,-450,350,-114,-106,-106.0,-106.0,-469.0,374.0,-105.0,-109.0,-110.0,-110.0,-475.0,367.0,-108.0,-112.0,-110.0,-110.0,-500.0,355.0,-110.0,-110.0,-102,-118,-485,370,-112,-108,-113,-113,-480,350,-114,-110,-105.0,-115.0,-475.0,360.0,-105.0,-115.0,-110.0,-110.0,-450.0,335.0,-115.0,-105.0,-110.0,-110.0,-475.0,375.0,-110.0,-110.0
NBA,2025-12-06 13:32:43,2025-12-06 20:10,Miami Heat,Sacramento Kings,No,2551.5,Yes,-112.78,-106.78,-371.22,290.56,-110.22,-109.56,East,Southeast,West,Pacific,-112,-108,-350,280,-110,-110,-111.0,-101.0,-366.0,301.0,-107.0,-107.0,-115.0,-105.0,-370.0,296.0,-110.0,-110.0,-110.0,-110.0,-385.0,293.0,-110.0,-110.0,-118,-102,-375,295,-110,-110,-114,-110,-360,270,-110,-114,-115.0,-105.0,-375.0,290.0,-115.0,-105.0,-110.0,-110.0,-390.0,295.0,-110.0,-110.0,-110.0,-110.0,-370.0,295.0,-110.0,-110.0
NBA,2025-12-06 13:32:43,2025-12-06 20:40,Dallas Mavericks,Houston Rockets,Yes,226.3,Yes,-109.67,-110.0,282.78,-358.89,-109.33,-110.56,West,Southwest,West,Southwest,-110,-110,285,-355,-112,-108,-106.0,-106.0,285.0,-345.0,-107.0,-107.0,-110.0,-110.0,280.0,-350.0,-110.0,-110.0,-110.0,-110.0,285.0,-370.0,-110.0,-110.0,-108,-112,285,-360,-110,-110,-108,-117,280,-375,-110,-115,-110.0,-110.0,290.0,-375.0,-105.0,-115.0,-115.0,-105.0,275.0,-350.0,-110.0,-110.0,-110.0,-110.0,280.0,-350.0,-110.0,-110.0
NBA,2025-12-06 13:32:43,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-113.0,-108.67,-218.33,178.67,-109.67,-112.33,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,-230,190,-105,-115,-110,-115,-215,170,-114,-112,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 13:32:43,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,123.33,-149.33,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,126,-148,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,124,-148,-110,-110,-113,-113,120,-152,-110,-114,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 13:32:43,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.0,-1216.67,716.67,-110.0,-111.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,-1200,750,-110,-110,-113,-112,-1250,650,-110,-114,,,,,,,,,,,,,,,,,,
