League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds
NBA,2025-12-06 21:07:26,2025-12-06 19:11,Washington Wizards,Atlanta Hawks,Yes,542.8,Yes,-119.83,-78.67,614.17,-1204.83,-117.5,-81.67,East,Southeast,East,Southeast,-132,100,480,-800,-136,102,-125,-117,480.0,-1000.0,-118,-124,-125,-105,1100,-2500,-120,-110,-110.0,-120.0,475.0,-800.0,-115.0,-115.0,-125.0,-105.0,700.0,-1429.0,-111.0,-118.0,-102.0,-125.0,450.0,-700.0,-105.0,-125.0,,,,,,,,,,,,
NBA,2025-12-06 21:07:26,2025-12-06 19:42,Cleveland Cavaliers,Golden State Warriors,No,2166.2,Yes,-112.83,-119.33,84.33,-154.17,-114.67,-116.17,East,Central,West,Pacific,-104,-128,116,-148,-102,-130,-122,-120,138.0,-190.0,-120,-122,-120,-110,114,-145,-115,-115,-115.0,-115.0,-105.0,-125.0,-115.0,-115.0,-111.0,-118.0,125.0,-167.0,-118.0,-105.0,-105.0,-125.0,118.0,-150.0,-118.0,-110.0,,,,,,,,,,,,
NBA,2025-12-06 21:07:26,2025-12-06 19:42,Detroit Pistons,Milwaukee Bucks,Yes,252.3,Yes,-113.5,-118.5,-3793.4,1155.0,-121.17,-77.5,East,Central,East,Central,-120,-110,-6000,1400,-148,112,-121,-121,,,-121,-121,-115,-115,-3500,1400,-120,-110,-115.0,-115.0,-2800.0,1100.0,-110.0,-120.0,-105.0,-125.0,-1667.0,775.0,-118.0,-111.0,-105.0,-125.0,-5000.0,1100.0,-110.0,-115.0,,,,,,,,,,,,
NBA,2025-12-06 21:07:26,2025-12-06 20:11,Minnesota Timberwolves,Los Angeles Clippers,No,1532.5,Yes,-115.33,-114.83,146.0,-192.17,-114.33,-116.67,West,Northwest,West,Pacific,-114,-114,146,-188,-108,-122,-120,-122,155.0,-215.0,-120,-122,-115,-115,165,-215,-115,-115,-115.0,-115.0,130.0,-170.0,-115.0,-115.0,-118.0,-105.0,150.0,-200.0,-118.0,-111.0,-110.0,-118.0,130.0,-165.0,-110.0,-115.0,,,,,,,,,,,,
NBA,2025-12-06 21:07:26,2025-12-06 20:11,Miami Heat,Sacramento Kings,No,2551.5,Yes,-115.33,-116.33,111.83,-191.67,-114.17,-117.67,East,Southeast,West,Pacific,-122,-108,162,-210,-110,-120,-125,-117,165.0,-230.0,-122,-120,-115,-115,135,-175,-110,-120,-115.0,-115.0,160.0,-210.0,-110.0,-120.0,-105.0,-125.0,-105.0,-125.0,-118.0,-111.0,-110.0,-118.0,154.0,-200.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-12-06 21:07:26,2025-12-06 20:41,Dallas Mavericks,Houston Rockets,Yes,226.3,Yes,-122.0,-78.0,173.33,-234.33,-40.0,-126.0,West,Southwest,West,Southwest,-152,114,146,-188,100,-132,-125,-117,155.0,-220.0,-120,-122,-120,-110,195,-260,-120,-110,-115.0,-115.0,155.0,-205.0,-115.0,-115.0,-105.0,-125.0,235.0,-333.0,130.0,-167.0,-115.0,-115.0,154.0,-200.0,-115.0,-110.0,,,,,,,,,,,,
NBA,2025-12-06 21:07:26,2025-12-07 12:10,New York Knicks,Orlando Magic,No,940.3,No,-114.33,-41.0,-159.67,132.67,-111.0,-111.0,East,Atlantic,East,Southeast,-110,-110,-158,134,-112,-108,-113,-113,-159.0,128.0,-113,-113,-120,100,-162,136,-108,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 21:07:26,2025-12-07 15:40,Toronto Raptors,Boston Celtics,Yes,430.3,No,-113.83,-105.67,106.0,-128.25,-107.17,-112.5,East,Atlantic,East,Atlantic,-114,-106,108,-126,-106,-114,-110,-115,106.0,-132.0,-110,-114,-118,-102,105,-125,-105,-115,,,,,,,,,,,,,-115.0,-105.0,105.0,-130.0,-105.0,-115.0,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0
NBA,2025-12-06 21:07:26,2025-12-07 18:10,Charlotte Hornets,Denver Nuggets,No,1359.8,No,-109.33,-112.67,338.33,-451.67,-110.67,-111.33,East,Southeast,West,Northwest,-114,-106,330,-420,-110,-110,-109,-117,335.0,-480.0,-112,-114,-105,-115,350,-455,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 21:07:26,2025-12-07 18:10,Memphis Grizzlies,Portland Trail Blazers,No,1849.4,No,-108.33,-111.33,-117.25,-53.25,-109.0,-111.0,West,Southwest,West,Northwest,-110,-110,-118,100,-110,-110,-114,-112,-118.0,-106.0,-112,-114,-105,-115,-115,-105,-105,-115,,,,,,,,,,,,,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0
