League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
NBA,2025-12-06 22:58:25,2025-12-06 20:41,Dallas Mavericks,Houston Rockets,Yes,226.3,Yes,143.0,-321.67,,,-26.5,-8.5,West,Southwest,West,Southwest,-110,-120,,,-158,118,114,-145,,,105,-135,425.0,-700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 22:58:25,2025-12-07 12:10,New York Knicks,Orlando Magic,No,940.3,No,-107.43,-112.29,-153.57,128.71,-111.57,-108.57,East,Atlantic,East,Southeast,-108,-112,-156.0,132.0,-110,-110,-110,-110,-148.0,124.0,-110,-110,-105.0,-115.0,-155.0,125.0,-110.0,-110.0,-110.0,-110.0,-147.0,121.0,-110.0,-110.0,-113.0,-113.0,-159.0,128.0,-113.0,-113.0,-101.0,-111.0,-155.0,136.0,-113.0,-102.0,-105.0,-115.0,-155.0,135.0,-115.0,-105.0
NBA,2025-12-06 22:58:25,2025-12-07 15:40,Toronto Raptors,Boston Celtics,Yes,430.3,No,-113.29,-106.29,107.57,-128.71,-110.57,-109.29,East,Atlantic,East,Atlantic,-114,-106,108.0,-126.0,-106,-114,-118,-102,105.0,-125.0,-110,-110,-115.0,-105.0,105.0,-130.0,-110.0,-110.0,-110.0,-110.0,107.0,-130.0,-110.0,-110.0,-110.0,-115.0,106.0,-132.0,-110.0,-114.0,-111.0,-101.0,112.0,-128.0,-113.0,-102.0,-115.0,-105.0,110.0,-130.0,-115.0,-105.0
NBA,2025-12-06 22:58:25,2025-12-07 18:10,Charlotte Hornets,Denver Nuggets,No,1359.8,No,-110.57,-109.14,359.29,-476.29,-109.86,-110.14,East,Southeast,West,Northwest,-114,-106,370.0,-480.0,-110,-110,-115,-105,330.0,-425.0,-110,-110,-110.0,-110.0,375.0,-500.0,-110.0,-110.0,-110.0,-110.0,344.0,-476.0,-110.0,-110.0,-109.0,-117.0,335.0,-480.0,-112.0,-114.0,-106.0,-106.0,384.0,-483.0,-107.0,-107.0,-110.0,-110.0,377.0,-490.0,-110.0,-110.0
NBA,2025-12-06 22:58:25,2025-12-07 18:10,Memphis Grizzlies,Portland Trail Blazers,No,1849.4,No,-108.57,-111.14,-116.14,-75.14,-109.86,-110.14,West,Southwest,West,Northwest,-110,-110,-118.0,100.0,-110,-110,-105,-115,-115.0,-105.0,-105,-115,-105.0,-115.0,-118.0,-102.0,-115.0,-105.0,-110.0,-110.0,-116.0,-105.0,-110.0,-110.0,-114.0,-112.0,-118.0,-106.0,-112.0,-114.0,-106.0,-106.0,-113.0,-103.0,-107.0,-107.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0
NBA,2025-12-06 22:58:25,2025-12-07 19:10,Chicago Bulls,Golden State Warriors,No,1855.4,Yes,-113.33,-40.0,-106.0,-114.33,-109.33,-110.67,East,Central,West,Pacific,-110,-110,-102.0,-118.0,-108,-112,-120,100,-110.0,-110.0,-110,-110,,,,,,,-110.0,-110.0,-106.0,-115.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 22:58:25,2025-12-07 19:40,Philadelphia 76ers,Los Angeles Lakers,No,2394.9,Yes,-109.33,-110.17,140.43,-167.29,-110.0,-110.0,East,Atlantic,West,Pacific,-110,-110,138.0,-164.0,-110,-110,-105,-115,140.0,-166.0,-110,-110,,,135.0,-165.0,-110.0,-110.0,-110.0,-110.0,136.0,-169.0,-110.0,-110.0,-115.0,-110.0,135.0,-167.0,-113.0,-113.0,-106.0,-106.0,150.0,-170.0,-107.0,-107.0,-110.0,-110.0,149.0,-170.0,-110.0,-110.0
NBA,2025-12-06 22:58:25,2025-12-07 20:10,Utah Jazz,Oklahoma City Thunder,Yes,863.6,Yes,-110.43,-109.0,430.43,-592.86,-111.43,-108.71,West,Northwest,West,Northwest,-108,-112,490.0,-670.0,-110,-110,-115,-105,425.0,-575.0,-110,-110,-110.0,-110.0,425.0,-600.0,-110.0,-110.0,-110.0,-110.0,415.0,-588.0,-110.0,-110.0,-114.0,-110.0,420.0,-625.0,-112.0,-114.0,-106.0,-106.0,423.0,-542.0,-113.0,-102.0,-110.0,-110.0,415.0,-550.0,-115.0,-105.0
NBA,2025-12-06 22:58:25,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-113.0,-108.67,-216.67,177.0,-109.67,-112.33,East,Southeast,East,Southeast,-114,-106,-210.0,176.0,-110,-110,-115,-105,-225.0,185.0,-105,-115,,,,,,,,,,,,,-110.0,-115.0,-215.0,170.0,-114.0,-112.0,,,,,,,,,,,,
NBA,2025-12-06 22:58:25,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,123.33,-149.33,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,126.0,-148.0,-110,-110,-115,-105,124.0,-148.0,-110,-110,,,,,,,,,,,,,-113.0,-113.0,120.0,-152.0,-110.0,-114.0,,,,,,,,,,,,
