League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-07 10:21:51,2025-12-07 12:00,New York Knicks,Orlando Magic,No,940.3,No,-107.89,-111.89,-132.89,111.67,-110.0,-110.0,East,Atlantic,East,Southeast,-106,-114,-136,116,-110,-110,-110.0,-110.0,-135.0,111.0,-110.0,-110.0,-105,-115,-135,114,-110,-110,-114,-112,-132,107,-113,-113,-101.0,-111.0,-128.0,112.0,-107.0,-107.0,-105.0,-115.0,-130.0,110.0,-110.0,-110.0,-105.0,-115.0,-135.0,110.0,-110.0,-110.0,-115.0,-105.0,-135.0,115.0,-110.0,-110.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
NBA,2025-12-07 10:21:51,2025-12-07 15:30,Toronto Raptors,Boston Celtics,Yes,430.3,No,-108.22,-111.44,132.89,-157.56,-109.89,-110.11,East,Atlantic,East,Atlantic,-106,-114,136,-162,-106,-114,-110.0,-110.0,130.0,-159.0,-110.0,-110.0,-112,-108,130,-155,-110,-110,-110,-115,125,-157,-112,-114,-101.0,-111.0,136.0,-155.0,-109.0,-105.0,-105.0,-115.0,135.0,-155.0,-112.0,-108.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,134.0,-155.0,-110.0,-110.0
NBA,2025-12-07 10:21:51,2025-12-07 18:00,Charlotte Hornets,Denver Nuggets,No,1359.8,No,-108.89,-110.89,372.33,-491.56,-110.78,-109.22,East,Southeast,West,Northwest,-106,-114,385,-500,-110,-110,-110.0,-110.0,366.0,-500.0,-110.0,-110.0,-108,-112,380,-500,-112,-108,-114,-112,350,-480,-113,-113,-104.0,-108.0,377.0,-474.0,-107.0,-107.0,-108.0,-112.0,370.0,-480.0,-110.0,-110.0,-110.0,-110.0,375.0,-500.0,-115.0,-105.0,-110.0,-110.0,370.0,-510.0,-110.0,-110.0,-110.0,-110.0,378.0,-480.0,-110.0,-110.0
NBA,2025-12-07 10:21:51,2025-12-07 18:00,Memphis Grizzlies,Portland Trail Blazers,No,1849.4,No,-110.33,-109.22,-117.89,-35.22,-110.0,-110.0,West,Southwest,West,Northwest,-110,-110,-116,-102,-110,-110,-110.0,-110.0,-120.0,-101.0,-110.0,-110.0,-112,-108,-118,-102,-110,-110,-110,-114,-115,-108,-113,-113,-111.0,-101.0,-116.0,100.0,-107.0,-107.0,-115.0,-105.0,-118.0,-102.0,-110.0,-110.0,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0
NBA,2025-12-07 10:21:51,2025-12-07 19:00,Chicago Bulls,Golden State Warriors,No,1855.4,Yes,-111.5,-108.25,-105.33,-114.78,-111.67,-108.22,East,Central,West,Pacific,-110,-110,-104,-116,-112,-108,,,-108.0,-114.0,-110.0,-110.0,-118,-102,-108,-112,-115,-105,-113,-113,-108,-115,-110,-114,-106.0,-106.0,-103.0,-113.0,-113.0,-102.0,-110.0,-110.0,-105.0,-115.0,-115.0,-105.0,-115.0,-105.0,-102.0,-118.0,-115.0,-105.0,-110.0,-110.0,-105.0,-115.0,-105.0,-115.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0
NBA,2025-12-07 10:21:51,2025-12-07 19:30,Philadelphia 76ers,Los Angeles Lakers,No,2394.9,Yes,-105.78,-113.89,152.44,-181.44,-109.0,-111.11,East,Atlantic,West,Pacific,-106,-114,142,-168,-110,-110,-110.0,-110.0,148.0,-185.0,-110.0,-110.0,-105,-115,154,-185,-112,-108,-110,-115,143,-180,-112,-114,-101.0,-111.0,158.0,-180.0,-102.0,-113.0,-105.0,-115.0,157.0,-180.0,-105.0,-115.0,-105.0,-115.0,155.0,-190.0,-105.0,-115.0,-105.0,-115.0,160.0,-185.0,-110.0,-110.0,-105.0,-115.0,155.0,-180.0,-115.0,-105.0
NBA,2025-12-07 10:21:51,2025-12-07 20:00,Utah Jazz,Oklahoma City Thunder,Yes,863.6,Yes,-109.0,-110.67,324.89,-422.44,-110.0,-110.0,West,Northwest,West,Northwest,-110,-110,330,-420,-108,-112,-110.0,-110.0,310.0,-417.0,-110.0,-110.0,-110,-110,330,-425,-108,-112,-110,-115,300,-400,-113,-113,-106.0,-106.0,336.0,-415.0,-109.0,-105.0,-110.0,-110.0,330.0,-420.0,-112.0,-108.0,-110.0,-110.0,333.0,-450.0,-110.0,-110.0,-105.0,-115.0,325.0,-435.0,-110.0,-110.0,-110.0,-110.0,330.0,-420.0,-110.0,-110.0
NBA,2025-12-07 10:21:51,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-112.67,-108.67,-218.33,178.67,-112.67,-109.33,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,-115,-105,-230,190,-115,-105,-109,-115,-215,170,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 10:21:51,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,123.33,-149.33,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,126,-148,-110,-110,,,,,,,-115,-105,124,-148,-110,-110,-113,-113,120,-152,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 10:21:51,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.0,-1216.67,716.67,-110.0,-111.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,,,,,,,-115,-105,-1200,750,-110,-110,-113,-112,-1250,650,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
