League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-07 16:20:15,2025-12-07 15:43,Toronto Raptors,Boston Celtics,Yes,430.3,No,-112.33,-118.5,250.83,-353.5,-117.0,-113.83,East,Atlantic,East,Atlantic,-118,-112,290,-410,-130,-102,-105,-125,230,-315,-110,-120,-105.0,-118.0,210.0,-286.0,-105.0,-118.0,-115.0,-115.0,260.0,-350.0,-118.0,-110.0,-121.0,-121.0,285.0,-435.0,-124.0,-118.0,-110.0,-120.0,230.0,-325.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 16:20:15,2025-12-07 18:00,Charlotte Hornets,Denver Nuggets,No,1359.8,No,-107.89,-111.89,383.11,-511.44,-110.33,-109.67,East,Southeast,West,Northwest,-110,-110,380,-490,-110,-110,-108,-112,390,-520,-110,-110,-110.0,-110.0,365.0,-500.0,-110.0,-110.0,-105.0,-115.0,400.0,-550.0,-110.0,-110.0,-112.0,-114.0,360.0,-500.0,-112.0,-114.0,-115.0,-105.0,390.0,-550.0,-110.0,-110.0,-101.0,-111.0,390.0,-493.0,-109.0,-105.0,-105.0,-115.0,383.0,-500.0,-112.0,-108.0,-105.0,-115.0,390.0,-500.0,-110.0,-110.0
NBA,2025-12-07 16:20:15,2025-12-07 18:00,Memphis Grizzlies,Portland Trail Blazers,No,1849.4,No,-88.22,-109.33,-120.67,56.22,-109.89,-110.11,West,Southwest,West,Northwest,-110,-110,-124,106,-108,-112,100,-120,-110,-110,-112,-108,-110.0,-110.0,-122.0,100.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-113.0,-113.0,-117.0,-107.0,-112.0,-114.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-111.0,-101.0,-123.0,107.0,-107.0,-107.0,-115.0,-105.0,-125.0,105.0,-110.0,-110.0,-115.0,-105.0,-125.0,105.0,-110.0,-110.0
NBA,2025-12-07 16:20:15,2025-12-07 19:00,Chicago Bulls,Golden State Warriors,No,1855.4,Yes,-110.89,-108.89,-59.0,-116.44,-108.78,-111.22,East,Central,West,Pacific,-114,-106,100,-118,-110,-110,-112,-108,-105,-115,-105,-115,-110.0,-110.0,-106.0,-115.0,-110.0,-110.0,-115.0,-105.0,-102.0,-118.0,-105.0,-115.0,-112.0,-114.0,-106.0,-118.0,-112.0,-114.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,-103.0,-109.0,100.0,-116.0,-107.0,-107.0,-107.0,-113.0,-102.0,-118.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0
NBA,2025-12-07 16:20:15,2025-12-07 19:30,Philadelphia 76ers,Los Angeles Lakers,No,2394.9,Yes,-110.0,-109.75,147.62,-175.38,-111.62,-108.38,East,Atlantic,West,Pacific,-112,-108,154,-184,-110,-110,-110,-110,150,-180,-112,-108,-110.0,-110.0,142.0,-175.0,-110.0,-110.0,-110.0,-110.0,145.0,-175.0,-110.0,-110.0,-112.0,-114.0,140.0,-175.0,-113.0,-112.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0,-106.0,-106.0,148.0,-167.0,-113.0,-102.0,-110.0,-110.0,147.0,-167.0,-115.0,-105.0,,,,,,
NBA,2025-12-07 16:20:15,2025-12-07 20:00,Utah Jazz,Oklahoma City Thunder,Yes,863.6,Yes,-108.89,-110.89,379.78,-505.89,-111.11,-108.78,West,Northwest,West,Northwest,-110,-110,390,-510,-112,-108,-102,-118,390,-520,-110,-110,-110.0,-110.0,365.0,-505.0,-110.0,-110.0,-105.0,-115.0,375.0,-500.0,-110.0,-110.0,-117.0,-109.0,360.0,-500.0,-110.0,-114.0,-110.0,-110.0,375.0,-525.0,-110.0,-110.0,-106.0,-106.0,390.0,-493.0,-113.0,-102.0,-110.0,-110.0,383.0,-500.0,-115.0,-105.0,-110.0,-110.0,390.0,-500.0,-110.0,-110.0
NBA,2025-12-07 16:20:15,2025-12-09 18:10,Orlando Magic,Miami Heat,Yes,203.7,No,-112.5,-107.5,-129.5,109.5,-107.5,-112.5,East,Southeast,East,Southeast,-110,-110,-134,114,-110,-110,-115,-105,-125,105,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 16:20:15,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,127.33,-154.67,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,138,-164,-110,-110,-115,-105,124,-148,-110,-110,,,,,,,,,,,,,-113.0,-113.0,120.0,-152.0,-110.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 16:20:15,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.0,-1216.67,716.67,-110.0,-111.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,-115,-105,-1200,750,-110,-110,,,,,,,,,,,,,-113.0,-112.0,-1250.0,650.0,-110.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 16:20:15,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-114.67,-107.33,-176.33,146.33,-112.67,-109.33,West,Pacific,West,Southwest,-115,-105,-196,164,-110,-110,-115,-105,-166,140,-115,-105,,,,,,,,,,,,,-114.0,-112.0,-167.0,135.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,
