League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-10 22:58:22,2025-12-10 22:13,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-114.0,-117.83,149.83,-197.17,-111.33,-119.33,West,Pacific,West,Southwest,-110,-120,164,-215,-106,-125,-115,-115,170,-220,-115,-115,-121.0,-121.0,135.0,-186.0,-122.0,-120.0,-105.0,-125.0,160.0,-210.0,-110.0,-118.0,-115.0,-115.0,140.0,-185.0,-110.0,-120.0,-118.0,-111.0,130.0,-167.0,-105.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-10 22:58:22,2025-12-11 20:10,Milwaukee Bucks,Boston Celtics,No,857.9,Yes,-109.44,-110.33,296.89,-377.33,-110.56,-109.44,East,Central,East,Atlantic,-110,-110,300,-375,-112,-108,-105,-115,295,-375,-112,-108,-109.0,-117.0,265.0,-360.0,-114.0,-112.0,-105.0,-115.0,300.0,-375.0,-110.0,-110.0,-105.0,-115.0,280.0,-360.0,-110.0,-110.0,-110.0,-110.0,295.0,-385.0,-110.0,-110.0,-111.0,-101.0,315.0,-386.0,-107.0,-107.0,-115.0,-105.0,310.0,-390.0,-110.0,-110.0,-115.0,-105.0,312.0,-390.0,-110.0,-110.0
NBA,2025-12-10 22:58:22,2025-12-11 20:10,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,-85.11,-112.44,-396.67,308.44,-110.56,-109.44,West,Southwest,West,Pacific,-106,-114,-370,295,-114,-106,100,-120,-395,310,-115,-105,-112.0,-114.0,-400.0,295.0,-114.0,-112.0,-102.0,-118.0,-400.0,310.0,-105.0,-115.0,-110.0,-110.0,-410.0,305.0,-110.0,-110.0,-110.0,-110.0,-400.0,304.0,-110.0,-110.0,-106.0,-106.0,-395.0,321.0,-107.0,-107.0,-110.0,-110.0,-400.0,316.0,-110.0,-110.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0
NBA,2025-12-10 22:58:22,2025-12-11 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-110.11,-109.67,157.44,-188.56,-111.22,-108.78,West,Southwest,West,Northwest,-110,-110,158,-188,-110,-110,-108,-112,154,-185,-115,-105,-117.0,-109.0,155.0,-195.0,-114.0,-112.0,-110.0,-110.0,155.0,-190.0,-115.0,-105.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,145.0,-179.0,-110.0,-110.0,-106.0,-106.0,158.0,-180.0,-107.0,-107.0,-110.0,-110.0,157.0,-180.0,-110.0,-110.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0
NBA,2025-12-10 22:58:22,2025-12-11 22:10,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-109.78,-110.0,340.67,-445.0,-109.56,-110.44,West,Pacific,West,Northwest,-108,-112,350,-450,-108,-112,-105,-115,360,-470,-108,-112,-109.0,-117.0,310.0,-420.0,-113.0,-113.0,-105.0,-115.0,350.0,-475.0,-110.0,-110.0,-110.0,-110.0,290.0,-380.0,-110.0,-110.0,-110.0,-110.0,324.0,-435.0,-110.0,-110.0,-111.0,-101.0,364.0,-455.0,-107.0,-107.0,-115.0,-105.0,358.0,-460.0,-110.0,-110.0,-115.0,-105.0,360.0,-460.0,-110.0,-110.0
NBA,2025-12-10 22:58:22,2025-12-12 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-110.0,-110.0,-236.5,194.5,-111.0,-109.0,East,Central,East,Southeast,-110,-110,-235,194,-112,-108,-110,-110,-238,195,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-10 22:58:22,2025-12-12 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-112.0,-108.0,572.5,-835.0,-109.0,-111.0,East,Southeast,East,Central,-114,-106,570,-820,-108,-112,-110,-110,575,-850,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-10 22:58:22,2025-12-12 19:10,Philadelphia 76ers,Indiana Pacers,No,583.9,Yes,-106.5,-113.5,-232.5,192.0,-110.0,-110.0,East,Atlantic,East,Central,-108,-112,-235,194,-110,-110,-105,-115,-230,190,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-10 22:58:22,2025-12-12 20:40,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-109.0,-111.0,-302.5,240.0,-109.0,-111.0,West,Southwest,East,Atlantic,-108,-112,-320,250,-108,-112,-110,-110,-285,230,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-10 22:58:22,2025-12-12 22:10,Golden State Warriors,Minnesota Timberwolves,No,1583.0,Yes,-110.0,-110.0,-119.0,100.0,-111.0,-109.0,West,Pacific,West,Northwest,-110,-110,-118,100,-112,-108,-110,-110,-120,100,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-10 22:58:22,2025-12-13 17:30,Orlando Magic,New York Knicks,No,940.3,No,-109.0,-111.0,150.0,-179.0,-112.0,-108.0,East,Southeast,East,Atlantic,-108,-112,150,-178,-114,-106,-110,-110,150,-180,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
