League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-11 04:30:57,2025-12-11 20:10,Milwaukee Bucks,Boston Celtics,No,857.9,Yes,-111.78,-85.78,309.56,-397.78,-109.78,-110.22,East,Central,East,Atlantic,-110,-110,310,-390,-112,-108,-120,100,310,-395,-105,-115,-112.0,-114.0,285.0,-385.0,-114.0,-112.0,-110.0,-110.0,304.0,-400.0,-110.0,-110.0,-118.0,-102.0,310.0,-400.0,-110.0,-110.0,-106.0,-106.0,321.0,-395.0,-107.0,-107.0,-110.0,-110.0,316.0,-400.0,-110.0,-110.0,-110.0,-110.0,310.0,-415.0,-110.0,-110.0,-110.0,-110.0,320.0,-400.0,-110.0,-110.0
NBA,2025-12-11 04:30:57,2025-12-11 20:10,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,-110.22,-109.56,-396.67,309.0,-109.33,-110.67,West,Southwest,West,Pacific,-106,-114,-400,315,-110,-110,-118,-102,-395,310,-108,-112,-112.0,-114.0,-400.0,295.0,-114.0,-112.0,-110.0,-110.0,-385.0,289.0,-110.0,-110.0,-115.0,-105.0,-375.0,300.0,-105.0,-115.0,-106.0,-106.0,-395.0,321.0,-107.0,-107.0,-110.0,-110.0,-400.0,316.0,-110.0,-110.0,-105.0,-115.0,-420.0,315.0,-110.0,-110.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0
NBA,2025-12-11 04:30:57,2025-12-11 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-109.67,-110.11,156.22,-186.78,-110.44,-109.56,West,Southwest,West,Northwest,-110,-110,162,-194,-114,-106,-112,-108,154,-185,-115,-105,-114.0,-112.0,155.0,-200.0,-113.0,-113.0,-110.0,-110.0,152.0,-187.0,-110.0,-110.0,-110.0,-110.0,154.0,-190.0,-105.0,-115.0,-106.0,-106.0,158.0,-180.0,-107.0,-107.0,-110.0,-110.0,157.0,-180.0,-110.0,-110.0,-105.0,-115.0,155.0,-180.0,-110.0,-110.0,-110.0,-110.0,159.0,-185.0,-110.0,-110.0
NBA,2025-12-11 04:30:57,2025-12-11 22:10,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-107.56,-112.22,349.0,-459.56,-109.56,-110.44,West,Pacific,West,Northwest,-108,-112,350,-450,-108,-112,-105,-115,360,-470,-108,-112,-109.0,-117.0,310.0,-420.0,-113.0,-113.0,-110.0,-110.0,344.0,-476.0,-110.0,-110.0,-105.0,-115.0,350.0,-475.0,-110.0,-110.0,-106.0,-106.0,364.0,-455.0,-107.0,-107.0,-110.0,-110.0,358.0,-460.0,-110.0,-110.0,-105.0,-115.0,345.0,-470.0,-110.0,-110.0,-110.0,-110.0,360.0,-460.0,-110.0,-110.0
NBA,2025-12-11 04:30:57,2025-12-12 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-111.67,-110.0,-242.67,196.0,-111.33,-110.67,East,Central,East,Southeast,-110,-110,-240,198,-112,-108,-110,-110,-238,195,-110,-110,-115.0,-110.0,-250.0,195.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 04:30:57,2025-12-12 19:10,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-115.0,-40.33,-115.67,-38.33,-111.67,-110.33,East,Southeast,East,Central,-112,-108,-120,102,-112,-108,-120,100,-110,-110,-110,-110,-113.0,-113.0,-117.0,-107.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 04:30:57,2025-12-12 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-112.33,-109.67,546.67,-818.33,-109.33,-112.0,East,Southeast,East,Central,-114,-106,540,-770,-108,-112,-110,-110,575,-850,-110,-110,-113.0,-113.0,525.0,-835.0,-110.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 04:30:57,2025-12-12 19:10,Philadelphia 76ers,Indiana Pacers,No,583.9,Yes,-109.0,-113.0,-231.67,188.33,-110.67,-111.33,East,Atlantic,East,Central,-110,-110,-230,190,-110,-110,-105,-115,-230,190,-110,-110,-112.0,-114.0,-235.0,185.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 04:30:57,2025-12-12 20:10,Memphis Grizzlies,Utah Jazz,No,1251.0,Yes,-111.0,-111.0,-252.67,203.33,-112.33,-109.67,West,Southwest,West,Northwest,-114,-106,-255,210,-114,-106,-110,-110,-238,195,-110,-110,-109.0,-117.0,-265.0,205.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 04:30:57,2025-12-12 20:40,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-109.33,-112.33,-298.33,236.67,-110.0,-112.0,West,Southwest,East,Atlantic,-108,-112,-295,240,-108,-112,-110,-110,-285,230,-110,-110,-110.0,-115.0,-315.0,240.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
