League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-11 21:01:24,2025-12-11 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-120.5,-110.33,81.33,-149.67,-117.0,-113.83,West,Southwest,West,Northwest,-130,-102,126,-162,-112,-118,-120,-110,130,-166,-120,-110,-117,-124,112,-155,-122,-120,-111.0,-111.0,100.0,-125.0,-118.0,-105.0,-125.0,-105.0,135.0,-175.0,-115.0,-115.0,-120.0,-110.0,-115.0,-115.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 21:01:24,2025-12-11 20:12,Milwaukee Bucks,Boston Celtics,No,857.9,Yes,-121.83,-77.33,493.33,-877.33,-117.67,-114.33,East,Central,East,Atlantic,-146,110,350,-520,-125,-106,-115,-115,500,-810,-115,-115,-124,-118,310,-480,-118,-124,-118.0,-111.0,700.0,-1429.0,-118.0,-111.0,-118.0,-110.0,400.0,-625.0,-115.0,-115.0,-110.0,-120.0,700.0,-1400.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 21:01:24,2025-12-11 20:12,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,-116.33,-113.83,-334.33,245.0,-116.83,-113.0,West,Southwest,West,Pacific,-122,-108,-350,255,-118,-112,-125,-105,-315,230,-115,-115,-115,-127,-345,235,-122,-120,-111.0,-118.0,-286.0,220.0,-118.0,-111.0,-115.0,-115.0,-300.0,225.0,-118.0,-110.0,-110.0,-110.0,-410.0,305.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 21:01:24,2025-12-11 22:10,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-111.11,-108.44,358.22,-472.78,-109.67,-110.33,West,Pacific,West,Northwest,-112,-108,385,-500,-108,-112,-112,-108,370,-485,-110,-110,-115,-109,335,-480,-112,-114,-110.0,-110.0,345.0,-476.0,-110.0,-110.0,-110.0,-110.0,360.0,-475.0,-110.0,-110.0,-115.0,-105.0,325.0,-435.0,-110.0,-110.0,-110.0,-110.0,364.0,-470.0,-110.0,-110.0,-106.0,-106.0,370.0,-464.0,-107.0,-107.0,-110.0,-110.0,370.0,-470.0,-110.0,-110.0
NBA,2025-12-11 21:01:24,2025-12-12 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-112.29,-107.43,-243.0,197.0,-110.14,-109.71,East,Central,East,Southeast,-108,-112,-235,194,-112,-108,-115,-105,-245,200,-105,-115,-112,-114,-245,188,-112,-113,,,,,,,-110.0,-110.0,-250.0,200.0,-115.0,-105.0,,,,,,,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,-240.0,203.0,-110.0,-110.0
NBA,2025-12-11 21:01:24,2025-12-12 19:10,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-113.29,-106.43,128.8,-154.6,-112.86,-107.29,East,Southeast,East,Central,-110,-110,132,-156,-114,-106,-110,-110,130,-155,-110,-110,-117,-109,123,-152,-113,-113,,,,,,,-115.0,-105.0,125.0,-155.0,-110.0,-110.0,,,,,,,-115.0,-105.0,,,-115.0,-105.0,-111.0,-101.0,,,-113.0,-102.0,-115.0,-105.0,134.0,-155.0,-115.0,-105.0
NBA,2025-12-11 21:01:24,2025-12-12 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-107.86,-111.57,630.0,-977.0,-110.14,-109.86,East,Southeast,East,Central,-110,-110,610,-900,-110,-110,-110,-110,675,-1050,-112,-108,-114,-110,540,-835,-112,-114,,,,,,,-110.0,-110.0,675.0,-1100.0,-110.0,-110.0,,,,,,,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,650.0,-1000.0,-110.0,-110.0
NBA,2025-12-11 21:01:24,2025-12-12 19:10,Philadelphia 76ers,Indiana Pacers,No,583.9,Yes,-107.14,-112.57,-265.0,214.0,-110.0,-109.86,East,Atlantic,East,Central,-110,-110,-280,230,-110,-110,-110,-110,-250,205,-110,-110,-109,-117,-295,225,-113,-112,,,,,,,-110.0,-110.0,-250.0,200.0,-110.0,-110.0,,,,,,,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,-250.0,210.0,-110.0,-110.0
NBA,2025-12-11 21:01:24,2025-12-12 20:10,Memphis Grizzlies,Utah Jazz,No,1251.0,Yes,-106.0,-113.57,-227.0,187.0,-110.0,-109.86,West,Southwest,West,Northwest,-106,-114,-215,180,-110,-110,-105,-115,-225,185,-110,-110,-115,-110,-250,200,-113,-112,,,,,,,-105.0,-115.0,-225.0,185.0,-110.0,-110.0,,,,,,,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,-220.0,185.0,-110.0,-110.0
NBA,2025-12-11 21:01:24,2025-12-12 20:40,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-111.43,-108.29,-287.2,232.0,-110.57,-109.43,West,Southwest,East,Atlantic,-110,-110,-260,215,-112,-108,-102,-118,-298,240,-112,-108,-117,-109,-278,215,-113,-113,,,,,,,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,,,,,,,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,-300.0,250.0,-110.0,-110.0
NBA,2025-12-11 21:01:24,2025-12-12 22:10,Golden State Warriors,Minnesota Timberwolves,No,1583.0,Yes,-111.33,-108.17,-173.75,143.75,-108.83,-111.17,West,Pacific,West,Northwest,-110,-110,-168,142,-106,-114,-110,-110,-175,145,-112,-108,-112,-113,-177,143,-113,-113,,,,,,,-110.0,-110.0,-175.0,145.0,-105.0,-115.0,,,,,,,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,,,,,,
NBA,2025-12-11 21:01:24,2025-12-13 17:30,Orlando Magic,New York Knicks,No,940.3,No,-112.33,-109.67,149.0,-181.67,-110.67,-111.33,East,Southeast,East,Atlantic,-108,-112,152,-180,-108,-112,-115,-105,145,-175,-110,-110,-114,-112,150,-190,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 21:01:24,2025-12-13 21:00,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,-112.0,-110.0,-488.33,360.0,-111.33,-110.33,West,Northwest,West,Southwest,-108,-112,-480,370,-114,-106,-115,-105,-455,350,-105,-115,-113,-113,-530,360,-115,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
