League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-13 16:21:21,2025-12-13 17:30,Orlando Magic,New York Knicks,No,940.3,No,-108.56,-111.22,167.89,-201.11,-110.78,-109.11,East,Southeast,East,Atlantic,-110,-110,168,-200,-112,-108,-102,-118,170,-205,-108,-112,-102.0,-118.0,165.0,-200.0,-105.0,-115.0,-112,-114,163,-210,-114,-110,-115.0,-105.0,165.0,-195.0,-110.0,-110.0,-106.0,-106.0,179.0,-204.0,-113.0,-102.0,-110.0,-110.0,177.0,-205.0,-115.0,-105.0,-110.0,-110.0,157.0,-196.0,-110.0,-110.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0
NBA,2025-12-13 16:21:21,2025-12-13 21:00,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,-108.89,-110.89,-529.89,392.89,-110.67,-109.22,West,Northwest,West,Southwest,-114,-106,-590,430,-114,-106,-108,-112,-520,390,-108,-112,-105.0,-115.0,-500.0,375.0,-110.0,-110.0,-117,-109,-590,410,-113,-112,-110.0,-110.0,-500.0,360.0,-110.0,-110.0,-101.0,-111.0,-488.0,387.0,-109.0,-105.0,-105.0,-115.0,-495.0,380.0,-112.0,-108.0,-110.0,-110.0,-561.0,399.0,-110.0,-110.0,-110.0,-110.0,-525.0,405.0,-110.0,-110.0
NBA,2025-12-13 16:21:21,2025-12-14 15:10,Indiana Pacers,Washington Wizards,No,492.8,No,-112.0,-107.67,-342.5,270.0,-109.83,-109.83,East,Central,East,Southeast,-110,-110,-335,270,-110,-110,-115,-105,-325,260,-108,-112,-118.0,-102.0,-325.0,260.0,-110.0,-110.0,-113,-113,-385,290,-114,-110,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2025-12-13 16:21:21,2025-12-14 15:40,Cleveland Cavaliers,Charlotte Hornets,No,435.0,No,-109.0,-112.0,-493.75,368.75,-110.5,-110.75,East,Central,East,Southeast,-106,-114,-460,360,-110,-110,-110,-110,-485,370,-110,-110,-110.0,-110.0,-500.0,375.0,-110.0,-110.0,-110,-114,-530,370,-112,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 16:21:21,2025-12-14 18:10,Atlanta Hawks,Philadelphia 76ers,No,663.4,No,-111.25,-110.0,-146.0,121.75,-111.0,-110.5,East,Southeast,East,Atlantic,-110,-110,-138,118,-110,-110,-110,-110,-155,130,-110,-110,-110.0,-110.0,-150.0,125.0,-110.0,-110.0,-115,-110,-141,114,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 16:21:21,2025-12-14 18:10,Brooklyn Nets,Milwaukee Bucks,No,736.6,No,-108.67,-110.83,105.5,-126.75,-109.67,-110.17,East,Atlantic,East,Central,-106,-114,110,-130,-108,-112,-110,-110,105,-125,-110,-110,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110,-115,102,-127,-113,-112,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2025-12-13 16:21:21,2025-12-14 19:10,Chicago Bulls,New Orleans Pelicans,No,833.6,Yes,-109.0,-113.0,-210.33,172.0,-110.67,-111.33,East,Central,West,Southwest,-110,-110,-198,166,-110,-110,-105,-115,-218,180,-108,-112,,,,,,,-112,-114,-215,170,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 16:21:21,2025-12-14 19:10,Minnesota Timberwolves,Sacramento Kings,No,1514.6,Yes,-111.25,-110.25,-628.75,450.0,-110.0,-111.25,West,Northwest,West,Pacific,-112,-108,-620,460,-110,-110,-110,-110,-600,440,-108,-112,-110.0,-110.0,-625.0,450.0,-110.0,-110.0,-113,-113,-670,450,-112,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 16:21:21,2025-12-14 20:10,Phoenix Suns,Los Angeles Lakers,Yes,359.1,Yes,-111.5,-110.0,118.75,-142.75,-112.25,-109.75,West,Pacific,West,Pacific,-114,-106,114,-134,-118,-104,-110,-110,124,-148,-108,-112,-110.0,-110.0,125.0,-150.0,-110.0,-110.0,-112,-114,112,-139,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 16:21:21,2025-12-14 21:10,Portland Trail Blazers,Golden State Warriors,No,536.0,Yes,-111.5,-108.0,160.75,-196.75,-110.17,-109.83,West,Northwest,West,Pacific,-108,-112,154,-184,-106,-114,-110,-110,164,-198,-115,-105,-110.0,-110.0,165.0,-200.0,-110.0,-110.0,-115,-110,160,-205,-113,-113,,,,,,,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,,,,,,,
