League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-01 23:05:15,2026-01-01 22:11,Sacramento Kings,Boston Celtics,No,2631.5,Yes,-110.83,-117.83,279.17,-389.33,-114.6,-111.0,West,Pacific,East,Atlantic,-114,-114,290,-410,-114,-114,-105,-125,215,-286,-111,-111,-110,-110,315,-420,-110,-110,-110,-120,280,-395,-120,-110,-121,-113,275.0,-400.0,,,-105.0,-125.0,300.0,-425.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-01 23:05:15,2026-01-01 22:40,Los Angeles Clippers,Utah Jazz,No,589.3,Yes,-110.33,-116.83,-8820.0,1500.0,-119.2,-68.4,West,Pacific,West,Northwest,-110,-118,-20000,2200,-138,104,-105,-118,-5000,1125,-118,-111,-105,-115,-600,425,-110,-110,-115,-115,-8500,2000,-120,-110,-117,-117,,,,,-110.0,-118.0,-10000.0,1750.0,-110.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-01 23:05:15,2026-01-02 19:10,Washington Wizards,Brooklyn Nets,No,203.5,Yes,-110.38,-109.25,43.57,-120.29,-109.86,-109.29,East,Southeast,East,Atlantic,-112,-108,106,-124,-110,-110,-110,-110,-101,-120,-110,-110,-110,-110,100,-120,-110,-110,-112,-108,-102,-118,-112,-108,-113,-112,100.0,-122.0,,,,,,,,,-106.0,-106.0,102.0,-118.0,-107.0,-107.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2026-01-01 23:05:15,2026-01-02 19:10,Indiana Pacers,San Antonio Spurs,No,997.0,Yes,-111.56,-108.11,185.0,-223.67,-109.62,-109.62,East,Central,West,Southwest,-110,-110,180,-215,-110,-110,-110,-110,178,-222,-110,-110,-115,-105,190,-230,-110,-110,-105,-115,180,-218,-110,-110,-113,-112,170.0,-215.0,,,-110.0,-110.0,185.0,-225.0,-110.0,-110.0,-111.0,-101.0,195.0,-228.0,-107.0,-107.0,-115.0,-105.0,192.0,-230.0,-110.0,-110.0,-115.0,-105.0,195.0,-230.0,-110.0,-110.0
NBA,2026-01-01 23:05:15,2026-01-02 19:40,New York Knicks,Atlanta Hawks,No,748.3,Yes,-109.22,-110.44,-301.78,243.0,-110.25,-109.0,East,Atlantic,East,Southeast,-110,-110,-290,235,-115,-105,-110,-110,-303,234,-110,-110,-105,-115,-330,265,-110,-110,-110,-110,-310,250,-110,-110,-112,-113,-286.0,220.0,,,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,-106.0,-106.0,-297.0,248.0,-107.0,-107.0,-110.0,-110.0,-300.0,245.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0
NBA,2026-01-01 23:05:15,2026-01-02 19:40,Cleveland Cavaliers,Denver Nuggets,No,1228.2,Yes,-109.11,-110.44,-806.75,545.5,-112.12,-107.25,East,Central,West,Northwest,-110,-110,-750,530,-112,-108,-110,-110,-833,522,-110,-110,-105,-115,-850,550,-110,-110,-102,-118,-800,550,-112,-108,-114,-110,-835.0,525.0,,,-115.0,-105.0,-800.0,550.0,-110.0,-110.0,-106.0,-106.0,-786.0,576.0,-113.0,-102.0,-110.0,-110.0,-800.0,561.0,-115.0,-105.0,-110.0,-110.0,,,-115.0,-105.0
NBA,2026-01-01 23:05:15,2026-01-02 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-109.22,-110.56,-239.0,196.22,-109.88,-109.38,East,Central,East,Southeast,-110,-110,-235,194,-112,-108,-110,-110,-244,194,-110,-110,-110,-110,-240,200,-110,-110,-115,-105,-245,200,-110,-110,-112,-114,-235.0,185.0,,,-115.0,-105.0,-250.0,200.0,-110.0,-110.0,-101.0,-111.0,-232.0,198.0,-107.0,-107.0,-105.0,-115.0,-235.0,195.0,-110.0,-110.0,-105.0,-115.0,-235.0,200.0,-110.0,-110.0
NBA,2026-01-01 23:05:15,2026-01-02 20:10,Chicago Bulls,Orlando Magic,No,985.5,Yes,-108.44,-111.22,157.33,-187.33,-110.25,-109.0,East,Central,East,Southeast,-108,-112,156,-186,-110,-110,-110,-110,156,-192,-110,-110,-110,-110,160,-185,-110,-110,-102,-118,160,-192,-115,-105,-115,-110,148.0,-186.0,,,-105.0,-115.0,154.0,-190.0,-110.0,-110.0,-106.0,-106.0,162.0,-185.0,-107.0,-107.0,-110.0,-110.0,161.0,-185.0,-110.0,-110.0,-110.0,-110.0,159.0,-185.0,-110.0,-110.0
NBA,2026-01-01 23:05:15,2026-01-02 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-111.11,-108.67,-59.11,-116.33,-109.25,-110.0,West,Southwest,West,Northwest,-110,-110,100,-118,-110,-110,-110,-110,-105,-116,-110,-110,-115,-105,-110,-110,-110,-110,-115,-105,-102,-118,-112,-108,-114,-112,-107.0,-117.0,,,-110.0,-110.0,105.0,-125.0,-105.0,-115.0,-106.0,-106.0,-103.0,-113.0,-107.0,-107.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0
NBA,2026-01-01 23:05:15,2026-01-02 21:10,Phoenix Suns,Sacramento Kings,Yes,635.3,Yes,-111.78,-107.89,-647.44,462.78,-109.62,-109.62,West,Pacific,West,Pacific,-112,-108,-600,450,-110,-110,-110,-110,-667,447,-110,-110,-110,-110,-700,475,-110,-110,-118,-102,-600,440,-110,-110,-115,-110,-670.0,440.0,,,-115.0,-105.0,-650.0,475.0,-110.0,-110.0,-106.0,-106.0,-640.0,487.0,-107.0,-107.0,-110.0,-110.0,-650.0,476.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0
