League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-02 01:40:33,2026-01-02 19:10,Washington Wizards,Brooklyn Nets,No,203.5,Yes,-110.33,-109.33,10.22,-118.78,-110.5,-108.75,East,Southeast,East,Atlantic,-112,-108,-102,-116,-110,-110,-110,-110,-101,-120,-110,-110,-112,-108,-102,-118,-112,-108,-106,-106,102,-118,-107,-107,-110,-110,100,-120,-110,-110,-110,-110,-105,-115,-110,-110,-110,-110,100,-120,-110,-110,-113,-112,100,-122,,,-110,-110,100,-120,-115,-105
NBA,2026-01-02 01:40:33,2026-01-02 19:10,Indiana Pacers,San Antonio Spurs,No,997.0,Yes,-111.33,-108.33,187.89,-227.89,-109.62,-109.62,East,Central,West,Southwest,-110,-110,200,-245,-110,-110,-110,-110,185,-233,-110,-110,-108,-112,190,-230,-110,-110,-111,-101,189,-221,-107,-107,-115,-105,187,-222,-110,-110,-110,-110,200,-240,-110,-110,-115,-105,185,-220,-110,-110,-113,-112,170,-215,,,-110,-110,185,-225,-110,-110
NBA,2026-01-02 01:40:33,2026-01-02 19:40,New York Knicks,Atlanta Hawks,No,748.3,Yes,-109.22,-110.44,-302.0,243.33,-110.25,-109.0,East,Atlantic,East,Southeast,-110,-110,-290,235,-115,-105,-110,-110,-315,242,-110,-110,-110,-110,-310,250,-110,-110,-106,-106,-297,248,-107,-107,-110,-110,-300,245,-110,-110,-105,-115,-320,260,-110,-110,-110,-110,-300,250,-110,-110,-112,-113,-286,220,,,-110,-110,-300,240,-110,-110
NBA,2026-01-02 01:40:33,2026-01-02 19:40,Cleveland Cavaliers,Denver Nuggets,No,1228.2,Yes,-109.67,-109.89,-813.78,549.89,-107.38,-112.0,East,Central,West,Northwest,-110,-110,-770,540,-112,-108,-110,-110,-833,522,-110,-110,-102,-118,-800,550,-105,-115,-106,-106,-786,576,-102,-113,-110,-110,-800,561,-105,-115,-110,-110,-900,575,-110,-110,-110,-110,-800,550,-105,-115,-114,-110,-835,525,,,-115,-105,-800,550,-110,-110
NBA,2026-01-02 01:40:33,2026-01-02 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-109.22,-110.56,-238.44,195.67,-109.88,-109.38,East,Central,East,Southeast,-110,-110,-230,190,-112,-108,-110,-110,-244,193,-110,-110,-115,-105,-245,200,-110,-110,-101,-111,-232,198,-107,-107,-105,-115,-235,195,-110,-110,-110,-110,-240,200,-110,-110,-105,-115,-235,200,-110,-110,-112,-114,-235,185,,,-115,-105,-250,200,-110,-110
NBA,2026-01-02 01:40:33,2026-01-02 20:10,Chicago Bulls,Orlando Magic,No,985.5,Yes,-107.89,-111.78,158.44,-189.33,-110.0,-109.25,East,Central,East,Southeast,-106,-114,160,-190,-110,-110,-110,-110,157,-196,-110,-110,-102,-118,160,-192,-108,-112,-106,-106,162,-185,-107,-107,-110,-110,161,-185,-110,-110,-110,-110,165,-195,-110,-110,-110,-110,159,-185,-110,-110,-115,-110,148,-186,,,-102,-118,154,-190,-115,-105
NBA,2026-01-02 01:40:33,2026-01-02 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-112.22,-85.33,-105.89,-113.78,-109.88,-109.38,West,Southwest,West,Northwest,-110,-110,-106,-110,-114,-106,-110,-110,-105,-116,-110,-110,-115,-105,-102,-118,-108,-112,-106,-106,-103,-113,-107,-107,-110,-110,-105,-115,-110,-110,-115,-105,-110,-110,-110,-110,-110,-110,-105,-115,-110,-110,-114,-112,-107,-117,,,-120,100,-110,-110,-110,-110
NBA,2026-01-02 01:40:33,2026-01-02 21:10,Phoenix Suns,Sacramento Kings,Yes,635.3,Yes,-110.33,-109.33,-651.89,466.0,-109.38,-109.88,West,Pacific,West,Pacific,-112,-108,-590,440,-108,-112,-110,-110,-667,456,-110,-110,-102,-118,-650,470,-110,-110,-106,-106,-640,487,-107,-107,-110,-110,-650,476,-110,-110,-110,-110,-700,475,-110,-110,-110,-110,-650,475,-110,-110,-115,-110,-670,440,,,-118,-102,-650,475,-110,-110
NBA,2026-01-02 01:40:33,2026-01-02 22:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-112.67,-40.22,298.11,-381.22,-109.62,-109.62,West,Pacific,West,Northwest,-108,-112,310,-390,-110,-110,-110,-110,290,-385,-110,-110,-105,-115,300,-380,-110,-110,-116,104,304,-371,-107,-107,-120,100,299,-375,-110,-110,-115,-105,290,-380,-110,-110,-120,100,300,-375,-110,-110,-115,-109,280,-375,,,-105,-115,310,-400,-110,-110
NBA,2026-01-02 01:40:33,2026-01-02 22:40,Los Angeles Lakers,Memphis Grizzlies,No,1604.9,Yes,-107.56,-112.11,-177.89,149.0,-109.5,-109.75,West,Pacific,West,Southwest,-108,-112,-186,154,-114,-106,-110,-110,-175,142,-110,-110,-102,-118,-180,150,-110,-110,-106,-106,-175,154,-107,-107,-110,-110,-175,153,-110,-110,-110,-110,-175,150,-110,-110,-110,-110,-175,150,-110,-110,-110,-115,-180,143,,,-102,-118,-180,145,-105,-115
