League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-02 20:58:14,2026-01-02 19:12,Washington Wizards,Brooklyn Nets,No,203.5,Yes,-115.67,-114.83,-10000.0,3300.0,-128.8,-63.6,East,Southeast,East,Atlantic,-118,-112,,,-112,-118,-118.0,-111.0,,,-182.0,135.0,-120.0,-110.0,,,-125.0,-105.0,-120.0,-110.0,,,-115.0,-115.0,-113.0,-121.0,,,,,-105.0,-125.0,-10000.0,3300.0,-110.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 20:58:14,2026-01-02 19:12,Indiana Pacers,San Antonio Spurs,No,997.0,Yes,-77.83,-119.33,483.33,-804.67,-114.4,-116.4,East,Central,West,Southwest,-114,-114,520.0,-900.0,-118,-112,110.0,-143.0,500.0,-833.0,-111.0,-125.0,-115.0,-115.0,500.0,-810.0,-115.0,-115.0,-110.0,-120.0,400.0,-650.0,-110.0,-120.0,-120.0,-114.0,480.0,-835.0,,,-118.0,-110.0,500.0,-800.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 20:58:14,2026-01-02 19:35,New York Knicks,Atlanta Hawks,No,748.3,Yes,-119.33,-110.0,330.83,-497.17,-113.6,-114.4,East,Atlantic,East,Southeast,-130,-102,330.0,-480.0,-112,-118,-118.0,-105.0,230.0,-333.0,-111.0,-111.0,-120.0,-110.0,370.0,-560.0,-120.0,-110.0,-115.0,-115.0,240.0,-335.0,-115.0,-115.0,-115.0,-118.0,390.0,-625.0,,,-118.0,-110.0,425.0,-650.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 20:58:14,2026-01-02 19:42,Cleveland Cavaliers,Denver Nuggets,No,1228.2,Yes,-118.33,-79.0,-381.33,260.83,-118.8,-71.8,East,Central,West,Northwest,-132,100,-290.0,215.0,-146,110,-118.0,-111.0,-833.0,500.0,-118.0,-111.0,-105.0,-125.0,-270.0,200.0,-110.0,-120.0,-115.0,-115.0,-385.0,265.0,-110.0,-120.0,-115.0,-118.0,-235.0,175.0,,,-125.0,-105.0,-275.0,210.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 20:58:14,2026-01-02 20:10,Chicago Bulls,Orlando Magic,No,985.5,Yes,-120.5,-77.33,189.33,-251.83,-114.4,-115.2,East,Central,East,Southeast,-140,106,146.0,-188.0,-106,-125,-111.0,-118.0,195.0,-250.0,-118.0,-111.0,-115.0,-115.0,220.0,-298.0,-115.0,-115.0,-115.0,-115.0,135.0,-175.0,-115.0,-115.0,-117.0,-117.0,220.0,-305.0,,,-125.0,-105.0,220.0,-295.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 20:58:14,2026-01-02 20:11,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-117.0,-80.5,140.67,-184.0,-110.8,-117.2,East,Central,East,Southeast,-140,106,134.0,-172.0,-108,-122,-111.0,-118.0,150.0,-200.0,-111.0,-111.0,-110.0,-120.0,140.0,-180.0,-110.0,-120.0,-110.0,-120.0,150.0,-200.0,-115.0,-115.0,-113.0,-121.0,125.0,-162.0,,,-118.0,-110.0,145.0,-190.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 20:58:14,2026-01-02 20:11,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-119.83,-77.17,-43.0,-117.67,-67.8,-121.6,West,Southwest,West,Northwest,-136,102,-113.0,-113.0,-108,-122,-111.0,-111.0,100.0,-125.0,-111.0,-111.0,-105.0,-125.0,-120.0,-110.0,-110.0,-120.0,-115.0,-115.0,100.0,-130.0,-115.0,-115.0,-122.0,-112.0,-115.0,-113.0,,,-130.0,-102.0,-110.0,-115.0,105.0,-140.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 20:58:14,2026-01-02 21:10,Phoenix Suns,Sacramento Kings,Yes,635.3,Yes,-110.44,-109.33,-766.33,528.67,-109.75,-109.62,West,Pacific,West,Pacific,-108,-112,-770.0,560.0,-114,-106,-110.0,-110.0,-769.0,516.0,-110.0,-110.0,-110.0,-110.0,-750.0,525.0,-112.0,-108.0,-110.0,-110.0,-750.0,500.0,-110.0,-110.0,-114.0,-112.0,-910.0,550.0,,,-110.0,-110.0,-800.0,550.0,-115.0,-105.0,-108.0,-104.0,-708.0,530.0,-102.0,-113.0,-112.0,-108.0,-720.0,517.0,-105.0,-115.0,-112.0,-108.0,-720.0,510.0,-110.0,-110.0
NBA,2026-01-02 20:58:14,2026-01-02 22:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-106.89,-112.89,494.11,-700.11,-109.88,-109.38,West,Pacific,West,Northwest,-108,-112,530.0,-750.0,-112,-108,-110.0,-110.0,464.0,-667.0,-110.0,-110.0,-105.0,-115.0,500.0,-700.0,-110.0,-110.0,-105.0,-115.0,460.0,-675.0,-110.0,-110.0,-113.0,-113.0,500.0,-770.0,,,-105.0,-115.0,525.0,-750.0,-110.0,-110.0,-101.0,-111.0,502.0,-664.0,-107.0,-107.0,-105.0,-115.0,491.0,-675.0,-110.0,-110.0,-110.0,-110.0,475.0,-650.0,-110.0,-110.0
NBA,2026-01-02 20:58:14,2026-01-02 22:40,Los Angeles Lakers,Memphis Grizzlies,No,1604.9,Yes,-111.67,-108.0,-183.78,154.33,-109.62,-109.62,West,Pacific,West,Southwest,-108,-112,-180.0,152.0,-112,-108,-110.0,-110.0,-185.0,151.0,-110.0,-110.0,-112.0,-108.0,-192.0,160.0,-108.0,-112.0,-115.0,-105.0,-165.0,140.0,-110.0,-110.0,-113.0,-112.0,-182.0,145.0,,,-110.0,-110.0,-190.0,155.0,-110.0,-110.0,-109.0,-103.0,-185.0,162.0,-107.0,-107.0,-113.0,-107.0,-185.0,161.0,-110.0,-110.0,-115.0,-105.0,-190.0,163.0,-110.0,-110.0
