League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-03 21:21:34,2026-01-03 19:41,New York Knicks,Philadelphia 76ers,Yes,85.5,Yes,-82.33,-115.33,568.33,-1212.5,-110.0,-120.2,East,Atlantic,East,Atlantic,100,-132,900,-2500,-102,-130,-125.0,-105.0,800.0,-2000.0,-118.0,-111.0,-115,-115,360,-540,-110,-120,-125.0,-105.0,450.0,-700.0,-105.0,-125.0,-115.0,-115.0,425.0,-700.0,-115.0,-115.0,-114.0,-120.0,475.0,-835.0,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-03 21:21:34,2026-01-03 19:42,Toronto Raptors,Atlanta Hawks,No,733.5,Yes,-78.0,-120.0,-206.17,156.17,-66.4,-124.0,East,Atlantic,East,Southeast,104,-138,-146,114,114,-152,-105.0,-125.0,-286.0,215.0,-111.0,-118.0,-110,-120,-188,145,-110,-120,-125.0,-105.0,-150.0,115.0,-110.0,-115.0,-110.0,-120.0,-300.0,220.0,-115.0,-115.0,-122.0,-112.0,-167.0,128.0,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-03 21:21:34,2026-01-03 20:10,Chicago Bulls,Charlotte Hornets,No,589.3,Yes,-115.33,-114.5,-277.5,203.33,-74.8,-74.2,East,Central,East,Southeast,-102,-130,-250,190,-136,102,-105.0,-118.0,-400.0,270.0,110.0,-133.0,-120,-110,-230,175,-110,-120,-125.0,-105.0,-235.0,185.0,-118.0,-110.0,-120.0,-110.0,-325.0,230.0,-120.0,-110.0,-120.0,-114.0,-225.0,170.0,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-03 21:21:34,2026-01-03 20:12,San Antonio Spurs,Portland Trail Blazers,No,1721.8,Yes,-78.17,-117.5,-171.17,131.5,-117.2,-111.6,West,Southwest,West,Northwest,100,-132,-170,132,-118,-112,-118.0,-105.0,-167.0,130.0,-118.0,-111.0,-110,-120,-175,135,-120,-110,-110.0,-115.0,-175.0,135.0,-115.0,-110.0,-110.0,-120.0,-165.0,125.0,-115.0,-115.0,-121.0,-113.0,-175.0,132.0,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-03 21:21:34,2026-01-03 20:41,Dallas Mavericks,Houston Rockets,Yes,226.3,Yes,-113.5,-115.67,183.0,-246.17,-113.6,-115.4,West,Southwest,West,Southwest,-122,-108,154,-200,-114,-114,-105.0,-118.0,170.0,-222.0,-111.0,-118.0,-110,-120,154,-200,-110,-120,-115.0,-115.0,175.0,-225.0,-118.0,-110.0,-115.0,-115.0,280.0,-410.0,-115.0,-115.0,-114.0,-118.0,165.0,-220.0,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-03 21:21:34,2026-01-03 22:10,Golden State Warriors,Utah Jazz,No,598.7,Yes,-110.11,-109.67,-538.67,399.67,-111.38,-108.0,West,Pacific,West,Northwest,-108,-112,-500,385,-110,-110,-110.0,-110.0,-526.0,379.0,-110.0,-110.0,-105,-115,-550,410,-108,-112,-115.0,-105.0,-550.0,400.0,-115.0,-105.0,-110.0,-110.0,-550.0,390.0,-110.0,-110.0,-117.0,-109.0,-530.0,370.0,,,-106.0,-106.0,-542.0,423.0,-113.0,-102.0,-110.0,-110.0,-550.0,415.0,-115.0,-105.0,-110.0,-110.0,-550.0,425.0,-110.0,-110.0
NBA,2026-01-03 21:21:34,2026-01-03 22:40,Los Angeles Clippers,Boston Celtics,No,2604.9,Yes,-108.89,-110.78,-118.44,-34.89,-109.38,-109.88,West,Pacific,East,Atlantic,-110,-110,-120,102,-115,-105,-110.0,-110.0,-120.0,-101.0,-110.0,-110.0,-110,-110,-120,100,-112,-108,-105.0,-115.0,-118.0,-102.0,-105.0,-115.0,-105.0,-115.0,-120.0,100.0,-110.0,-110.0,-110.0,-115.0,-121.0,-104.0,,,-108.0,-104.0,-115.0,-101.0,-105.0,-109.0,-112.0,-108.0,-117.0,-103.0,-108.0,-112.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0
NBA,2026-01-03 21:21:34,2026-01-04 14:10,Cleveland Cavaliers,Detroit Pistons,Yes,91.4,No,-113.0,-105.0,-182.5,153.0,-108.75,-109.75,East,Central,East,Central,-108,-112,-180,152,-108,-112,,,,,,,-118,-102,-185,154,-110,-110,,,,,,,,,,,,,,,,,,,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-03 21:21:34,2026-01-04 15:10,Orlando Magic,Indiana Pacers,No,820.2,No,-108.75,-109.25,-290.0,235.0,-108.75,-109.75,East,Southeast,East,Central,-114,-106,-290,235,-110,-110,,,,,,,-115,-105,-290,235,-108,-112,,,,,,,,,,,,,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-03 21:21:34,2026-01-04 15:40,Brooklyn Nets,Denver Nuggets,No,1634.1,No,-111.25,-106.75,131.0,-155.5,-107.5,-111.0,East,Atlantic,West,Northwest,-114,-106,132,-156,-108,-112,,,,,,,-115,-105,130,-155,-105,-115,,,,,,,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
