League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-03 23:13:11,2026-01-03 22:11,Golden State Warriors,Utah Jazz,No,598.7,Yes,-81.67,-114.83,-190.67,146.5,-114.0,-114.8,West,Pacific,West,Northwest,102,-136,-188,146,-112,-118,-118,-105,-286,220,-118,-111,-115,-115,-180,140,-115,-115,-118,-110,-150,115,-110,-115,-121.0,-113.0,-175.0,133.0,,,-120,-110,-165.0,125.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-03 23:13:11,2026-01-03 22:40,Los Angeles Clippers,Boston Celtics,No,2604.9,Yes,-77.33,-118.33,185.83,-270.67,-109.6,-116.8,West,Pacific,East,Atlantic,102,-136,285,-400,-102,-130,-111,-118,210,-286,-111,-111,-120,-110,220,-298,-115,-115,-110,-118,240,-325,-110,-118,-115.0,-118.0,285.0,-420.0,,,-110,-110,-125.0,105.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-03 23:13:11,2026-01-04 14:10,Cleveland Cavaliers,Detroit Pistons,Yes,91.4,No,-108.38,-110.62,-206.62,173.75,-109.62,-109.62,East,Central,East,Central,-114,-106,-215,180,-110,-110,-110,-110,-213,171,-110,-110,-102,-118,-205,170,-110,-110,-105,-115,-220,180,-110,-110,,,,,,,-110,-110,-200.0,170.0,-110.0,-110.0,-110.0,-110.0,-200.0,174.0,-110.0,-110.0,-106.0,-106.0,-200.0,175.0,-107.0,-107.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0
NBA,2026-01-03 23:13:11,2026-01-04 15:10,Orlando Magic,Indiana Pacers,No,820.2,No,-109.25,-109.75,-281.62,230.5,-109.12,-110.12,East,Southeast,East,Central,-110,-110,-260,215,-108,-112,-110,-110,-286,225,-110,-110,-115,-105,-285,230,-108,-112,-118,-102,-285,230,-110,-110,,,,,,,-110,-110,-285.0,235.0,-110.0,-110.0,-105.0,-115.0,-285.0,234.0,-110.0,-110.0,-101.0,-111.0,-282.0,237.0,-107.0,-107.0,-105.0,-115.0,-285.0,238.0,-110.0,-110.0
NBA,2026-01-03 23:13:11,2026-01-04 15:40,Brooklyn Nets,Denver Nuggets,No,1634.1,No,-83.12,-110.88,130.38,-153.0,-112.14,-107.14,East,Atlantic,West,Northwest,-106,-114,134,-158,-112,-108,-110,-110,123,-152,-110,-110,-118,-102,130,-155,-115,-105,100,-120,135,-160,-105,-115,,,,,,,-105,-115,130.0,-150.0,,,-110.0,-110.0,130.0,-150.0,-115.0,-105.0,-106.0,-106.0,132.0,-149.0,-113.0,-102.0,-110.0,-110.0,129.0,-150.0,-115.0,-105.0
NBA,2026-01-03 23:13:11,2026-01-04 18:10,Miami Heat,New Orleans Pelicans,No,669.6,No,-108.88,-110.12,-282.88,230.5,-110.88,-108.38,East,Southeast,West,Southwest,-110,-110,-255,210,-110,-110,-110,-110,-286,225,-110,-110,-105,-115,-290,235,-115,-105,-110,-110,-295,230,-115,-105,,,,,,,-110,-110,-285.0,235.0,-110.0,-110.0,-110.0,-110.0,-285.0,234.0,-110.0,-110.0,-106.0,-106.0,-282.0,237.0,-107.0,-107.0,-110.0,-110.0,-285.0,238.0,-110.0,-110.0
NBA,2026-01-03 23:13:11,2026-01-04 18:10,Washington Wizards,Minnesota Timberwolves,No,934.6,No,-111.12,-107.88,350.38,-458.75,-112.12,-107.25,East,Southeast,West,Northwest,-112,-108,360,-460,-112,-108,-110,-110,342,-476,-110,-110,-118,-102,340,-440,-112,-108,-118,-102,340,-450,-110,-110,,,,,,,-105,-115,360.0,-500.0,-110.0,-110.0,-110.0,-110.0,350.0,-450.0,-115.0,-105.0,-106.0,-106.0,356.0,-444.0,-113.0,-102.0,-110.0,-110.0,355.0,-450.0,-115.0,-105.0
NBA,2026-01-03 23:13:11,2026-01-04 20:10,Phoenix Suns,Oklahoma City Thunder,No,841.9,Yes,-110.75,-108.25,283.5,-356.0,-108.75,-110.5,West,Pacific,West,Northwest,-110,-110,290,-360,-108,-112,-110,-110,274,-357,-110,-110,-115,-105,285,-360,-105,-115,-115,-105,280,-350,-110,-110,,,,,,,-110,-110,280.0,-360.0,-110.0,-110.0,-110.0,-110.0,285.0,-355.0,-110.0,-110.0,-106.0,-106.0,289.0,-351.0,-107.0,-107.0,-110.0,-110.0,285.0,-355.0,-110.0,-110.0
NBA,2026-01-03 23:13:11,2026-01-04 21:10,Sacramento Kings,Milwaukee Bucks,No,1775.2,Yes,-110.88,-108.12,200.14,-244.0,-109.62,-109.62,West,Pacific,East,Central,-108,-112,198,-240,-110,-110,-110,-110,215,-278,-110,-110,-118,-102,195,-238,-110,-110,-115,-105,200,-250,-110,-110,,,,,,,-110,-110,,,-110.0,-110.0,-110.0,-110.0,195.0,-235.0,-110.0,-110.0,-106.0,-106.0,198.0,-232.0,-107.0,-107.0,-110.0,-110.0,200.0,-235.0,-110.0,-110.0
NBA,2026-01-03 23:13:11,2026-01-04 21:40,Los Angeles Lakers,Memphis Grizzlies,No,1604.9,Yes,-109.0,-110.0,-241.0,198.29,-109.38,-109.88,West,Pacific,West,Southwest,-106,-114,-240,198,-106,-114,-110,-110,-256,200,-110,-110,-110,-110,-238,195,-112,-108,-110,-110,-235,190,-110,-110,,,,,,,-110,-110,,,-110.0,-110.0,-110.0,-110.0,-240.0,200.0,-110.0,-110.0,-106.0,-106.0,-238.0,202.0,-107.0,-107.0,-110.0,-110.0,-240.0,203.0,-110.0,-110.0
