League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-05 21:04:56,2026-01-05 19:12,Detroit Pistons,New York Knicks,No,482.2,Yes,-29.4,-121.4,-9950.0,1918.75,-117.0,-112.75,East,Central,East,Atlantic,100,-132,-20000,3000,-122,-108,100,-133,-5000.0,1075.0,-111,-118,-110.0,-120.0,-4800.0,1600.0,-110.0,-120.0,-122,-112,,,,,-115.0,-110.0,-10000.0,2000.0,-125.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-05 21:04:56,2026-01-05 19:41,Toronto Raptors,Atlanta Hawks,No,733.5,Yes,-111.8,-118.0,-525.4,351.0,-59.5,-120.75,East,Atlantic,East,Southeast,-120,-110,-650,420,100,-132,-105,-118,-667.0,425.0,-118,-111,-120.0,-110.0,-425.0,300.0,-115.0,-115.0,-112,-122,-435.0,300.0,,,-102.0,-130.0,-450.0,310.0,-105.0,-125.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-05 21:04:56,2026-01-05 19:41,Boston Celtics,Chicago Bulls,No,852.9,Yes,-71.8,-120.2,-8500.0,1783.33,-49.25,-136.0,East,Atlantic,East,Central,-122,-106,-7000,1500,-114,-114,105,-143,,,145,-200,-110.0,-120.0,-8500.0,2000.0,-110.0,-120.0,-117,-117,,,,,-115.0,-115.0,-10000.0,1850.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-05 21:04:56,2026-01-05 20:10,Oklahoma City Thunder,Charlotte Hornets,No,941.0,Yes,-71.8,-117.4,-135.0,64.2,-116.5,-113.0,West,Northwest,East,Southeast,104,-138,-130,102,-125,-106,-118,-105,-182.0,140.0,-111,-118,-115.0,-115.0,-130.0,100.0,-120.0,-110.0,-120,-114,-108.0,-121.0,,,-110.0,-115.0,-125.0,100.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-05 21:04:56,2026-01-05 20:11,Houston Rockets,Phoenix Suns,No,1016.4,Yes,-117.0,-112.0,-160.4,83.6,-112.5,-115.0,West,Southwest,West,Pacific,-118,-112,-180,140,-114,-114,-118,-105,-200.0,155.0,-111,-111,-110.0,-120.0,-120.0,-110.0,-110.0,-120.0,-121,-113,-167.0,128.0,,,-118.0,-110.0,-135.0,105.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-05 21:04:56,2026-01-05 20:41,Philadelphia 76ers,Denver Nuggets,No,1579.7,Yes,-123.6,-67.0,-1072.8,592.0,-112.5,-117.75,East,Atlantic,West,Northwest,-152,114,-1000,560,-102,-130,-118,-105,-714.0,450.0,-118,-111,-110.0,-120.0,-1300.0,700.0,-115.0,-115.0,-120,-114,-1250.0,650.0,,,-118.0,-110.0,-1100.0,600.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-05 21:04:56,2026-01-05 22:10,Los Angeles Clippers,Golden State Warriors,Yes,348.5,Yes,-108.78,-111.0,131.67,-156.0,-107.62,-111.62,West,Pacific,West,Pacific,-112,-108,138,-164,-110,-110,-110,-110,138.0,-169.0,-110,-110,-105.0,-115.0,130.0,-155.0,-110.0,-110.0,-112,-114,110.0,-137.0,,,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-107.0,-113.0,137.0,-157.0,-107.0,-113.0,-103.0,-109.0,138.0,-157.0,-104.0,-110.0,-110.0,-110.0,125.0,-145.0,-105.0,-115.0,-110.0,-110.0,134.0,-155.0,-105.0,-115.0
NBA,2026-01-05 21:04:56,2026-01-05 22:10,Portland Trail Blazers,Utah Jazz,Yes,635.0,Yes,-107.78,-112.0,-229.44,189.0,-107.88,-111.38,West,Northwest,West,Northwest,-110,-110,-220,184,-110,-110,-110,-110,-227.0,182.0,-110,-110,-105.0,-115.0,-230.0,190.0,-105.0,-115.0,-117,-109,-240.0,188.0,,,-105.0,-115.0,-235.0,190.0,-105.0,-115.0,-106.0,-114.0,-230.0,192.0,-108.0,-112.0,-102.0,-110.0,-228.0,195.0,-105.0,-109.0,-110.0,-110.0,-225.0,185.0,-110.0,-110.0,-105.0,-115.0,-230.0,195.0,-110.0,-110.0
NBA,2026-01-05 21:04:56,2026-01-06 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-112.0,-110.0,175.33,-218.67,-110.0,-110.0,East,Central,East,Central,-112,-108,188,-225,-110,-110,-110,-110,158.0,-196.0,-110,-110,,,,,,,-114,-112,180.0,-235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-05 21:04:56,2026-01-06 19:10,Washington Wizards,Orlando Magic,Yes,756.6,Yes,-109.8,-109.8,240.0,-306.0,-109.25,-109.25,East,Southeast,East,Southeast,-110,-110,250,-310,-110,-110,-110,-110,235.0,-303.0,-110,-110,,,,,,,-113,-113,235.0,-305.0,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,,,,,,,
