League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-06 21:04:53,2026-01-06 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-70.8,-81.2,144.0,-188.6,-114.5,-117.0,East,Central,East,Central,-136,102,142,-184,-120,-110,120.0,-154.0,120.0,-154.0,-118.0,-118.0,-113.0,-121.0,163.0,-220.0,,,-115.0,-115.0,150.0,-195.0,-105.0,-125.0,-110.0,-118.0,145.0,-190.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-06 21:04:53,2026-01-06 19:11,Washington Wizards,Orlando Magic,Yes,756.6,Yes,-72.4,-118.6,-400.2,272.0,-114.75,-115.25,East,Southeast,East,Southeast,104,-138,-280,210,-106,-125,-111.0,-118.0,-833.0,500.0,-118.0,-111.0,-120.0,-114.0,-265.0,190.0,,,-125.0,-105.0,-298.0,220.0,-120.0,-110.0,-110.0,-118.0,-325.0,240.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-06 21:04:53,2026-01-06 20:10,New Orleans Pelicans,Los Angeles Lakers,No,1673.5,Yes,-116.2,-113.2,145.0,-187.8,-114.0,-113.75,West,Southwest,West,Pacific,-122,-110,146,-188,-118,-112,-118.0,-105.0,195.0,-250.0,-105.0,-118.0,-113.0,-121.0,140.0,-186.0,,,-110.0,-120.0,124.0,-160.0,-115.0,-115.0,-118.0,-110.0,120.0,-155.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-06 21:04:53,2026-01-06 20:11,Memphis Grizzlies,San Antonio Spurs,Yes,628.7,Yes,-112.2,-117.8,421.0,-672.0,-118.25,-110.5,West,Southwest,West,Southwest,-114,-114,390,-590,-130,-102,-105.0,-125.0,295.0,-400.0,-118.0,-105.0,-114.0,-120.0,500.0,-910.0,,,-110.0,-120.0,420.0,-660.0,-110.0,-120.0,-118.0,-110.0,500.0,-800.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-06 21:04:53,2026-01-06 20:13,Minnesota Timberwolves,Miami Heat,No,1511.3,Yes,-111.4,-117.2,-290.8,215.0,-116.5,-112.75,West,Northwest,East,Southeast,-102,-130,-280,210,-118,-112,-105.0,-118.0,-286.0,210.0,-118.0,-111.0,-115.0,-118.0,-315.0,225.0,,,-120.0,-110.0,-298.0,220.0,-120.0,-110.0,-115.0,-110.0,-275.0,210.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-06 21:04:53,2026-01-06 23:10,Sacramento Kings,Dallas Mavericks,No,1439.9,Yes,-108.0,-111.78,164.78,-196.89,-110.62,-108.62,West,Pacific,West,Southwest,-106,-114,164,-196,-110,-110,-110.0,-110.0,159.0,-196.0,-110.0,-110.0,-114.0,-112.0,155.0,-200.0,,,-102.0,-118.0,164.0,-198.0,-118.0,-102.0,-102.0,-118.0,165.0,-200.0,-110.0,-110.0,-107.0,-105.0,172.0,-196.0,-107.0,-107.0,-111.0,-109.0,171.0,-196.0,-110.0,-110.0,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-110.0,-110.0,163.0,-190.0,-110.0,-110.0
NBA,2026-01-06 21:04:53,2026-01-07 19:10,Boston Celtics,Denver Nuggets,No,1770.4,Yes,-107.2,-111.2,-363.33,286.67,-107.6,-111.2,East,Atlantic,West,Northwest,-110,-110,-355,285,-106,-114,,,,,,,,,,,,,-110.0,-110.0,-360.0,285.0,-110.0,-110.0,-110.0,-110.0,-375.0,290.0,-105.0,-115.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2026-01-06 21:04:53,2026-01-07 19:10,Charlotte Hornets,Toronto Raptors,No,586.0,Yes,-108.6,-109.8,109.0,-130.67,-109.2,-109.8,East,Southeast,East,Atlantic,-112,-108,112,-132,-114,-106,,,,,,,,,,,,,-115.0,-105.0,105.0,-125.0,-115.0,-105.0,-110.0,-110.0,110.0,-135.0,-110.0,-110.0,-101.0,-111.0,,,-102.0,-113.0,-105.0,-115.0,,,-105.0,-115.0,,,,,,,,,,,,
NBA,2026-01-06 21:04:53,2026-01-07 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-108.8,-109.6,-448.33,343.33,-109.4,-109.4,East,Central,East,Central,-108,-112,-430,340,-110,-110,,,,,,,,,,,,,-110.0,-110.0,-440.0,340.0,-110.0,-110.0,-110.0,-110.0,-475.0,350.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2026-01-06 21:04:53,2026-01-07 19:40,New York Knicks,Los Angeles Clippers,No,2459.8,Yes,-113.2,-105.2,-221.0,183.33,-110.2,-108.6,East,Atlantic,West,Pacific,-110,-110,-225,190,-114,-106,,,,,,,,,,,,,-115.0,-105.0,-218.0,180.0,-110.0,-110.0,-115.0,-105.0,-220.0,180.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,,,,,,,
