League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-06 23:04:00,2026-01-06 23:10,Sacramento Kings,Dallas Mavericks,No,1439.9,Yes,-110.22,-110.33,162.44,-195.11,-109.62,-109.62,West,Pacific,West,Southwest,-108,-112,160,-190,-110,-110,-111.0,-101.0,162.0,-185.0,-107.0,-107.0,-115.0,-105.0,161.0,-185.0,-110.0,-110.0,-110.0,-110.0,162.0,-204.0,-110.0,-110.0,-105,-115,160,-192,-110,-110,-118.0,-115.0,155.0,-205.0,,,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0,-105.0,-115.0,165.0,-200.0,-110.0,-110.0
NBA,2026-01-06 23:04:00,2026-01-07 19:10,Boston Celtics,Denver Nuggets,No,1770.4,Yes,-107.22,-112.56,-381.22,297.67,-109.12,-110.12,East,Atlantic,West,Northwest,-110,-110,-370,295,-106,-114,-101.0,-111.0,-371.0,304.0,-107.0,-107.0,-105.0,-115.0,-375.0,299.0,-110.0,-110.0,-110.0,-110.0,-370.0,281.0,-110.0,-110.0,-105,-115,-375,295,-115,-105,-114.0,-112.0,-385.0,290.0,,,-110.0,-110.0,-410.0,305.0,-110.0,-110.0,-105.0,-115.0,-375.0,300.0,-110.0,-110.0,-105.0,-115.0,-400.0,310.0,-105.0,-115.0
NBA,2026-01-06 23:04:00,2026-01-07 19:10,Charlotte Hornets,Toronto Raptors,No,586.0,Yes,-108.0,-111.78,115.44,-137.11,-108.25,-111.12,East,Southeast,East,Atlantic,-108,-112,118,-138,-114,-106,-101.0,-111.0,117.0,-133.0,-102.0,-113.0,-105.0,-115.0,115.0,-135.0,-105.0,-115.0,-110.0,-110.0,113.0,-139.0,-110.0,-110.0,-110,-110,114,-135,-110,-110,-113.0,-113.0,112.0,-139.0,,,-110.0,-110.0,120.0,-140.0,-110.0,-110.0,-105.0,-115.0,115.0,-135.0,-105.0,-115.0,-110.0,-110.0,115.0,-140.0,-110.0,-110.0
NBA,2026-01-06 23:04:00,2026-01-07 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-109.56,-110.11,-458.33,348.22,-109.38,-109.88,East,Central,East,Central,-108,-112,-405,320,-110,-110,-106.0,-106.0,-444.0,356.0,-107.0,-107.0,-110.0,-110.0,-450.0,350.0,-110.0,-110.0,-110.0,-110.0,-476.0,343.0,-110.0,-110.0,-110,-110,-470,360,-108,-112,-112.0,-113.0,-480.0,340.0,,,-110.0,-110.0,-500.0,360.0,-110.0,-110.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0,-110.0,-110.0,-450.0,350.0,-110.0,-110.0
NBA,2026-01-06 23:04:00,2026-01-07 19:40,Brooklyn Nets,Orlando Magic,No,936.6,Yes,-111.5,-108.5,116.0,-137.0,-111.0,-109.0,East,Atlantic,East,Southeast,-108,-112,122,-144,-112,-108,,,,,,,,,,,,,,,,,,,-115,-105,110,-130,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-06 23:04:00,2026-01-07 19:40,New York Knicks,Los Angeles Clippers,No,2459.8,Yes,-112.67,-107.11,-222.22,183.0,-110.12,-109.12,East,Atlantic,West,Pacific,-108,-112,-220,180,-114,-106,-111.0,-101.0,-219.0,188.0,-107.0,-107.0,-115.0,-105.0,-220.0,186.0,-110.0,-110.0,-110.0,-110.0,-208.0,168.0,-110.0,-110.0,-115,-105,-218,180,-110,-110,-112.0,-114.0,-235.0,185.0,,,-110.0,-110.0,-225.0,185.0,-110.0,-110.0,-115.0,-105.0,-220.0,185.0,-110.0,-110.0,-118.0,-102.0,-235.0,190.0,-110.0,-110.0
NBA,2026-01-06 23:04:00,2026-01-07 20:10,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,-109.0,-110.78,-1495.67,838.56,-109.38,-109.88,West,Northwest,West,Northwest,-106,-114,-1500,870,-110,-110,-106.0,-106.0,-1464.0,910.0,-107.0,-107.0,-110.0,-110.0,-1500.0,874.0,-110.0,-110.0,-110.0,-110.0,-1667.0,868.0,-110.0,-110.0,-105,-115,-1200,750,-108,-112,-114.0,-112.0,-1430.0,750.0,,,-105.0,-115.0,-1800.0,850.0,-110.0,-110.0,-110.0,-110.0,-1500.0,850.0,-110.0,-110.0,-115.0,-105.0,-1400.0,825.0,-110.0,-110.0
NBA,2026-01-06 23:04:00,2026-01-07 21:40,San Antonio Spurs,Los Angeles Lakers,No,1208.0,Yes,-112.5,-107.5,-229.0,189.0,-110.0,-110.0,West,Southwest,West,Pacific,-110,-110,-240,198,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,-218,180,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-06 23:04:00,2026-01-07 22:10,Golden State Warriors,Milwaukee Bucks,No,1840.7,Yes,-108.33,-111.33,-237.78,194.44,-109.12,-110.12,West,Pacific,East,Central,-110,-110,-235,194,-106,-114,-103.0,-109.0,-232.0,198.0,-107.0,-107.0,-107.0,-113.0,-235.0,195.0,-110.0,-110.0,-110.0,-110.0,-263.0,208.0,-110.0,-110.0,-110,-110,-245,200,-110,-110,-110.0,-115.0,-225.0,175.0,,,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-105.0,-115.0,-235.0,200.0,-110.0,-110.0,-110.0,-110.0,-250.0,200.0,-110.0,-110.0
NBA,2026-01-06 23:04:00,2026-01-07 22:10,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-112.0,-107.67,201.22,-245.89,-108.62,-110.62,West,Northwest,West,Southwest,-112,-108,198,-240,-112,-108,-106.0,-106.0,202.0,-238.0,-107.0,-107.0,-110.0,-110.0,200.0,-240.0,-110.0,-110.0,-110.0,-110.0,213.0,-270.0,-110.0,-110.0,-115,-105,200,-245,-105,-115,-115.0,-110.0,185.0,-240.0,,,-115.0,-105.0,210.0,-250.0,-110.0,-110.0,-110.0,-110.0,203.0,-240.0,-110.0,-110.0,-115.0,-105.0,200.0,-250.0,-105.0,-115.0
