League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-07 21:04:55,2026-01-07 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-77.6,-36.0,-6000.0,2062.5,-70.75,-66.5,East,Central,East,Central,-106,-125,,,-158,118,-143.0,105.0,-2000.0,825.0,105.0,-154.0,105,-135,,,-125,-105,-140.0,105.0,-10000.0,3300.0,-105.0,-125.0,-104.0,-130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 21:04:55,2026-01-07 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-78.6,-112.4,,,-146.25,-45.0,East,Atlantic,East,Southeast,104,-138,,,-110,-120,-125.0,-105.0,,,-250.0,175.0,-125,-105,,,-110,-120,-125.0,-102.0,,,-115.0,-115.0,-122.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 21:04:55,2026-01-07 19:11,Charlotte Hornets,Toronto Raptors,No,586.0,Yes,-118.8,-71.0,-279.8,197.2,-59.25,-70.75,East,Southeast,East,Atlantic,-112,-118,-192.0,148.0,-132,100,-133.0,105.0,-667.0,425.0,110.0,-143.0,-125,-105,-188.0,145.0,-105,-125,-102.0,-125.0,-190.0,145.0,-110.0,-115.0,-122.0,-112.0,-162.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 21:04:55,2026-01-07 19:13,Boston Celtics,Denver Nuggets,No,1770.4,Yes,-69.6,-121.8,-187.0,145.4,-58.5,-124.5,East,Atlantic,West,Northwest,102,-136,-166.0,130.0,114,-152,-111.0,-118.0,-222.0,175.0,-118.0,-118.0,-110,-120,-160.0,124.0,-120,-110,-115.0,-115.0,-220.0,170.0,-110.0,-118.0,-114.0,-120.0,-167.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 21:04:55,2026-01-07 19:41,Atlanta Hawks,New Orleans Pelicans,No,424.9,Yes,-119.0,-71.6,-4127.0,1205.0,-114.0,-114.5,East,Southeast,West,Southwest,-146,110,-4500.0,1200.0,-120,-110,-111.0,-118.0,-5000.0,1225.0,-111.0,-118.0,-105,-125,-4800.0,1600.0,-110,-120,-115.0,-110.0,-3000.0,1000.0,-115.0,-110.0,-118.0,-115.0,-3335.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 21:04:55,2026-01-07 19:41,Brooklyn Nets,Orlando Magic,No,936.6,Yes,-68.6,-123.2,262.0,-372.6,-120.25,-112.25,East,Atlantic,East,Southeast,110,-146,240.0,-330.0,-130,-102,-111.0,-118.0,230.0,-333.0,-111.0,-125.0,-105,-125,300.0,-425.0,-110,-120,-125.0,-105.0,220.0,-295.0,-130.0,-102.0,-112.0,-122.0,320.0,-480.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 21:04:55,2026-01-07 19:41,New York Knicks,Los Angeles Clippers,No,2459.8,Yes,-114.6,-116.2,-160.4,124.6,-113.0,-116.25,East,Atlantic,West,Pacific,-106,-125,-158.0,124.0,-108,-122,-118.0,-111.0,-133.0,105.0,-111.0,-118.0,-110,-120,-160.0,124.0,-115,-115,-125.0,-105.0,-165.0,130.0,-118.0,-110.0,-114.0,-120.0,-186.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 21:04:55,2026-01-07 20:11,Memphis Grizzlies,Phoenix Suns,No,1262.6,Yes,-117.0,-114.0,710.0,-1450.0,-56.25,-123.25,West,Southwest,West,Pacific,-122,-110,800.0,-1800.0,106,-140,-118.0,-111.0,500.0,-833.0,-111.0,-118.0,-120,-110,850.0,-1750.0,-110,-120,-105.0,-125.0,650.0,-1200.0,-110.0,-115.0,-120.0,-114.0,750.0,-1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 21:04:55,2026-01-07 20:11,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,-69.4,-120.0,-2500.0,934.0,-9.5,-119.25,West,Northwest,West,Northwest,-112,-118,-2500.0,870.0,100,-132,100.0,-125.0,-3333.0,1000.0,100.0,-125.0,-105,-125,-2500.0,1100.0,-120,-110,-110.0,-118.0,-2500.0,950.0,-118.0,-110.0,-120.0,-114.0,-1667.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 21:04:55,2026-01-07 21:40,San Antonio Spurs,Los Angeles Lakers,No,1208.0,Yes,-112.56,-107.22,-314.89,253.22,-109.12,-110.12,West,Southwest,West,Pacific,-110,-110,-310.0,250.0,-106,-114,-110.0,-110.0,-357.0,271.0,-110.0,-110.0,-115,-105,-310.0,250.0,-110,-110,-115.0,-105.0,-325.0,260.0,-110.0,-110.0,-114.0,-112.0,-315.0,245.0,,,-109.0,-103.0,-307.0,256.0,-107.0,-107.0,-115.0,-105.0,-310.0,252.0,-110.0,-110.0,-115.0,-105.0,-290.0,240.0,-110.0,-110.0,-110.0,-110.0,-310.0,255.0,-110.0,-110.0
