League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-09 04:33:23,2026-01-09 19:10,Boston Celtics,Toronto Raptors,Yes,430.3,Yes,-110.33,-109.33,-336.33,267.56,-108.5,-110.75,East,Atlantic,East,Atlantic,-110,-110,-350,280,-106,-114,-110,-110,-345,268,-110,-110,-110,-110,-340,270,-105,-115,-106,-106,-322,267,-107,-107,-110,-110,-325,263,-110,-110,-117,-108,-345,260,,,-110,-110,-325,265,-110,-110,-110.0,-110.0,-325,260,-110,-110,-110,-110,-350,275,-110,-110
NBA,2026-01-09 04:33:23,2026-01-09 19:10,Washington Wizards,New Orleans Pelicans,No,966.2,Yes,-109.67,-110.0,116.89,-138.56,-110.75,-108.5,East,Southeast,West,Southwest,-106,-114,114,-134,-112,-108,-110,-110,111,-135,-110,-110,-110,-110,120,-142,-112,-108,-106,-106,122,-138,-107,-107,-110,-110,120,-140,-110,-110,-115,-110,115,-143,,,-110,-110,115,-135,-110,-110,-110.0,-110.0,115,-140,-115,-105,-110,-110,120,-140,-110,-110
NBA,2026-01-09 04:33:23,2026-01-09 19:10,Orlando Magic,Philadelphia 76ers,No,859.5,Yes,-109.56,-110.11,117.78,-139.56,-109.38,-109.88,East,Southeast,East,Atlantic,-114,-106,116,-136,-110,-110,-110,-110,114,-139,-110,-110,-105,-115,120,-142,-108,-112,-104,-108,125,-142,-107,-107,-108,-112,123,-143,-110,-110,-115,-110,104,-129,,,-110,-110,120,-140,-110,-110,-110.0,-110.0,118,-145,-110,-110,-110,-110,120,-140,-110,-110
NBA,2026-01-09 04:33:23,2026-01-09 19:40,Brooklyn Nets,Los Angeles Clippers,No,2461.0,Yes,-84.67,-112.78,128.0,-151.89,-109.88,-109.38,East,Atlantic,West,Pacific,-110,-110,122,-144,-110,-110,-110,-110,126,-155,-110,-110,-108,-112,130,-155,-112,-108,100,-112,134,-152,-107,-107,-104,-116,133,-153,-110,-110,-115,-110,118,-148,,,-105,-115,134,-155,-110,-110,-105.0,-115.0,125,-155,-110,-110,-105,-115,130,-150,-110,-110
NBA,2026-01-09 04:33:23,2026-01-09 20:10,Memphis Grizzlies,Oklahoma City Thunder,No,422.4,Yes,-110.78,-108.89,155.0,-184.44,-108.88,-110.38,West,Southwest,West,Northwest,-106,-114,148,-176,-114,-106,-110,-110,147,-182,-110,-110,-115,-105,160,-192,-105,-115,-106,-106,162,-185,-107,-107,-110,-110,161,-185,-110,-110,-115,-110,143,-180,,,-110,-110,159,-185,-110,-110,-115.0,-105.0,155,-190,-105,-115,-110,-110,160,-185,-110,-110
NBA,2026-01-09 04:33:23,2026-01-09 21:10,Denver Nuggets,Atlanta Hawks,No,1212.6,Yes,-111.33,-108.33,-120.56,33.78,-110.0,-109.25,West,Northwest,East,Southeast,-110,-110,-124,106,-108,-112,-110,-110,-122,100,-110,-110,-115,-105,-125,105,-110,-110,-109,-103,-113,-103,-107,-107,-113,-107,-115,-105,-110,-110,-110,-115,-121,-104,,,-115,-105,-120,100,-110,-110,-110.0,-110.0,-120,100,-115,-105,-110,-110,-125,105,-110,-110
NBA,2026-01-09 04:33:23,2026-01-09 21:10,Phoenix Suns,New York Knicks,No,2145.0,Yes,-110.44,-109.22,104.89,-125.11,-109.25,-110.0,West,Pacific,East,Atlantic,-110,-110,106,-124,-110,-110,-110,-110,102,-125,-110,-110,-110,-110,105,-125,-112,-108,-106,-106,107,-123,-107,-107,-110,-110,105,-125,-110,-110,-113,-112,104,-129,,,-110,-110,105,-125,-110,-110,-110.0,-110.0,105,-125,-105,-115,-115,-105,105,-125,-110,-110
NBA,2026-01-09 04:33:23,2026-01-09 22:10,Golden State Warriors,Sacramento Kings,Yes,74.0,Yes,-109.56,-110.22,-712.11,498.78,-112.12,-107.25,West,Pacific,West,Pacific,-110,-110,-720,520,-114,-106,-110,-110,-714,481,-110,-110,-112,-108,-700,500,-105,-115,-106,-106,-640,487,-113,-102,-110,-110,-650,476,-115,-105,-113,-113,-835,525,,,-110,-110,-650,475,-115,-105,-110.0,-110.0,-700,500,-110,-110,-105,-115,-800,525,-115,-105
NBA,2026-01-09 04:33:23,2026-01-09 22:10,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-109.22,-110.44,207.0,-254.11,-109.25,-110.0,West,Northwest,West,Southwest,-112,-108,198,-240,-112,-108,-110,-110,202,-256,-110,-110,-105,-115,210,-258,-105,-115,-106,-106,218,-258,-107,-107,-110,-110,215,-260,-110,-110,-115,-110,200,-265,,,-110,-110,210,-250,-110,-110,-105.0,-115.0,200,-250,-110,-110,-110,-110,210,-250,-110,-110
NBA,2026-01-09 04:33:23,2026-01-09 22:40,Los Angeles Lakers,Milwaukee Bucks,No,1745.7,Yes,-112.88,-56.88,-161.11,136.22,-108.75,-110.5,West,Pacific,East,Central,-110,-110,-154,130,-110,-110,-110,-110,-159,129,-110,-110,-110,-110,-162,136,-108,-112,-116,104,-165,146,-107,-107,-120,100,-165,145,-110,-110,-117,-109,-155,123,,,-110,-110,-165,142,-110,-110,,,-160,135,-105,-115,-110,-110,-165,140,-110,-110
