League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-10 16:22:52,2026-01-10 19:10,Indiana Pacers,Miami Heat,No,1023.6,Yes,-109.0,-110.78,203.78,-247.56,-110.0,-109.25,East,Central,East,Southeast,-106,-114,215,-260,-108,-112,-108.0,-104.0,202.0,-238.0,-106.0,-108.0,-112.0,-108.0,200.0,-240.0,-109.0,-111.0,-110.0,-110.0,199.0,-250.0,-110.0,-110.0,-108.0,-112.0,205.0,-250.0,-112.0,-108.0,-110.0,-110.0,203.0,-240.0,-110.0,-110.0,-112.0,-114.0,200.0,-250.0,,,-105.0,-115.0,210.0,-250.0,-110.0,-110.0,-110.0,-110.0,200.0,-250.0,-115.0,-105.0
NBA,2026-01-10 16:22:52,2026-01-10 19:40,Detroit Pistons,Los Angeles Clippers,No,1991.5,Yes,-109.44,-110.33,-156.78,131.56,-109.25,-110.0,East,Central,West,Pacific,-108,-112,-152,128,-110,-110,-106.0,-106.0,-155.0,136.0,-107.0,-107.0,-105.0,-115.0,-150.0,130.0,-110.0,-110.0,-110.0,-110.0,-167.0,136.0,-110.0,-110.0,-108.0,-112.0,-155.0,130.0,-112.0,-108.0,-110.0,-110.0,-150.0,129.0,-110.0,-110.0,-113.0,-113.0,-162.0,130.0,,,-115.0,-105.0,-165.0,140.0,-110.0,-110.0,-110.0,-110.0,-155.0,125.0,-105.0,-115.0
NBA,2026-01-10 16:22:52,2026-01-10 20:10,Boston Celtics,San Antonio Spurs,No,1764.3,Yes,-111.78,-108.0,-105.78,-113.78,-109.38,-109.88,East,Atlantic,West,Southwest,-114,-106,-106,-110,-108,-112,-108.0,-104.0,-105.0,-111.0,-107.0,-107.0,-112.0,-108.0,-107.0,-113.0,-110.0,-110.0,-110.0,-110.0,-106.0,-115.0,-110.0,-110.0,-118.0,-102.0,-108.0,-112.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-114.0,-112.0,-108.0,-115.0,,,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,-102.0,-118.0,-110.0,-110.0
NBA,2026-01-10 16:22:52,2026-01-10 20:10,Chicago Bulls,Dallas Mavericks,No,802.8,Yes,-110.67,-108.89,-143.11,121.0,-109.62,-109.62,East,Central,West,Southwest,-110,-110,-146,124,-112,-108,-111.0,-101.0,-143.0,126.0,-107.0,-107.0,-115.0,-105.0,-144.0,124.0,-110.0,-110.0,-110.0,-110.0,-145.0,118.0,-110.0,-110.0,-110.0,-110.0,-142.0,120.0,-108.0,-112.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-115.0,-109.0,-143.0,117.0,,,-105.0,-115.0,-140.0,120.0,-110.0,-110.0,-110.0,-110.0,-145.0,120.0,-110.0,-110.0
NBA,2026-01-10 16:22:52,2026-01-10 21:40,Utah Jazz,Charlotte Hornets,No,1728.3,Yes,-109.22,-110.56,165.78,-197.67,-109.62,-109.62,West,Northwest,East,Southeast,-106,-114,172,-200,-105,-115,-106.0,-106.0,171.0,-195.0,-107.0,-107.0,-110.0,-110.0,170.0,-195.0,-110.0,-110.0,-110.0,-110.0,161.0,-200.0,-110.0,-110.0,-112.0,-108.0,164.0,-198.0,-115.0,-105.0,-110.0,-110.0,164.0,-191.0,-110.0,-110.0,-109.0,-117.0,160.0,-205.0,,,-110.0,-110.0,165.0,-195.0,-110.0,-110.0,-110.0,-110.0,165.0,-200.0,-110.0,-110.0
NBA,2026-01-10 16:22:52,2026-01-11 15:10,Orlando Magic,New Orleans Pelicans,No,534.1,No,-110.0,-110.0,-230.0,190.0,-105.0,-115.0,East,Southeast,West,Southwest,-110,-110,-230,190,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-10 16:22:52,2026-01-11 15:40,Memphis Grizzlies,Brooklyn Nets,No,956.1,No,-110.0,-110.0,-186.0,156.0,-115.0,-105.0,West,Southwest,East,Atlantic,-110,-110,-186,156,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-10 16:22:52,2026-01-11 18:10,Portland Trail Blazers,New York Knicks,No,2444.4,No,-110.25,-107.75,157.0,-188.0,-106.75,-112.0,West,Northwest,East,Atlantic,-105,-115,164,-196,-110,-110,-111.0,-101.0,,,-102.0,-113.0,-115.0,-105.0,,,-105.0,-115.0,,,,,,,-110.0,-110.0,150.0,-180.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-10 16:22:52,2026-01-11 20:10,Phoenix Suns,Washington Wizards,No,1982.6,Yes,-109.0,-109.0,-875.0,592.5,-106.75,-112.0,West,Pacific,East,Southeast,-110,-110,-900,610,-110,-110,-106.0,-106.0,,,-102.0,-113.0,-110.0,-110.0,,,-105.0,-115.0,,,,,,,-110.0,-110.0,-850.0,575.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-10 16:22:52,2026-01-11 20:40,Golden State Warriors,Atlanta Hawks,No,2137.9,Yes,-110.0,-110.0,-250.0,205.0,-107.5,-112.5,West,Pacific,East,Southeast,-110,-110,-270,220,-110,-110,,,,,,,,,,,,,,,,,,,-110.0,-110.0,-230.0,190.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,
