League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-10 21:21:31,2026-01-10 19:10,Indiana Pacers,Miami Heat,No,1023.6,Yes,7.4,-81.0,,,-111.0,-125.0,East,Central,East,Southeast,-144,108,,,,,105.0,-143.0,,,-111.0,-125.0,105,-135,,,,,-129.0,-105.0,,,,,100.0,-130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-10 21:21:31,2026-01-10 19:41,Detroit Pistons,Los Angeles Clippers,No,1991.5,Yes,-69.4,-120.6,-349.2,250.0,-115.75,-115.25,East,Central,West,Pacific,-104,-128,-370.0,265.0,-112.0,-118.0,-111.0,-118.0,-286.0,215.0,-118.0,-118.0,100,-130,-330.0,240.0,-115.0,-115.0,-122.0,-112.0,-360.0,250.0,,,-110.0,-115.0,-400.0,280.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-10 21:21:31,2026-01-10 20:11,Boston Celtics,San Antonio Spurs,No,1764.3,Yes,-112.6,-117.8,-200.8,153.6,-115.75,-111.25,East,Atlantic,West,Southwest,-106,-125,-215.0,164.0,-114.0,-114.0,-125.0,-105.0,-154.0,125.0,-111.0,-111.0,-110,-120,-200.0,154.0,-120.0,-110.0,-112.0,-121.0,-235.0,170.0,,,-110.0,-118.0,-200.0,155.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-10 21:21:31,2026-01-10 20:11,Chicago Bulls,Dallas Mavericks,No,802.8,Yes,-113.0,-115.8,-553.2,365.0,-120.75,-59.0,East,Central,West,Southwest,-102,-130,-700.0,440.0,-132.0,100.0,-111.0,-111.0,-556.0,385.0,-118.0,-111.0,-125,-105,-475.0,325.0,-115.0,-115.0,-117.0,-115.0,-560.0,350.0,,,-110.0,-118.0,-475.0,325.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-10 21:21:31,2026-01-10 21:40,Utah Jazz,Charlotte Hornets,No,1728.3,Yes,-108.44,-111.22,171.0,-205.33,-109.62,-109.62,West,Northwest,East,Southeast,-110,-110,162.0,-194.0,-110.0,-110.0,-110.0,-110.0,166.0,-208.0,-110.0,-110.0,-105,-115,180.0,-218.0,-110.0,-110.0,-115.0,-110.0,165.0,-210.0,,,-110.0,-110.0,170.0,-210.0,-110.0,-110.0,-105.0,-115.0,175.0,-202.0,-110.0,-110.0,-101.0,-111.0,176.0,-201.0,-107.0,-107.0,-110.0,-110.0,180.0,-210.0,-110.0,-110.0,-110.0,-110.0,165.0,-195.0,-110.0,-110.0
NBA,2026-01-10 21:21:31,2026-01-11 15:10,Orlando Magic,New Orleans Pelicans,No,534.1,No,-109.0,-109.4,-245.0,202.5,-108.4,-110.4,East,Southeast,West,Southwest,-114,-106,-260.0,215.0,-105.0,-115.0,,,,,,,-105,-115,-230.0,190.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-10 21:21:31,2026-01-11 15:40,Memphis Grizzlies,Brooklyn Nets,No,956.1,No,-110.2,-108.2,-251.5,205.0,-108.6,-110.2,West,Southwest,East,Atlantic,-110,-110,-245.0,200.0,-106.0,-114.0,,,,,,,-115,-105,-258.0,210.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-10 21:21:31,2026-01-11 18:10,Portland Trail Blazers,New York Knicks,No,2444.4,No,-111.8,-106.6,156.0,-187.0,-108.4,-110.4,West,Northwest,East,Atlantic,-108,-112,162.0,-194.0,-105.0,-115.0,,,,,,,-110,-110,150.0,-180.0,-110.0,-110.0,,,,,,,,,,,,,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-10 21:21:31,2026-01-11 18:10,Toronto Raptors,Philadelphia 76ers,Yes,337.5,No,-112.2,-106.2,143.5,-171.5,-109.4,-109.4,East,Atlantic,East,Atlantic,-105,-115,142.0,-168.0,-110.0,-110.0,,,,,,,-115,-105,145.0,-175.0,-110.0,-110.0,,,,,,,,,,,,,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-10 21:21:31,2026-01-11 19:10,Oklahoma City Thunder,Miami Heat,No,1226.0,Yes,-106.67,-113.33,-825.0,567.5,-110.33,-109.67,West,Northwest,East,Southeast,-105,-115,-800.0,560.0,-106.0,-114.0,,,,,,,-105,-115,-850.0,575.0,-115.0,-105.0,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,
