League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-10 23:12:35,2026-01-10 21:41,Utah Jazz,Charlotte Hornets,No,1728.3,Yes,-70.8,-119.6,,,-124.0,-57.75,West,Northwest,East,Southeast,-114,-114,,,-112,-118,100,-133,,,-154,115,-115,-115,,,-120,-110,-115,-118,,,,,-110.0,-118.0,,,-110.0,-118.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-10 23:12:35,2026-01-11 15:10,Orlando Magic,New Orleans Pelicans,No,534.1,No,-110.44,-109.33,-254.67,207.33,-109.88,-109.38,East,Southeast,West,Southwest,-114,-106,-260.0,215.0,-105,-115,-110,-110,-256.0,202.0,-110,-110,-110,-110,-258.0,210.0,-112,-108,-114,-112,-275.0,210.0,,,-110.0,-110.0,-250.0,200.0,-115.0,-105.0,-106.0,-106.0,-243.0,206.0,-107.0,-107.0,-110.0,-110.0,-245.0,203.0,-110.0,-110.0,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,-110.0,-110.0,-260.0,215.0,-110.0,-110.0
NBA,2026-01-10 23:12:35,2026-01-11 15:40,Memphis Grizzlies,Brooklyn Nets,No,956.1,No,-109.44,-110.33,-271.22,220.22,-109.5,-109.88,West,Southwest,East,Atlantic,-110,-110,-260.0,215.0,-114,-106,-110,-110,-263.0,210.0,-110,-110,-105,-115,-265.0,215.0,-115,-105,-109,-117,-286.0,215.0,,,-105.0,-115.0,-275.0,220.0,-115.0,-105.0,-111.0,-101.0,-267.0,225.0,-102.0,-113.0,-115.0,-105.0,-270.0,222.0,-105.0,-115.0,-115.0,-105.0,-270.0,225.0,-105.0,-115.0,-105.0,-115.0,-285.0,235.0,-110.0,-110.0
NBA,2026-01-10 23:12:35,2026-01-11 18:10,Portland Trail Blazers,New York Knicks,No,2444.4,No,-110.78,-109.0,154.56,-184.44,-109.0,-110.25,West,Northwest,East,Atlantic,-108,-112,162.0,-194.0,-105,-115,-110,-110,151.0,-185.0,-110,-110,-110,-110,154.0,-185.0,-110,-110,-113,-113,148.0,-186.0,,,-110.0,-110.0,154.0,-190.0,-110.0,-110.0,-111.0,-101.0,154.0,-175.0,-107.0,-107.0,-115.0,-105.0,153.0,-175.0,-110.0,-110.0,-115.0,-105.0,150.0,-175.0,-110.0,-110.0,-105.0,-115.0,165.0,-195.0,-110.0,-110.0
NBA,2026-01-10 23:12:35,2026-01-11 18:10,Toronto Raptors,Philadelphia 76ers,Yes,337.5,No,-112.67,-107.11,146.78,-173.89,-110.25,-109.0,East,Atlantic,East,Atlantic,-106,-114,152.0,-180.0,-110,-110,-110,-110,143.0,-175.0,-110,-110,-115,-105,150.0,-180.0,-110,-110,-112,-114,143.0,-180.0,,,-115.0,-105.0,145.0,-175.0,-115.0,-105.0,-111.0,-101.0,146.0,-165.0,-107.0,-107.0,-115.0,-105.0,145.0,-165.0,-110.0,-110.0,-115.0,-105.0,142.0,-165.0,-110.0,-110.0,-115.0,-105.0,155.0,-180.0,-110.0,-110.0
NBA,2026-01-10 23:12:35,2026-01-11 19:10,Oklahoma City Thunder,Miami Heat,No,1226.0,Yes,-110.0,-109.78,-849.57,567.57,-108.5,-110.75,West,Northwest,East,Southeast,-105,-115,-820.0,570.0,-106,-114,-110,-110,-833.0,539.0,-110,-110,-115,-105,-800.0,550.0,-105,-115,-114,-112,-910.0,550.0,,,-105.0,-115.0,-900.0,575.0,-110.0,-110.0,-106.0,-106.0,-834.0,603.0,-107.0,-107.0,-110.0,-110.0,-850.0,586.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2026-01-10 23:12:35,2026-01-11 19:10,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,-109.67,-110.0,-141.33,119.0,-110.4,-108.4,West,Northwest,West,Southwest,-114,-106,-142.0,120.0,-110,-110,-110,-110,-147.0,120.0,-110,-110,-115,-105,-142.0,120.0,-115,-105,-113,-113,-139.0,112.0,,,,,,,,,-101.0,-111.0,-138.0,122.0,-107.0,-107.0,-105.0,-115.0,-140.0,120.0,-110.0,-110.0,,,,,,,,,,,,
NBA,2026-01-10 23:12:35,2026-01-11 20:10,Denver Nuggets,Milwaukee Bucks,No,915.0,Yes,-109.67,-110.11,106.33,-127.44,-109.88,-109.38,West,Northwest,East,Central,-108,-112,114.0,-134.0,-112,-108,-110,-110,105.0,-128.0,-110,-110,-105,-115,105.0,-125.0,-110,-110,-113,-113,106.0,-132.0,,,-115.0,-105.0,105.0,-130.0,-110.0,-110.0,-106.0,-106.0,107.0,-123.0,-107.0,-107.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2026-01-10 23:12:35,2026-01-11 20:10,Phoenix Suns,Washington Wizards,No,1982.6,Yes,-109.22,-110.56,-884.78,584.89,-108.0,-111.38,West,Pacific,East,Southeast,-110,-110,-770.0,540.0,-110,-110,-110,-110,-909.0,555.0,-110,-110,-108,-112,-900.0,600.0,-112,-108,-114,-112,-1000.0,600.0,,,-105.0,-115.0,-900.0,600.0,-110.0,-110.0,-106.0,-106.0,-834.0,603.0,-102.0,-113.0,-110.0,-110.0,-850.0,586.0,-105.0,-115.0,-110.0,-110.0,-850.0,580.0,-105.0,-115.0,-110.0,-110.0,-950.0,600.0,-110.0,-110.0
NBA,2026-01-10 23:12:35,2026-01-11 20:40,Golden State Warriors,Atlanta Hawks,No,2137.9,Yes,-109.67,-110.0,-224.33,184.78,-113.75,-30.62,West,Pacific,East,Southeast,-106,-114,-205.0,172.0,-114,-106,-110,-110,-233.0,186.0,-110,-110,-115,-105,-218.0,180.0,-108,-112,-110,-115,-235.0,180.0,,,-115.0,-105.0,-220.0,180.0,-110.0,-110.0,-106.0,-106.0,-223.0,191.0,-118.0,103.0,-110.0,-110.0,-225.0,189.0,-120.0,100.0,-110.0,-110.0,-225.0,190.0,-120.0,100.0,-105.0,-115.0,-235.0,195.0,-110.0,-110.0
NBA,2026-01-10 23:12:35,2026-01-11 21:10,Sacramento Kings,Houston Rockets,No,1609.3,Yes,-110.44,-109.33,494.89,-697.0,-111.38,-108.0,West,Pacific,West,Southwest,-110,-110,490.0,-670.0,-106,-114,-110,-110,441.0,-625.0,-110,-110,-110,-110,500.0,-700.0,-112,-108,-113,-113,480.0,-715.0,,,-110.0,-110.0,525.0,-750.0,-110.0,-110.0,-106.0,-106.0,533.0,-713.0,-113.0,-102.0,-110.0,-110.0,520.0,-725.0,-115.0,-105.0,-110.0,-110.0,515.0,-725.0,-115.0,-105.0,-115.0,-105.0,450.0,-650.0,-110.0,-110.0
