League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-11 13:35:34,2026-01-11 15:10,Orlando Magic,New Orleans Pelicans,No,534.1,No,-112.33,-107.44,-253.44,207.22,-110.0,-109.38,East,Southeast,West,Southwest,-114,-106,-250,205,-112,-108,-112,-108,-258,210,-105,-115,-111,-101,-253,214,-113,-102,-115,-105,-255,211,-115,-105,-115,-105,-255,215,-110,-110,-110,-110,-260.0,215.0,-110,-110,-114,-112,-250,195,,,-110,-110,-250,200,-110,-110,-110,-110,-250,200,-105,-115
NBA,2026-01-11 13:35:34,2026-01-11 15:40,Memphis Grizzlies,Brooklyn Nets,No,956.1,No,-109.44,-110.33,-280.44,227.44,-110.5,-108.75,West,Southwest,East,Atlantic,-110,-110,-270,220,-110,-110,-112,-108,-278,225,-112,-108,-106,-106,-277,233,-107,-107,-110,-110,-280,230,-110,-110,-110,-110,-270,225,-110,-110,-105,-115,-285.0,235.0,-110,-110,-112,-114,-295,230,,,-110,-110,-294,229,-110,-110,-110,-110,-275,220,-115,-105
NBA,2026-01-11 13:35:34,2026-01-11 18:10,Portland Trail Blazers,New York Knicks,No,2444.4,No,-110.67,-109.11,171.89,-206.33,-110.88,-108.38,West,Northwest,East,Atlantic,-108,-112,176,-210,-114,-106,-105,-115,170,-205,-105,-115,-111,-101,179,-204,-110,-104,-115,-105,177,-205,-113,-107,-110,-110,175,-205,-110,-110,-105,-115,165.0,-195.0,-110,-110,-117,-109,165,-210,,,-110,-110,170,-213,-110,-110,-115,-105,170,-210,-115,-105
NBA,2026-01-11 13:35:34,2026-01-11 18:10,Toronto Raptors,Philadelphia 76ers,Yes,337.5,No,-110.44,-109.33,130.22,-154.44,-109.62,-109.62,East,Atlantic,East,Atlantic,-108,-112,122,-144,-105,-115,-108,-112,130,-155,-115,-105,-111,-101,132,-149,-107,-107,-115,-105,130,-150,-110,-110,-110,-110,129,-150,-110,-110,-115,-105,155.0,-180.0,-110,-110,-112,-114,125,-155,,,-110,-110,124,-152,-110,-110,-105,-115,125,-155,-110,-110
NBA,2026-01-11 13:35:34,2026-01-11 19:10,Oklahoma City Thunder,Miami Heat,No,1226.0,Yes,-111.11,-108.67,-840.25,571.5,-111.0,-108.38,West,Northwest,East,Southeast,-105,-115,-770,540,-110,-110,-115,-105,-850,575,-110,-110,-106,-106,-834,603,-113,-102,-110,-110,-850,586,-115,-105,-110,-110,-850,580,-110,-110,-115,-105,,,-110,-110,-114,-112,-835,540,,,-110,-110,-833,548,-110,-110,-115,-105,-900,600,-110,-110
NBA,2026-01-11 13:35:34,2026-01-11 19:10,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,-110.67,-109.0,-127.56,84.33,-109.25,-110.0,West,Northwest,West,Southwest,-110,-110,-118,-102,-114,-106,-110,-110,-125,105,-108,-112,-106,-106,-123,107,-107,-107,-110,-110,-125,105,-110,-110,-110,-110,-125,105,-110,-110,-110,-110,-140.0,120.0,-110,-110,-115,-110,-127,102,,,-110,-110,-125,102,-110,-110,-115,-105,-140,115,-105,-115
NBA,2026-01-11 13:35:34,2026-01-11 20:10,Denver Nuggets,Milwaukee Bucks,No,915.0,Yes,-109.22,-110.56,118.0,-140.0,-109.5,-109.75,West,Northwest,East,Central,-114,-106,114,-134,-114,-106,-108,-112,120,-142,-110,-110,-104,-108,127,-144,-107,-107,-108,-112,125,-145,-110,-110,-110,-110,120,-140,-110,-110,-110,-110,105.0,-125.0,-110,-110,-114,-112,114,-141,,,-110,-110,117,-144,-110,-110,-105,-115,120,-145,-105,-115
NBA,2026-01-11 13:35:34,2026-01-11 20:10,Phoenix Suns,Washington Wizards,No,1982.6,Yes,-109.33,-110.22,-904.67,594.44,-109.88,-109.38,West,Pacific,East,Southeast,-106,-114,-850,590,-110,-110,-112,-108,-900,600,-112,-108,-106,-106,-883,631,-107,-107,-110,-110,-900,613,-110,-110,-110,-110,-850,580,-110,-110,-110,-110,-950.0,600.0,-110,-110,-110,-114,-1000,600,,,-110,-110,-909,561,-110,-110,-110,-110,-900,575,-110,-110
NBA,2026-01-11 13:35:34,2026-01-11 20:40,Golden State Warriors,Atlanta Hawks,No,2137.9,Yes,-109.89,-109.89,-223.44,184.78,-110.38,-109.0,West,Pacific,East,Southeast,-106,-114,-225,188,-110,-110,-118,-102,-225,185,-110,-110,-106,-106,-219,188,-113,-102,-110,-110,-220,186,-115,-105,-110,-110,-220,185,-110,-110,-105,-115,-235.0,195.0,-110,-110,-109,-117,-215,170,,,-110,-110,-227,181,-110,-110,-115,-105,-225,185,-105,-115
NBA,2026-01-11 13:35:34,2026-01-11 21:10,Sacramento Kings,Houston Rockets,No,1609.3,Yes,-111.67,-108.11,482.78,-680.78,-110.75,-108.5,West,Pacific,West,Southwest,-110,-110,530,-750,-114,-106,-115,-105,470,-650,-115,-105,-109,-103,493,-650,-107,-107,-113,-107,482,-660,-110,-110,-110,-110,465,-630,-110,-110,-115,-105,450.0,-650.0,-110,-110,-113,-113,500,-770,,,-110,-110,455,-667,-110,-110,-110,-110,500,-700,-110,-110
