League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-11 21:10:53,2026-01-11 18:12,Toronto Raptors,Philadelphia 76ers,Yes,337.5,No,,,-406.4,161.4,110.0,-154.0,East,Atlantic,East,Atlantic,,,-900.0,520.0,,,,,-125.0,-105.0,,,,,260.0,-333.0,110.0,-154.0,,,-1100.0,600.0,,,,,-167.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-11 21:10:53,2026-01-11 19:11,Oklahoma City Thunder,Miami Heat,No,1226.0,Yes,-25.8,-126.8,,,-0.75,-134.0,West,Northwest,East,Southeast,110.0,-146.0,,,102.0,-136.0,-110.0,-120.0,,,-115.0,-115.0,100.0,-133.0,,,-125.0,-105.0,-115.0,-115.0,,,135.0,-180.0,-114.0,-120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-11 21:10:53,2026-01-11 19:11,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,-71.8,-119.2,560.0,-1015.2,-5.75,-126.0,West,Northwest,West,Southwest,106.0,-140.0,800.0,-1600.0,102.0,-136.0,-115.0,-115.0,700.0,-1300.0,-120.0,-110.0,-118.0,-111.0,600.0,-1111.0,100.0,-133.0,-110.0,-118.0,325.0,-475.0,-105.0,-125.0,-122.0,-112.0,375.0,-590.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-11 21:10:53,2026-01-11 20:11,Denver Nuggets,Milwaukee Bucks,No,915.0,Yes,-111.8,-118.2,-167.4,131.0,-115.75,-113.0,West,Northwest,East,Central,-102.0,-130.0,-166.0,130.0,-114.0,-114.0,-110.0,-120.0,-175.0,135.0,-120.0,-110.0,-118.0,-111.0,-154.0,125.0,-111.0,-118.0,-115.0,-110.0,-165.0,130.0,-118.0,-110.0,-114.0,-120.0,-177.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-11 21:10:53,2026-01-11 20:11,Phoenix Suns,Washington Wizards,No,1982.6,Yes,-116.2,-74.2,-7125.0,1487.5,-115.0,-113.75,West,Pacific,East,Southeast,-132.0,100.0,-7000.0,1500.0,-114.0,-114.0,-110.0,-120.0,-6500.0,1800.0,-110.0,-120.0,-111.0,-118.0,-5000.0,1200.0,-118.0,-111.0,-110.0,-118.0,-10000.0,1450.0,-118.0,-110.0,-118.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-11 21:10:53,2026-01-11 20:42,Golden State Warriors,Atlanta Hawks,No,2137.9,Yes,-112.2,-117.0,-283.6,210.6,-121.5,-106.75,West,Pacific,East,Southeast,-112.0,-118.0,-280.0,210.0,-130.0,-102.0,-120.0,-110.0,-280.0,210.0,-120.0,-110.0,-111.0,-111.0,-333.0,235.0,-118.0,-105.0,-105.0,-125.0,-275.0,210.0,-118.0,-110.0,-113.0,-121.0,-250.0,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-11 21:10:53,2026-01-11 21:10,Sacramento Kings,Houston Rockets,No,1609.3,Yes,-110.78,-109.78,509.22,-745.22,-109.62,-109.62,West,Pacific,West,Southwest,-114.0,-106.0,520.0,-720.0,-110.0,-110.0,-110.0,-110.0,525.0,-750.0,-110.0,-110.0,-110.0,-110.0,470.0,-714.0,-110.0,-110.0,-110.0,-110.0,550.0,-800.0,-110.0,-110.0,-118.0,-115.0,500.0,-910.0,,,-103.0,-109.0,533.0,-713.0,-107.0,-107.0,-107.0,-113.0,520.0,-725.0,-110.0,-110.0,-110.0,-110.0,515.0,-725.0,-110.0,-110.0,-115.0,-105.0,450.0,-650.0,-110.0,-110.0
NBA,2026-01-11 21:10:53,2026-01-12 19:10,Cleveland Cavaliers,Utah Jazz,No,1569.1,Yes,-108.83,-110.83,-788.25,528.75,-111.6,-107.4,East,Central,West,Northwest,-110.0,-110.0,-750.0,530.0,-110.0,-110.0,-105.0,-115.0,-800.0,550.0,-110.0,-110.0,-110.0,-110.0,-833.0,525.0,-110.0,-110.0,,,,,,,-112.0,-114.0,-770.0,510.0,,,-106.0,-106.0,,,-113.0,-102.0,-110.0,-110.0,,,-115.0,-105.0,,,,,,,,,,,,
NBA,2026-01-11 21:10:53,2026-01-12 19:40,Indiana Pacers,Boston Celtics,No,807.3,Yes,-108.17,-111.5,190.75,-235.75,-108.4,-110.4,East,Central,East,Atlantic,-106.0,-114.0,188.0,-225.0,-110.0,-110.0,-105.0,-115.0,190.0,-230.0,-105.0,-115.0,-110.0,-110.0,190.0,-238.0,-110.0,-110.0,,,,,,,-112.0,-114.0,195.0,-250.0,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2026-01-11 21:10:53,2026-01-12 20:40,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-111.5,-107.83,-173.25,142.25,-110.8,-108.0,West,Southwest,East,Atlantic,-115.0,-105.0,-172.0,144.0,-115.0,-105.0,-118.0,-102.0,-170.0,142.0,-112.0,-108.0,-110.0,-110.0,-169.0,138.0,-110.0,-110.0,,,,,,,-110.0,-114.0,-182.0,145.0,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
